date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1414847,924635,255507,234705,0,0,0
2014-01-07 18,1363806,892188,243844,227774,0,0,0
2014-01-07 19,1349513,883347,242922,223244,0,0,0
2014-01-07 20,1395292,912724,251714,230854,0,0,0
2014-01-07 21,1299212,850284,234077,214851,0,0,0
2014-01-07 22,1288786,846163,231922,210701,0,0,0
2014-01-07 23,1230014,812562,221121,196331,0,0,0
2014-01-08 00,824299,547717,148037,128545,0,0,0
2014-01-08 01,503886,337777,90318,75791,0,0,0
2014-01-08 02,376043,253378,67546,55119,0,0,0
2014-01-08 03,305217,205857,55214,44146,0,0,0
2014-01-08 04,266531,180551,48474,37506,0,0,0
2014-01-08 05,251812,170246,45720,35846,0,0,0
2014-01-08 06,351921,235437,63593,52891,0,0,0
2014-01-08 07,648746,426137,117428,105181,0,0,0
2014-01-08 08,1278850,834755,229382,214713,0,0,0
2014-01-08 09,1505034,984021,270936,250077,0,0,0
2014-01-08 10,1483450,969253,266885,247312,0,0,0
2014-01-08 11,1458633,956104,262274,240255,0,0,0
2014-01-08 12,1469163,962998,265015,241150,0,0,0
2014-01-08 13,1305336,858787,234377,212172,0,0,0
2014-01-08 14,1067086,598149,245125,223812,0,0,0
2014-01-08 15,1027047,573218,237352,216477,0,0,0
2014-01-08 16,959658,535127,222378,202153,0,0,0
2014-01-08 17,903203,502486,209259,191458,0,0,0
2014-01-08 18,916161,509130,211510,195521,0,0,0
2014-01-08 19,926580,518997,212721,194862,0,0,0
2014-01-08 20,926287,519130,213130,194027,0,0,0
2014-01-08 21,951921,537171,218631,196119,0,0,0
2014-01-08 22,904655,508179,209202,187274,0,0,0
2014-01-08 23,743217,415280,172480,155457,0,0,0
2014-01-09 00,524033,297342,120848,105843,0,0,0
2014-01-09 01,368013,211264,85148,71601,0,0,0
2014-01-09 02,284871,163705,66240,54926,0,0,0
2014-01-09 03,229753,132382,54180,43191,0,0,0
2014-01-09 04,197121,113778,46558,36785,0,0,0
2014-01-09 05,204063,118436,48060,37567,0,0,0
2014-01-09 06,278675,160855,64714,53106,0,0,0
2014-01-09 07,523870,299141,120339,104390,0,0,0
2014-01-09 08,961284,536601,221390,203293,0,0,0
2014-01-09 09,1120561,626723,258022,235816,0,0,0
2014-01-09 10,1041649,580893,239171,221584,0,0,1
2014-01-09 11,920402,515447,211786,193169,0,0,0
2014-01-09 12,875679,490891,201384,183404,0,0,0
2014-01-09 13,968699,540711,223137,204851,0,0,0
2014-01-09 14,972468,537653,224471,210344,0,0,0
2014-01-09 15,1017224,568483,233332,215409,0,0,0
2014-01-09 16,965675,539843,222334,203498,0,0,0
2014-01-09 17,738289,413073,169788,155428,0,0,0
2014-01-09 18,734640,412238,168096,154306,0,0,0
2014-01-09 19,768566,430940,175903,161723,0,0,0
2014-01-09 20,773137,434808,177394,160935,0,0,0
2014-01-09 21,759335,428551,174042,156742,0,0,0
2014-01-09 22,721196,408680,164931,147585,0,0,0
2014-01-09 23,644540,366936,146907,130697,0,0,0
2014-01-10 00,438777,250835,100323,87619,0,0,0
2014-01-10 01,373478,214113,86144,73221,0,0,0
2014-01-10 02,286034,165343,66094,54597,0,0,0
2014-01-10 03,226778,131686,52988,42104,0,0,0
2014-01-10 04,198402,115761,46530,36111,0,0,0
2014-01-10 05,195031,113474,45813,35744,0,0,0
2014-01-10 06,280655,162033,65040,53582,0,0,0
2014-01-10 07,513517,294343,117292,101882,0,0,0
2014-01-10 08,859757,484279,196468,179010,0,0,0
2014-01-10 09,960311,535917,221892,202502,0,0,0
2014-01-10 10,996607,557550,229428,209629,0,0,0
2014-01-10 11,867352,484021,200010,183321,0,0,0
2014-01-10 12,879037,491751,202955,184331,0,0,0
2014-01-10 13,818688,459139,189026,170523,0,0,0
2014-01-10 14,1063240,597676,244938,220626,0,0,0
2014-01-10 15,1049279,590892,241128,217259,0,0,0
2014-01-10 16,1008744,565678,232026,211040,0,0,0
2014-01-10 17,845723,477303,194479,173941,0,0,0
2014-01-10 18,790990,443013,183040,164937,0,0,0
2014-01-10 19,882559,489513,205214,187832,0,0,0
2014-01-10 20,943214,527086,217643,198485,0,0,0
2014-01-10 21,753233,420573,173812,158848,0,0,0
2014-01-10 22,604610,337739,140763,126108,0,0,0
2014-01-10 23,507708,282093,118000,107615,0,0,0
2014-01-11 00,385170,213918,89784,81468,0,0,0
2014-01-11 01,332683,185272,78274,69137,0,0,0
2014-01-11 02,281913,157741,66420,57752,0,0,0
2014-01-11 03,216273,122191,51158,42924,0,0,0
2014-01-11 04,188308,106710,44692,36906,0,0,0
2014-01-11 05,184634,104293,43922,36419,0,0,0
2014-01-11 06,226774,127269,53898,45607,0,0,0
2014-01-11 07,354495,196910,83007,74578,0,0,0
2014-01-11 08,637532,352333,148212,136987,0,0,0
2014-01-11 09,813793,450118,189570,174105,0,0,0
2014-01-11 10,890197,491742,207814,190641,0,0,0
2014-01-11 11,862286,478229,200650,183407,0,0,0
2014-01-11 12,705146,390768,164404,149974,0,0,0
2014-01-11 13,675427,374758,157468,143201,0,0,0
2014-01-11 14,661419,365596,154350,141473,0,0,0
2014-01-11 20,710013,401326,163192,145495,0,0,0
2014-01-11 21,644904,366262,147477,131165,0,0,0
2014-01-11 23,490915,279600,112618,98697,0,0,0
2014-01-12 00,118413,67130,27730,23553,0,0,0
2014-01-12 01,152724,87821,35368,29535,0,0,0
2014-01-12 02,133231,77097,30890,25244,0,0,0
2014-01-12 03,104617,60960,24366,19291,0,0,0
2014-01-12 04,90367,52612,21162,16593,0,0,0
2014-01-12 05,83230,48958,19554,14718,0,0,0
2014-01-12 06,95865,55653,22356,17856,0,0,0
2014-01-12 07,148086,84668,34500,28918,0,0,0
2014-01-12 08,180785,101418,42088,37279,0,0,0
2014-01-12 09,220074,122839,51062,46173,0,0,0
2014-01-12 10,248797,138640,57872,52285,0,0,0
2014-01-12 11,245564,137606,57544,50414,0,0,0
2014-01-12 12,244606,137728,56756,50122,0,0,0
2014-01-12 13,334548,191226,76782,66540,0,0,0
2014-01-12 14,348604,199674,80012,68918,0,0,0
2014-01-12 15,340528,194418,78256,67854,0,0,0
2014-01-12 16,344412,196516,79322,68574,0,0,0
2014-01-12 17,318921,182990,72844,63087,0,0,0
2014-01-12 18,315288,180246,72160,62882,0,0,0
2014-01-12 19,330821,188454,76414,65953,0,0,0
2014-01-12 20,327090,186717,75398,64975,0,0,0
2014-01-12 21,354943,202921,81546,70476,0,0,0
2014-01-12 22,375734,214456,86538,74740,0,0,0
2014-01-12 23,305454,174059,70998,60397,0,0,0
2014-01-13 00,198747,114042,45954,38751,0,0,0
2014-01-13 01,148335,85326,34402,28607,0,0,0
2014-01-13 02,113479,65819,26368,21292,0,0,0
2014-01-13 03,91863,53420,21538,16905,0,0,0
2014-01-13 04,81079,47279,19088,14712,0,0,0
2014-01-13 05,80229,46939,18890,14400,0,0,0
2014-01-13 06,109407,64179,25430,19798,0,0,0
2014-01-13 07,198746,114888,45730,38128,0,0,0
2014-01-13 08,372906,208746,86196,77964,0,0,0
2014-01-13 09,422043,236555,97546,87942,0,0,0
2014-01-13 10,451476,252958,104412,94106,0,0,0
2014-01-13 11,432087,243961,99796,88330,0,0,0
2014-01-13 12,341400,193760,79058,68582,0,0,0
2014-01-13 13,334656,190641,76984,67031,0,0,0
2014-01-13 14,371887,212150,84756,74981,0,0,0
2014-01-13 15,425570,242038,97338,86194,0,0,0
2014-01-13 16,922076,527118,209202,185756,0,0,0
2014-01-13 17,917699,515157,211804,190738,0,0,0
2014-01-13 18,821388,469297,188039,164052,0,0,0
2014-01-13 19,702424,397282,161855,143287,0,0,0
2014-01-13 20,774942,437187,178594,159161,0,0,0
2014-01-13 21,751373,424747,172898,153728,0,0,0
2014-01-13 22,725887,410537,167382,147968,0,0,0
2014-01-13 23,474830,268450,109840,96540,0,0,0
2014-01-14 00,394939,223325,91708,79906,0,0,0
2014-01-14 01,343529,195755,80110,67664,0,0,0
2014-01-14 02,262054,151024,60918,50112,0,0,0
2014-01-14 03,203517,117555,48096,37866,0,0,0
2014-01-14 04,176133,101523,41966,32644,0,0,0
2014-01-14 05,190788,110061,45440,35287,0,0,0
2014-01-14 06,225374,129091,52944,43339,0,0,0
2014-01-14 07,420793,238551,97820,84422,0,0,0
2014-01-14 08,890407,498888,205064,186455,0,0,0
2014-01-14 09,972500,546329,225280,200891,0,0,0
2014-01-14 10,1143731,643445,264051,236235,0,0,0
2014-01-14 11,1059605,598359,244248,216998,0,0,0
2014-01-14 12,863701,485599,199544,178558,0,0,0
2014-01-14 13,735563,415672,169098,150793,0,0,0
2014-01-14 14,883092,497884,203234,181974,0,0,0
2014-01-14 15,1023208,577814,235914,209480,0,0,0
2014-01-14 16,986219,556249,226973,202997,0,0,0
2014-01-14 17,871453,493716,200676,177061,0,0,0
2014-01-14 18,758000,428779,174933,154288,0,0,0
2014-01-14 19,805304,456519,185374,163411,0,0,0
2014-01-14 20,871483,492526,200766,178191,0,0,0
2014-01-14 21,847819,480726,194771,172322,0,0,0
2014-01-14 22,767567,434992,177560,155015,0,0,0
2014-01-14 23,649245,368738,149690,130817,0,0,0
2014-01-15 00,445836,252621,103810,89405,0,0,0
2014-01-15 01,335545,191445,78520,65580,0,0,0
2014-01-15 02,242168,138760,56770,46638,0,0,0
2014-01-15 03,191386,110058,45390,35938,0,0,0
2014-01-15 04,169676,97693,40568,31415,0,0,0
2014-01-15 05,167342,96581,39994,30767,0,0,0
2014-01-15 06,224547,128299,53002,43246,0,0,0
2014-01-15 07,406900,230957,94586,81357,0,0,0
2014-01-15 08,832750,466613,191818,174319,0,0,0
2014-01-15 09,955171,537275,220642,197254,0,0,0
2014-01-15 10,1009040,567631,233077,208332,0,0,0
2014-01-15 11,913994,513684,211573,188737,0,0,0
2014-01-15 12,878733,492669,203327,182737,0,0,0
2014-01-15 13,829621,466854,191407,171360,0,0,0
2014-01-15 14,781889,438768,180644,162477,0,0,0
2014-01-15 15,724505,407590,167108,149807,0,0,0
2014-01-15 16,549929,308741,127066,114122,0,0,0
2014-01-15 17,514546,289362,119074,106110,0,0,0
2014-01-15 18,495552,278539,114610,102403,0,0,0
2014-01-15 20,499381,280871,116057,102453,0,0,0
2014-01-15 21,772093,436147,178952,156994,0,0,0
