date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,2407853,1366864,867204,173586,0,199,0
2014-01-07 18,2239665,1284254,796380,158797,0,234,0
2014-01-07 19,2104127,1209912,746351,147661,0,203,0
2014-01-07 20,2203350,1263514,783810,155820,0,206,0
2014-01-07 21,2053108,1181980,726117,144782,0,227,2
2014-01-07 22,1958875,1128788,692458,137405,0,224,0
2014-01-07 23,1685752,977626,593848,114080,0,198,0
2014-01-08 00,960242,564191,335138,60687,0,226,0
2014-01-08 01,536780,320899,184022,31686,0,173,0
2014-01-08 02,362544,218257,122872,21215,0,200,0
2014-01-08 03,276819,167168,93448,15993,0,210,0
2014-01-08 04,247241,149013,83434,14603,0,191,0
2014-01-08 05,253391,149520,88259,15448,0,162,2
2014-01-08 06,376936,216865,135790,24116,0,165,0
2014-01-08 07,866614,484906,319866,61676,0,166,0
2014-01-08 08,2246216,1238370,839704,167969,0,173,0
2014-01-08 09,2784199,1546638,1028620,208743,0,198,0
2014-01-08 10,2652017,1484466,971770,195579,0,202,0
2014-01-08 11,2603117,1463059,950485,189382,0,189,2
2014-01-08 12,2553235,1446772,921033,185253,0,177,0
2014-01-08 13,2161242,1227874,781131,152053,0,184,0
2014-01-08 14,1076889,108668,810227,157808,0,186,0
2014-01-08 15,1048256,101489,790549,156077,0,139,2
2014-01-08 16,1005198,96553,761119,147382,0,144,0
2014-01-08 17,887486,88871,670325,128138,0,152,0
2014-01-08 18,832940,88221,627519,117021,0,179,0
2014-01-08 19,891088,95951,666817,128163,0,157,0
2014-01-08 20,913089,101679,678057,133190,0,163,0
2014-01-08 21,946923,107884,697876,140963,0,200,0
2014-01-08 22,861170,100075,633932,126939,0,224,0
2014-01-08 23,613582,71859,455520,86008,0,195,0
2014-01-09 00,389713,49204,288068,52259,0,182,0
2014-01-09 01,249626,35293,182286,31854,0,191,2
2014-01-09 02,187322,27107,135994,24042,0,179,0
2014-01-09 03,145695,22664,104294,18502,0,235,0
2014-01-09 04,118408,18470,84846,14909,0,183,0
2014-01-09 05,122189,18060,88404,15546,0,179,0
2014-01-09 06,183492,23478,135836,23972,0,206,0
2014-01-09 07,419749,44227,314106,61235,0,181,0
2014-01-09 08,1012710,95675,761872,154992,0,171,0
2014-01-09 09,1249057,126827,934142,187912,0,174,2
2014-01-09 10,1077103,110417,808513,158002,0,171,0
2014-01-09 11,949135,96826,717958,134205,0,146,0
2014-01-09 12,875724,91263,663780,120526,0,155,0
2014-01-09 13,948256,99754,717673,130667,0,162,0
2014-01-09 14,1022848,102521,775373,144788,0,166,0
2014-01-09 15,1034766,102879,784866,146877,0,144,0
2014-01-09 16,953485,93967,724091,135294,0,133,0
2014-01-09 17,775117,80523,581318,113125,0,151,0
2014-01-09 18,680300,74602,509626,95953,0,119,0
2014-01-09 19,669775,74942,500619,94067,0,147,0
2014-01-09 20,714225,79979,530964,103127,0,155,0
2014-01-09 21,718378,80952,532383,104908,0,133,2
2014-01-09 22,648751,76462,477824,94323,0,142,0
2014-01-09 23,487843,57372,361954,68346,0,171,0
2014-01-10 00,291260,36857,215961,38287,0,155,0
2014-01-10 01,233679,31653,171430,30428,0,166,2
2014-01-10 02,168546,25255,122090,21004,0,197,0
2014-01-10 03,130288,19647,94302,16166,0,173,0
2014-01-10 04,120244,17889,86926,15262,0,167,0
2014-01-10 05,124865,17576,91110,16006,0,171,2
2014-01-10 06,181264,22343,134630,24098,0,193,0
2014-01-10 07,381392,41244,287358,52625,0,165,0
2014-01-10 08,795997,74803,606306,114736,0,152,0
2014-01-10 09,983251,96326,742584,144178,0,163,0
2014-01-10 10,1029224,100758,775173,153119,0,174,0
2014-01-10 11,942752,95844,708082,138649,0,177,0
2014-01-10 12,906972,96309,678032,132439,0,192,0
2014-01-10 13,875062,92559,654003,128324,0,176,0
2014-01-10 14,1102242,116674,823684,161688,0,196,0
2014-01-10 15,1074816,111691,805310,157601,0,214,0
2014-01-10 16,1040312,107879,778184,154038,0,211,0
2014-01-10 17,840154,93371,624062,122536,0,185,0
2014-01-10 18,791468,90790,585516,114988,0,174,0
2014-01-10 19,812005,93673,603040,115176,0,116,0
2014-01-10 20,903319,106651,665884,130616,0,168,0
2014-01-10 21,750714,88473,551534,110536,0,171,0
2014-01-10 22,567642,67654,417798,82071,0,119,0
2014-01-10 23,434060,53302,319885,60740,0,133,0
2014-01-11 00,319822,40320,236046,43314,0,142,0
2014-01-11 01,251414,33352,185306,32620,0,136,0
2014-01-11 02,188540,27584,137108,23685,0,163,0
2014-01-11 03,140166,22055,100376,17541,0,194,0
2014-01-11 04,115720,18175,83054,14315,0,176,0
2014-01-11 05,123010,17601,89216,16031,0,162,0
2014-01-11 06,169412,21924,125014,22321,0,153,0
2014-01-11 07,269776,32135,201666,35822,0,153,0
2014-01-11 08,561695,58422,424094,79046,0,133,0
2014-01-11 09,756559,82387,567354,106638,0,180,0
2014-01-11 10,856833,96116,637395,123165,0,157,0
2014-01-11 11,838818,94279,622680,121683,0,174,2
2014-01-11 12,692917,79135,513690,99946,0,146,0
2014-01-11 13,665279,76373,495072,93690,0,144,0
2014-01-11 14,642663,72587,479808,90136,0,132,0
2014-01-11 20,656449,77743,483984,94587,0,135,0
2014-01-11 21,594996,70978,436545,87346,0,127,0
2014-01-11 23,401873,47669,296974,57130,0,100,0
2014-01-12 00,102626,13157,75359,14071,0,39,0
2014-01-12 01,113400,15877,83072,14374,0,77,0
2014-01-12 02,88148,12782,64393,10916,0,57,0
2014-01-12 03,67623,10570,48534,8450,0,69,0
2014-01-12 04,54938,8771,39470,6630,0,67,0
2014-01-12 05,53454,8024,38526,6828,0,76,0
2014-01-12 06,69476,8922,51398,9090,0,66,0
2014-01-12 07,112164,13294,83991,14820,0,59,0
