date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,5372,3111,0,2261,0,0,0
2014-01-07 18,5652,3268,2,2382,0,0,0
2014-01-07 19,5300,3146,0,2154,0,0,0
2014-01-07 20,5603,3287,0,2316,0,0,0
2014-01-07 21,5400,3137,0,2263,0,0,0
2014-01-07 22,5013,2945,0,2068,0,0,0
2014-01-07 23,4981,2938,0,2043,0,0,0
2014-01-08 00,3310,1908,0,1402,0,0,0
2014-01-08 01,2199,1244,0,955,0,0,0
2014-01-08 02,1464,810,0,654,0,0,0
2014-01-08 03,1248,715,0,533,0,0,0
2014-01-08 04,882,507,0,375,0,0,0
2014-01-08 05,713,402,0,311,0,0,0
2014-01-08 06,895,508,0,387,0,0,0
2014-01-08 07,1740,1010,0,730,0,0,0
2014-01-08 08,3030,1729,0,1301,0,0,0
2014-01-08 09,4405,2526,0,1879,0,0,0
2014-01-08 10,5068,2927,0,2141,0,0,0
2014-01-08 11,5547,3239,0,2308,0,0,0
2014-01-08 12,5543,3196,0,2347,0,0,0
2014-01-08 13,5560,3243,0,2317,0,0,0
2014-01-08 14,5359,3088,0,2271,0,0,0
2014-01-08 15,5143,2995,0,2148,0,0,0
2014-01-08 16,4869,2818,0,2051,0,0,0
2014-01-08 17,4768,2789,0,1979,0,0,0
2014-01-08 18,5004,2906,0,2098,0,0,0
2014-01-08 19,5394,3176,0,2218,0,0,0
2014-01-08 20,5135,2982,0,2153,0,0,0
2014-01-08 21,5260,3060,0,2200,0,0,0
2014-01-08 22,4858,2844,0,2014,0,0,0
2014-01-08 23,4110,2427,0,1683,0,0,0
2014-01-09 00,2533,1465,0,1068,0,0,0
2014-01-09 01,1921,1104,0,817,0,0,0
2014-01-09 02,1588,918,8,662,0,0,0
2014-01-09 03,1101,632,0,469,0,0,0
2014-01-09 04,865,502,0,363,0,0,0
2014-01-09 05,758,449,0,309,0,0,0
2014-01-09 06,846,504,0,342,0,0,0
2014-01-09 07,1685,961,0,724,0,0,0
2014-01-09 08,3048,1753,0,1295,0,0,0
2014-01-09 09,4501,2609,0,1892,0,0,0
2014-01-09 10,4403,2547,0,1856,0,0,0
2014-01-09 11,4417,2567,0,1850,0,0,0
2014-01-09 12,4766,2779,0,1987,0,0,0
2014-01-09 13,4817,2796,0,2021,0,0,0
2014-01-09 14,4929,2848,0,2081,0,0,0
2014-01-09 15,5002,2955,0,2047,0,0,0
2014-01-09 16,4549,2656,0,1893,0,0,0
2014-01-09 17,3619,2095,0,1524,0,0,0
2014-01-09 18,3928,2305,0,1623,0,0,0
2014-01-09 19,3862,2243,0,1619,0,0,0
2014-01-09 20,4090,2416,0,1674,0,0,0
2014-01-09 21,4078,2408,0,1670,0,0,0
2014-01-09 22,3639,2155,0,1484,0,0,0
2014-01-09 23,3282,1979,0,1303,0,0,0
2014-01-10 00,2156,1228,0,928,0,0,0
2014-01-10 01,2176,1255,0,921,0,0,0
2014-01-10 02,1644,938,0,706,0,0,0
2014-01-10 03,1172,680,0,492,0,0,0
2014-01-10 04,922,519,0,403,0,0,0
2014-01-10 05,826,468,0,358,0,0,0
2014-01-10 06,1051,602,0,449,0,0,0
2014-01-10 07,1718,985,0,733,0,0,0
2014-01-10 08,2570,1474,0,1096,0,0,0
2014-01-10 09,3706,2158,0,1548,0,0,0
2014-01-10 10,4053,2357,0,1696,0,0,0
2014-01-10 11,4083,2402,0,1681,0,0,0
2014-01-10 12,4460,2628,0,1832,0,0,0
2014-01-10 13,4135,2408,0,1727,0,0,0
2014-01-10 14,5028,2955,0,2073,0,0,0
2014-01-10 15,4894,2857,0,2037,0,0,0
2014-01-10 16,4860,2854,0,2006,0,0,0
2014-01-10 17,3190,1835,0,1355,0,0,0
2014-01-10 18,4520,2582,0,1938,0,0,0
2014-01-10 19,5077,2999,0,2078,0,0,0
2014-01-10 20,5309,3077,0,2232,0,0,0
2014-01-10 21,4280,2526,0,1754,0,0,0
2014-01-10 22,3411,2005,0,1406,0,0,0
2014-01-10 23,3098,1849,0,1249,0,0,0
2014-01-11 00,2218,1276,0,942,0,0,0
2014-01-11 01,2152,1228,0,924,0,0,0
2014-01-11 02,1722,991,0,731,0,0,0
2014-01-11 03,1350,784,0,566,0,0,0
2014-01-11 04,1030,597,0,433,0,0,0
2014-01-11 05,846,483,0,363,0,0,0
2014-01-11 06,869,500,0,369,0,0,0
2014-01-11 07,1430,809,0,621,0,0,0
2014-01-11 08,2486,1432,0,1054,0,0,0
2014-01-11 09,3575,2041,0,1534,0,0,0
2014-01-11 10,4075,2316,0,1759,0,0,0
2014-01-11 11,4304,2467,0,1837,0,0,0
2014-01-11 12,3665,2070,0,1595,0,0,0
2014-01-11 13,3549,2026,2,1521,0,0,0
2014-01-11 14,3420,1962,0,1458,0,0,0
2014-01-11 20,3931,2294,0,1637,0,0,0
2014-01-11 21,3459,2058,0,1401,0,0,0
2014-01-11 23,2515,1501,0,1014,0,0,0
2014-01-12 00,603,341,0,262,0,0,0
2014-01-12 01,953,542,0,411,0,0,0
2014-01-12 02,834,475,0,359,0,0,0
2014-01-12 03,614,348,0,266,0,0,0
2014-01-12 04,424,240,0,184,0,0,0
2014-01-12 05,346,199,0,147,0,0,0
2014-01-12 06,359,217,0,142,0,0,0
2014-01-12 07,597,339,0,258,0,0,0
2014-01-12 08,745,437,0,308,0,0,0
2014-01-12 09,933,529,0,404,0,0,0
2014-01-12 10,1288,728,0,560,0,0,0
2014-01-12 11,1205,695,0,510,0,0,0
2014-01-12 12,1426,826,0,600,0,0,0
2014-01-12 13,2063,1185,0,878,0,0,0
2014-01-12 14,1907,1085,0,822,0,0,0
