date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,6893,5053,676,1164,0,0,0
2014-01-07 18,6252,4516,758,978,0,0,0
2014-01-07 19,6160,4573,514,1073,0,0,0
2014-01-07 20,6202,4454,758,990,0,0,0
2014-01-07 21,6471,4656,743,1072,0,0,0
2014-01-07 22,6910,4911,832,1167,0,0,0
2014-01-07 23,5538,4083,617,838,0,0,0
2014-01-08 00,4826,3725,345,756,0,0,0
2014-01-08 01,4188,3367,140,681,0,0,0
2014-01-08 02,4571,3711,115,745,0,0,0
2014-01-08 03,4992,4041,126,825,0,0,0
2014-01-08 04,4936,4043,121,772,0,0,0
2014-01-08 05,4909,3994,132,783,0,0,0
2014-01-08 06,5245,4201,213,831,0,0,0
2014-01-08 07,5563,4377,348,838,0,0,0
2014-01-08 08,6126,4690,422,1014,0,0,0
2014-01-08 09,6394,4892,361,1141,0,0,0
2014-01-08 10,6661,5072,390,1199,0,0,0
2014-01-08 11,6163,4695,405,1063,0,0,0
2014-01-08 12,6366,4745,612,1009,0,0,0
2014-01-08 13,5741,4337,486,918,0,0,0
2014-01-08 14,5955,4576,486,893,0,0,0
2014-01-08 15,5586,4198,527,861,0,0,0
2014-01-08 16,5685,4342,496,847,0,0,0
2014-01-08 17,5748,4361,538,849,0,0,0
2014-01-08 18,5559,4272,496,791,0,0,0
2014-01-08 19,6363,4657,759,947,0,0,0
2014-01-08 20,6308,4671,703,934,0,0,0
2014-01-08 21,6407,4728,764,915,0,0,0
2014-01-08 22,5394,4068,544,782,0,0,0
2014-01-08 23,5087,3888,476,723,0,0,0
2014-01-09 00,5223,4152,269,802,0,0,0
2014-01-09 01,4777,3892,146,739,0,0,0
2014-01-09 02,4838,3979,118,741,0,0,0
2014-01-09 03,4899,4047,122,730,0,0,0
2014-01-09 04,4407,3637,114,656,0,0,0
2014-01-09 05,4433,3639,108,686,0,0,0
2014-01-09 06,4957,4088,114,755,0,0,0
2014-01-09 07,5486,4468,202,816,0,0,0
2014-01-09 08,6918,5433,451,1034,0,0,0
2014-01-09 09,7534,5892,438,1204,0,0,0
2014-01-09 10,6471,5021,480,970,0,0,0
2014-01-09 11,5837,4610,333,894,0,0,0
2014-01-09 12,6581,4969,644,968,0,0,0
2014-01-09 13,6619,4946,721,952,0,0,0
2014-01-09 14,6702,4982,771,949,0,0,0
2014-01-09 15,6453,4786,734,933,0,0,0
2014-01-09 16,6045,4476,655,914,0,0,0
2014-01-09 17,4889,3709,405,775,0,0,0
2014-01-09 18,4889,3734,403,752,0,0,0
2014-01-09 19,4894,3726,448,720,0,0,0
2014-01-09 20,5260,3878,603,779,0,0,0
2014-01-09 21,5212,3875,582,755,0,0,0
2014-01-09 22,5121,3788,608,725,0,0,0
2014-01-09 23,4420,3365,404,651,0,0,0
2014-01-10 00,4716,3810,160,746,0,0,0
2014-01-10 01,4560,3745,136,679,0,0,0
2014-01-10 02,4746,3889,136,721,0,0,0
2014-01-10 03,4757,3915,102,740,0,0,0
2014-01-10 04,4774,3991,106,677,0,0,0
2014-01-10 05,24371,22671,106,1594,0,0,0
2014-01-10 06,25099,21440,126,3533,0,0,0
2014-01-10 07,19174,16064,154,2956,0,0,0
2014-01-10 08,6590,5265,355,970,0,0,0
2014-01-10 09,6756,5306,378,1072,0,0,0
2014-01-10 10,6770,5334,396,1040,0,0,0
2014-01-10 11,4403,3355,476,572,0,0,0
2014-01-10 12,4203,3278,396,529,0,0,0
2014-01-10 13,4503,3479,432,592,0,0,0
2014-01-10 14,4803,3681,444,678,0,0,0
2014-01-10 15,19407,18420,414,573,0,0,0
2014-01-10 16,4475,3271,613,591,0,0,0
2014-01-10 17,4300,3245,511,544,0,0,0
2014-01-10 18,4562,3464,579,519,0,0,0
2014-01-10 19,4881,3638,625,618,0,0,0
2014-01-10 20,5447,3978,746,723,0,0,0
2014-01-10 21,3809,2730,585,494,0,0,0
2014-01-10 22,3726,2660,639,427,0,0,0
2014-01-10 23,3254,2260,614,380,0,0,0
2014-01-11 00,2573,1994,236,343,0,0,0
2014-01-11 01,2668,2113,202,353,0,0,0
2014-01-11 02,2792,2277,166,349,0,0,0
2014-01-11 03,2664,2143,182,339,0,0,0
2014-01-11 04,2675,2149,208,318,0,0,0
2014-01-11 05,2651,2135,178,338,0,0,0
2014-01-11 06,3049,2506,146,397,0,0,0
2014-01-11 07,3356,2729,186,441,0,0,0
2014-01-11 08,3182,2513,221,448,0,0,0
2014-01-11 09,3751,2966,273,512,0,0,0
2014-01-11 10,3807,2941,322,544,0,0,0
2014-01-11 11,4206,3215,428,563,0,0,0
2014-01-11 12,3183,2524,250,409,0,0,0
2014-01-11 13,3178,2502,265,411,0,0,0
2014-01-11 14,3444,2638,362,444,0,0,0
2014-01-11 20,4029,2867,691,471,0,0,0
2014-01-11 21,3411,2480,526,405,0,0,0
2014-01-11 23,2918,2083,461,374,0,0,0
2014-01-12 00,104,64,28,12,0,0,0
2014-01-12 01,54,39,11,4,0,0,0
2014-01-12 02,63,46,12,5,0,0,0
2014-01-12 03,22,16,4,2,0,0,0
2014-01-12 04,28,22,4,2,0,0,0
2014-01-12 05,46,34,6,6,0,0,0
2014-01-12 06,31,24,6,1,0,0,0
2014-01-12 07,61,42,12,7,0,0,0
2014-01-12 08,133,93,26,14,0,0,0
2014-01-12 09,203,132,50,21,0,0,0
2014-01-12 10,251,144,85,22,0,0,0
2014-01-12 11,239,145,78,16,0,0,0
2014-01-12 12,181,115,40,26,0,0,0
2014-01-12 13,346,240,65,41,0,0,0
2014-01-12 14,215,133,64,18,0,0,0
2014-01-12 15,343,185,130,28,0,0,0
2014-01-12 16,345,193,120,32,0,0,0
2014-01-12 17,396,213,155,28,0,0,0
2014-01-12 18,408,213,169,26,0,0,0
2014-01-12 19,509,266,220,23,0,0,0
2014-01-12 20,452,233,199,20,0,0,0
2014-01-12 21,578,306,224,48,0,0,0
2014-01-12 22,491,295,114,82,0,0,0
2014-01-12 23,433,296,84,53,0,0,0
2014-01-13 00,138,94,12,32,0,0,0
2014-01-13 01,93,71,12,10,0,0,0
2014-01-13 02,78,58,6,14,0,0,0
2014-01-13 03,73,60,3,10,0,0,0
2014-01-13 04,71,56,2,13,0,0,0
2014-01-13 05,80,62,6,12,0,0,0
2014-01-13 06,130,85,32,13,0,0,0
2014-01-13 07,253,123,104,26,0,0,0
2014-01-13 08,627,325,252,50,0,0,0
2014-01-13 09,488,240,198,50,0,0,0
2014-01-13 10,582,302,227,53,0,0,0
2014-01-13 11,434,217,174,43,0,0,0
2014-01-13 12,480,251,190,39,0,0,0
2014-01-13 13,366,215,116,35,0,0,0
2014-01-13 14,370,206,108,56,0,0,0
2014-01-13 15,1096,692,288,116,0,0,0
2014-01-13 16,5533,4126,634,773,0,0,0
2014-01-13 17,5154,3817,656,681,0,0,0
2014-01-13 18,4081,3058,540,483,0,0,0
2014-01-13 19,4266,3208,515,543,0,0,0
2014-01-13 20,5403,4082,565,756,0,0,0
2014-01-13 21,5611,4174,683,754,0,0,0
2014-01-13 22,5429,4078,618,733,0,0,0
2014-01-13 23,5172,3989,454,729,0,0,0
2014-01-14 00,4818,3886,246,686,0,0,0
2014-01-14 01,5227,4248,177,802,0,0,0
2014-01-14 02,4806,3967,127,712,0,0,0
2014-01-14 03,4816,3967,142,707,0,0,0
2014-01-14 04,5255,4407,144,704,0,0,0
2014-01-14 05,37421,32955,152,4314,0,0,0
2014-01-14 06,20986,18773,174,2039,0,0,0
2014-01-14 07,12303,10088,298,1917,0,0,0
2014-01-14 08,5530,4311,384,835,0,0,0
2014-01-14 09,6307,4966,389,952,0,0,0
2014-01-14 10,6652,5231,406,1015,0,0,0
2014-01-14 11,6329,4999,368,962,0,0,0
2014-01-14 12,5810,4633,282,895,0,0,0
2014-01-14 13,5353,4283,265,805,0,0,0
2014-01-14 14,6598,5304,306,988,0,0,0
2014-01-14 15,20528,18769,484,1275,0,0,0
2014-01-14 16,7179,5484,737,958,0,0,0
2014-01-14 17,7194,5455,771,968,0,0,0
2014-01-14 18,6108,4742,552,814,0,0,0
2014-01-14 19,6309,4834,612,863,0,0,0
2014-01-14 20,5780,4360,625,795,0,0,0
2014-01-14 21,5818,4336,678,804,0,0,0
2014-01-14 22,5386,3945,715,726,0,0,0
2014-01-14 23,5512,4221,516,775,0,0,0
2014-01-15 00,4795,3886,192,717,0,0,0
2014-01-15 01,4647,3809,143,695,0,0,0
2014-01-15 02,4722,3899,148,675,0,0,0
2014-01-15 03,4594,3784,138,672,0,0,0
2014-01-15 04,4666,3864,151,651,0,0,0
2014-01-15 05,4897,4080,126,691,0,0,0
2014-01-15 06,5197,4239,192,766,0,0,0
2014-01-15 07,5203,4115,366,722,0,0,0
2014-01-15 08,5758,4621,328,809,0,0,0
2014-01-15 09,5649,4502,299,848,0,0,0
2014-01-15 10,5558,4417,303,838,0,0,0
2014-01-15 11,5277,4130,360,787,0,0,0
2014-01-15 12,5314,4241,288,785,0,0,0
2014-01-15 13,5449,4284,408,757,0,0,0
2014-01-15 14,5125,3947,476,702,0,0,0
2014-01-15 15,4316,3252,537,527,0,0,0
2014-01-15 16,2519,1844,360,315,0,0,0
2014-01-15 17,2359,1721,334,304,0,0,0
2014-01-15 18,2129,1572,286,271,0,0,0
2014-01-15 20,2442,1735,450,257,0,0,0
2014-01-15 21,4189,3056,628,505,0,0,0
2014-01-15 22,4279,3171,550,558,0,0,0
2014-01-15 23,4889,3819,424,646,0,0,0
2014-01-16 00,4041,3300,140,601,0,0,0
2014-01-16 01,3759,3085,120,554,0,0,0
2014-01-16 02,2657,2182,124,351,0,0,0
2014-01-16 03,3021,2484,126,411,0,0,0
2014-01-16 04,3085,2526,130,429,0,0,0
2014-01-16 05,2848,2339,136,373,0,0,0
2014-01-16 06,3216,2670,90,456,0,0,0
2014-01-16 07,3202,2618,132,452,0,0,0
2014-01-16 08,3492,2799,186,507,0,0,0
2014-01-16 09,3871,3077,240,554,0,0,0
2014-01-16 10,4932,3985,268,679,0,0,0
2014-01-16 11,3800,3057,228,515,0,0,0
2014-01-16 12,3038,2340,208,490,0,0,0
2014-01-16 13,3102,2456,198,448,0,0,0
2014-01-16 14,3670,2849,240,581,0,0,0
2014-01-16 15,3726,2888,272,566,0,0,0
2014-01-16 16,3994,2931,498,565,0,0,0
2014-01-16 17,1589,1018,382,189,0,0,0
2014-01-16 18,4959,3724,448,787,0,0,0
2014-01-16 19,5275,3927,526,822,0,0,0
2014-01-16 20,4812,3669,382,761,0,0,0
2014-01-16 21,5267,4137,278,852,0,0,0
2014-01-16 22,5568,4371,268,929,0,0,0
2014-01-16 23,6050,4877,172,1001,0,0,0
2014-01-17 00,5610,4560,162,888,0,0,0
2014-01-17 01,4594,3726,120,748,0,0,0
2014-01-17 02,4644,3767,172,705,0,0,0
2014-01-17 03,3743,3064,160,519,0,0,0
2014-01-17 04,3267,2706,132,429,0,0,0
2014-01-17 05,2988,2445,146,397,0,0,0
2014-01-17 06,3121,2559,144,418,0,0,0
2014-01-17 07,4226,3310,274,642,0,0,0
2014-01-17 08,5008,3873,358,777,0,0,0
2014-01-17 09,5163,4044,255,864,0,0,0
2014-01-17 10,5369,4131,407,831,0,0,0
2014-01-17 11,5323,4214,213,896,0,0,0
2014-01-17 12,5615,4359,368,888,0,0,0
2014-01-17 13,6265,4803,545,917,0,0,0
2014-01-17 14,6356,4861,573,922,0,0,0
2014-01-17 15,6452,4922,605,925,0,0,0
2014-01-17 16,6491,4902,659,930,0,0,0
2014-01-17 17,6795,5672,280,843,0,0,0
2014-01-17 18,20766,18303,62,2401,0,0,0
2014-01-17 19,16581,14655,68,1858,0,0,0
2014-01-17 20,1752,1361,104,287,0,0,0
2014-01-17 21,1670,1325,102,243,0,0,0
2014-01-17 22,1706,1353,112,241,0,0,0
2014-01-17 23,1676,1328,68,280,0,0,0
2014-01-18 00,1828,1478,62,288,0,0,0
2014-01-18 01,1555,1211,60,284,0,0,0
2014-01-18 02,3963,3203,142,618,0,0,0
2014-01-18 03,3921,3176,134,611,0,0,0
2014-01-18 04,3992,3229,141,622,0,0,0
2014-01-18 05,3901,3153,143,605,0,0,0
2014-01-18 06,3937,3200,114,623,0,0,0
2014-01-18 07,4374,3469,210,695,0,0,0
2014-01-18 08,4725,3714,309,702,0,0,0
2014-01-18 09,25369,23360,408,1601,0,0,0
2014-01-18 10,13169,11759,288,1122,0,0,0
2014-01-18 11,3854,2997,193,664,0,0,0
2014-01-18 12,3871,3045,183,643,0,0,0
2014-01-18 13,3932,3069,214,649,0,0,0
2014-01-18 14,4511,3375,425,711,0,0,0
2014-01-18 15,4877,3668,460,749,0,0,0
2014-01-18 16,4914,3678,506,730,0,0,0
2014-01-18 17,4892,3692,436,764,0,0,0
2014-01-18 18,4819,3667,422,730,0,0,0
2014-01-18 19,5028,3744,511,773,0,0,0
2014-01-18 20,5237,3955,497,785,0,0,0
2014-01-18 21,5659,4264,522,873,0,0,0
2014-01-18 22,6006,4669,452,885,0,0,0
2014-01-18 23,5905,4633,396,876,0,0,0
2014-01-19 00,3605,2839,200,566,0,0,0
2014-01-19 01,4394,3527,198,669,0,0,0
2014-01-19 02,3456,2794,126,536,0,0,0
2014-01-19 03,3007,2444,74,489,0,0,0
2014-01-19 04,2735,2227,58,450,0,0,0
2014-01-19 05,2618,2138,58,422,0,0,0
2014-01-19 06,2787,2208,106,473,0,0,0
2014-01-19 07,3050,2451,112,487,0,0,0
2014-01-19 08,874,652,114,108,0,0,0
2014-01-19 09,3330,2594,210,526,0,0,0
2014-01-19 10,3312,2542,198,572,0,0,0
2014-01-19 11,2993,2332,160,501,0,0,0
2014-01-19 12,2148,1623,174,351,0,0,0
2014-01-19 13,3472,2714,184,574,0,0,0
2014-01-19 14,3114,2155,508,451,0,0,0
2014-01-19 15,3097,2203,410,484,0,0,0
2014-01-19 16,3594,2559,457,578,0,0,0
2014-01-19 17,3616,2676,402,538,0,0,0
2014-01-19 18,2729,1924,428,377,0,0,0
2014-01-19 19,2194,1480,422,292,0,0,0
2014-01-19 20,2844,1970,506,368,0,0,0
2014-01-19 21,4175,3169,451,555,0,0,0
2014-01-19 22,2912,2085,420,407,0,0,0
2014-01-19 23,3608,2748,344,516,0,0,0
2014-01-20 00,3910,3078,238,594,0,0,0
2014-01-20 01,3995,3187,166,642,0,0,0
2014-01-20 02,5557,4486,136,935,0,0,0
2014-01-20 03,2886,2312,124,450,0,0,0
2014-01-20 04,3063,2482,112,469,0,0,0
2014-01-20 05,3041,2467,122,452,0,0,0
2014-01-20 06,2979,2386,126,467,0,0,0
2014-01-20 07,2718,2074,216,428,0,0,0
2014-01-20 08,3550,2633,436,481,0,0,0
2014-01-20 09,4112,2997,540,575,0,0,0
2014-01-20 10,3848,2877,388,583,0,0,0
2014-01-20 11,3468,2707,186,575,0,0,0
2014-01-20 12,3471,2736,168,567,0,0,0
2014-01-20 13,3757,2888,298,571,0,0,0
2014-01-20 14,3520,2498,549,473,0,0,0
2014-01-20 15,3472,2453,544,475,0,0,0
2014-01-20 16,3270,2365,417,488,0,0,0
2014-01-20 17,3665,2715,406,544,0,0,0
2014-01-20 18,3640,2745,368,527,0,0,0
2014-01-20 19,3432,2551,357,524,0,0,0
2014-01-20 20,3410,2487,374,549,0,0,0
2014-01-20 21,3582,2661,385,536,0,0,0
2014-01-20 22,3410,2551,341,518,0,0,0
2014-01-20 23,3209,2433,288,488,0,0,0
2014-01-21 00,3176,2434,268,474,0,0,0
2014-01-21 01,2841,2231,164,446,0,0,0
2014-01-21 02,2710,2166,117,427,0,0,0
2014-01-21 03,2744,2188,114,442,0,0,0
2014-01-21 04,2502,1985,106,411,0,0,0
2014-01-21 05,2610,2058,118,434,0,0,0
2014-01-21 06,2566,2020,110,436,0,0,0
2014-01-21 07,2506,1929,172,405,0,0,0
2014-01-21 08,2785,2059,276,450,0,0,0
2014-01-21 09,2885,2127,311,447,0,0,0
2014-01-21 10,8078,6963,294,821,0,0,0
2014-01-21 11,29805,26016,190,3599,0,0,0
2014-01-21 12,27155,23658,334,3163,0,0,0
2014-01-21 13,4527,3464,392,671,0,0,0
2014-01-21 14,411,230,145,36,0,0,0
2014-01-21 15,5474,4864,208,402,0,0,0
2014-01-21 16,7703,6676,245,782,0,0,0
2014-01-21 17,3755,2910,314,531,0,0,0
2014-01-21 18,3586,2780,292,514,0,0,0
2014-01-21 19,3761,2951,296,514,0,0,0
2014-01-21 20,3603,2763,343,497,0,0,0
2014-01-21 21,6085,5042,360,683,0,0,0
2014-01-21 22,17214,14816,308,2090,0,0,0
2014-01-21 23,15488,13418,248,1822,0,0,0
2014-01-22 00,3414,2738,201,475,0,0,0
2014-01-22 01,3376,2740,168,468,0,0,0
2014-01-22 02,3209,2674,124,411,0,0,0
2014-01-22 03,14235,13055,118,1062,0,0,0
2014-01-22 04,11312,10119,106,1087,0,0,0
2014-01-22 05,3149,2588,141,420,0,0,0
2014-01-22 06,2629,2141,116,372,0,0,0
2014-01-22 07,2616,2077,214,325,0,0,0
2014-01-22 08,3585,2752,364,469,0,0,0
2014-01-22 09,5489,4421,452,616,0,0,0
2014-01-22 10,17578,15225,331,2022,0,0,0
2014-01-22 11,14629,12588,406,1635,0,0,0
2014-01-22 12,2159,1713,192,254,0,0,0
2014-01-22 13,1761,1385,164,212,0,0,0
2014-01-22 14,5966,5350,274,342,0,0,0
2014-01-22 15,6930,6474,217,239,0,0,0
2014-01-22 16,1032,776,138,118,0,0,0
2014-01-22 17,553,418,54,81,0,0,0
2014-01-22 18,653,488,70,95,0,0,0
2014-01-22 19,589,433,66,90,0,0,0
2014-01-22 20,6114,5253,270,591,0,0,0
2014-01-22 21,15798,13440,360,1998,0,0,0
2014-01-22 22,12385,10521,258,1606,0,0,0
2014-01-22 23,2025,1574,162,289,0,0,0
2014-01-23 00,1757,1426,80,251,0,0,0
2014-01-23 01,9037,8274,59,704,0,0,0
2014-01-23 02,8507,7541,38,928,0,0,0
2014-01-23 03,1468,1251,36,181,0,0,0
2014-01-23 04,1176,967,26,183,0,0,0
2014-01-23 05,1192,978,32,182,0,0,0
2014-01-23 06,1200,966,48,186,0,0,0
2014-01-23 07,1519,1254,80,185,0,0,0
2014-01-23 08,15394,13486,170,1738,0,0,0
2014-01-23 09,8428,7411,186,831,0,0,0
2014-01-23 10,8802,7250,295,1257,0,0,0
2014-01-23 11,3195,2381,360,454,0,0,0
2014-01-23 12,2666,1929,332,405,0,0,0
2014-01-23 13,16728,14880,300,1548,0,0,0
2014-01-23 14,2626,1963,256,407,0,0,0
2014-01-23 15,2464,1801,276,387,0,0,0
2014-01-23 16,2820,2064,282,474,0,0,0
2014-01-23 17,2206,1610,226,370,0,0,0
2014-01-23 18,2263,1662,248,353,0,0,0
2014-01-23 19,6164,5223,278,663,0,0,0
2014-01-23 20,15201,12916,315,1970,0,0,0
2014-01-23 21,13454,11557,284,1613,0,0,0
2014-01-23 22,2400,1747,288,365,0,0,0
2014-01-23 23,2289,1722,208,359,0,0,0
2014-01-24 00,1904,1438,191,275,0,0,0
2014-01-24 01,9200,8502,166,532,0,0,0
2014-01-24 02,1983,1531,142,310,0,0,0
2014-01-24 03,1890,1507,122,261,0,0,0
2014-01-24 04,1711,1346,114,251,0,0,0
2014-01-24 05,1970,1551,122,297,0,0,0
2014-01-24 06,2108,1665,128,315,0,0,0
2014-01-24 07,10134,9206,174,754,0,0,0
2014-01-24 08,9635,7794,290,1551,0,0,0
2014-01-24 09,13904,11974,316,1614,0,0,0
2014-01-24 10,2524,1821,347,356,0,0,0
2014-01-24 11,2586,1946,296,344,0,0,0
2014-01-24 12,8691,7980,318,393,0,0,0
2014-01-24 13,3138,2386,306,446,0,0,0
2014-01-24 14,2933,2271,262,400,0,0,0
2014-01-24 15,2748,2026,339,383,0,0,0
2014-01-24 16,2677,1997,308,372,0,0,0
2014-01-24 17,13093,11821,341,931,0,0,0
2014-01-24 18,11289,9324,220,1745,0,0,0
2014-01-24 19,10796,9156,210,1430,0,0,0
2014-01-24 20,2654,2016,268,370,0,0,0
2014-01-24 21,2883,2252,218,413,0,0,0
2014-01-24 22,9996,9403,224,369,0,0,0
2014-01-24 23,2798,2200,212,386,0,0,0
2014-01-25 00,2597,2079,138,380,0,0,0
2014-01-25 01,2069,1638,110,321,0,0,0
2014-01-25 02,2062,1652,120,290,0,0,0
2014-01-25 03,3520,3111,90,319,0,0,0
2014-01-25 04,15709,13725,70,1914,0,0,0
2014-01-25 05,13251,11635,92,1524,0,0,0
2014-01-25 06,1950,1585,88,277,0,0,0
2014-01-25 07,2153,1711,152,290,0,0,0
2014-01-25 08,8654,8100,202,352,0,0,0
2014-01-25 09,2426,1891,200,335,0,0,0
2014-01-25 10,2641,1997,256,388,0,0,0
2014-01-25 11,2612,1935,308,369,0,0,0
2014-01-25 12,2388,1813,254,321,0,0,0
2014-01-25 13,4069,3375,272,422,0,0,0
2014-01-25 14,15963,13824,260,1879,0,0,0
2014-01-25 15,13441,11640,261,1540,0,0,0
2014-01-25 16,1999,1457,262,280,0,0,0
2014-01-25 17,2185,1643,232,310,0,0,0
2014-01-25 18,3068,2559,233,276,0,0,0
2014-01-25 19,10830,9329,268,1233,0,0,0
2014-01-25 20,2271,1688,276,307,0,0,0
2014-01-25 21,2380,1777,272,331,0,0,0
2014-01-25 22,2802,2163,263,376,0,0,0
2014-01-25 23,2771,2154,234,383,0,0,0
2014-01-26 00,4145,3578,192,375,0,0,0
2014-01-26 01,16451,14301,142,2008,0,0,0
2014-01-26 02,13027,11348,136,1543,0,0,0
2014-01-26 03,2084,1710,118,256,0,0,0
2014-01-26 04,1868,1474,116,278,0,0,0
2014-01-26 05,5499,4839,128,532,0,0,0
2014-01-26 06,7266,6632,118,516,0,0,0
2014-01-26 07,2134,1654,182,298,0,0,0
2014-01-26 08,2382,1785,280,317,0,0,0
2014-01-26 09,2475,1816,326,333,0,0,0
2014-01-26 10,3029,2319,324,386,0,0,0
2014-01-26 11,5485,4529,414,542,0,0,0
2014-01-26 12,3692,2968,266,458,0,0,0
2014-01-26 13,3514,2792,286,436,0,0,0
2014-01-26 14,5932,5171,290,471,0,0,0
2014-01-26 15,2440,1840,284,316,0,0,0
2014-01-26 16,6293,5519,314,460,0,0,0
2014-01-26 17,10793,9649,302,842,0,0,0
2014-01-26 18,10897,8983,290,1624,0,0,0
2014-01-26 19,17008,14954,270,1784,0,0,0
2014-01-26 20,14695,12549,286,1860,0,0,0
2014-01-26 21,7900,6459,296,1145,0,0,0
2014-01-26 22,21307,18737,247,2323,0,0,0
2014-01-26 23,20115,17756,268,2091,0,0,0
2014-01-27 00,18350,15771,192,2387,0,0,0
2014-01-27 01,2636,1946,162,528,0,0,0
2014-01-27 02,4690,4235,132,323,0,0,0
2014-01-27 03,6627,6118,141,368,0,0,0
2014-01-27 04,2424,1974,140,310,0,0,0
2014-01-27 05,19404,17145,130,2129,0,0,0
2014-01-27 06,22082,19677,164,2241,0,0,0
2014-01-27 07,17755,15255,190,2310,0,0,0
2014-01-27 08,2959,2264,314,381,0,0,0
2014-01-27 09,6719,5814,380,525,0,0,0
2014-01-27 10,29212,25348,344,3520,0,0,0
2014-01-27 11,24291,21086,358,2847,0,0,0
2014-01-27 12,12904,11724,260,920,0,0,0
2014-01-27 13,22261,19076,184,3001,0,0,0
2014-01-27 14,47582,42152,240,5190,0,0,0
2014-01-27 15,19349,16762,346,2241,0,0,0
2014-01-27 16,64395,56714,340,7341,0,0,0
2014-01-27 17,39765,35330,320,4115,0,0,0
2014-01-27 18,21305,18162,266,2877,0,0,0
2014-01-27 19,53929,49666,267,3996,0,0,0
2014-01-27 20,27554,23791,264,3499,0,0,0
2014-01-27 21,50544,44497,264,5783,0,0,0
2014-01-27 22,37684,33704,249,3731,0,0,0
