date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-08 17,5,5,0,0,0,0,0
2014-01-10 15,1,1,0,0,0,0,0
2014-01-11 11,1,1,0,0,0,0,0
2014-01-13 20,3,3,0,0,0,0,0
2014-01-14 16,1,1,0,0,0,0,0
2014-01-21 21,1,1,0,0,0,0,0
2014-02-20 21,7,7,0,0,0,0,0
2014-02-21 10,1,1,0,0,0,0,0
2014-02-25 10,1,1,0,0,0,0,0
2014-02-26 03,3,3,0,0,0,0,0
2014-02-26 06,1,1,0,0,0,0,0
2014-02-27 04,2,2,0,0,0,0,0
2014-02-28 02,2,2,0,0,0,0,0
2014-03-01 03,2,2,0,0,0,0,0
2014-03-01 10,2,2,0,0,0,0,0
2014-03-02 03,3,3,0,0,0,0,0
2014-03-02 04,3,3,0,0,0,0,0
2014-03-03 03,2,2,0,0,0,0,0
2014-03-04 02,1,1,0,0,0,0,0
2014-03-04 03,1,1,0,0,0,0,0
2014-03-05 02,1,1,0,0,0,0,0
