date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,12,6,0,6,0,0,0
2014-01-07 18,17,12,0,5,0,0,0
2014-01-07 19,12,6,0,6,0,0,0
2014-01-07 20,7,5,0,2,0,0,0
2014-01-07 21,3,0,0,3,0,0,0
2014-01-07 22,9,2,0,7,0,0,0
2014-01-07 23,4,2,0,2,0,0,0
2014-01-08 00,22,4,0,18,0,0,0
2014-01-08 07,4,2,0,2,0,0,0
2014-01-08 08,11,4,0,7,0,0,0
2014-01-08 09,29,11,0,18,0,0,0
2014-01-08 10,8,1,0,7,0,0,0
2014-01-08 11,11,6,0,5,0,0,0
2014-01-08 12,19,8,0,11,0,0,0
2014-01-08 13,9,5,0,4,0,0,0
2014-01-08 14,8,4,0,4,0,0,0
2014-01-08 15,23,6,0,17,0,0,0
2014-01-08 16,16,9,0,7,0,0,0
2014-01-08 17,19,4,0,15,0,0,0
2014-01-08 18,4,2,0,2,0,0,0
2014-01-08 19,5,2,0,3,0,0,0
2014-01-08 20,5,2,0,3,0,0,0
2014-01-08 21,3,0,0,3,0,0,0
2014-01-08 22,9,2,0,7,0,0,0
2014-01-09 08,21,6,0,15,0,0,0
2014-01-09 09,25,10,0,15,0,0,0
2014-01-09 10,13,6,0,7,0,0,0
2014-01-09 11,26,9,0,17,0,0,0
2014-01-09 12,11,1,0,10,0,0,0
2014-01-09 13,10,5,0,5,0,0,0
2014-01-09 14,5,4,0,1,0,0,0
2014-01-09 15,6,1,0,5,0,0,0
2014-01-09 16,7,5,0,2,0,0,0
2014-01-09 17,21,6,0,15,0,0,0
2014-01-09 18,5,2,0,3,0,0,0
2014-01-09 19,5,2,0,3,0,0,0
2014-01-09 20,3,0,0,3,0,0,0
2014-01-09 21,5,2,0,3,0,0,0
2014-01-09 22,6,3,0,3,0,0,0
2014-01-09 23,12,3,0,9,0,0,0
2014-01-10 08,10,4,0,6,0,0,0
2014-01-10 09,18,8,0,10,0,0,0
2014-01-10 10,11,2,0,9,0,0,0
2014-01-10 11,29,13,0,16,0,0,0
2014-01-10 12,2,0,0,2,0,0,0
2014-01-10 13,5,1,0,4,0,0,0
2014-01-10 14,9,3,0,6,0,0,0
2014-01-10 15,27,10,0,17,0,0,0
2014-01-10 16,14,10,0,4,0,0,0
2014-01-10 17,4,0,0,4,0,0,0
2014-01-10 18,4,4,0,0,0,0,0
2014-01-10 19,4,2,0,2,0,0,0
2014-01-10 20,6,2,0,4,0,0,0
2014-01-10 21,11,4,0,7,0,0,0
2014-01-10 23,4,2,0,2,0,0,0
2014-01-11 00,31,11,0,20,0,0,0
2014-01-11 01,19,7,0,12,0,0,0
2014-01-11 08,4,2,0,2,0,0,0
2014-01-11 09,9,2,0,7,0,0,0
2014-01-11 11,8,2,0,6,0,0,0
2014-01-11 12,4,2,0,2,0,0,0
2014-01-11 13,8,3,0,5,0,0,0
2014-01-11 14,14,7,0,7,0,0,0
2014-01-11 20,9,7,0,2,0,0,0
2014-01-11 21,29,10,0,19,0,0,0
2014-01-11 23,6,4,0,2,0,0,0
2014-01-13 15,1,1,0,0,0,0,0
2014-01-13 16,3,0,0,3,0,0,0
2014-01-13 17,21,4,0,17,0,0,0
2014-01-13 18,7,0,0,7,0,0,0
2014-01-13 19,1,0,0,1,0,0,0
2014-01-13 20,18,4,0,14,0,0,0
2014-01-13 21,3,0,0,3,0,0,0
2014-01-13 22,1,0,0,1,0,0,0
2014-01-14 00,1,0,0,1,0,0,0
2014-01-14 01,3,0,0,3,0,0,0
2014-01-14 07,7,3,0,4,0,0,0
2014-01-14 08,7,0,0,7,0,0,0
2014-01-14 09,26,10,0,16,0,0,0
2014-01-14 10,5,2,0,3,0,0,0
2014-01-14 11,6,2,0,4,0,0,0
2014-01-14 12,7,3,0,4,0,0,0
2014-01-14 14,6,3,0,3,0,0,0
2014-01-14 15,4,2,0,2,0,0,0
2014-01-14 16,5,2,0,3,0,0,0
2014-01-14 17,24,6,0,18,0,0,0
2014-01-14 18,7,4,0,3,0,0,0
2014-01-14 19,33,15,0,18,0,0,0
2014-01-14 20,7,3,0,4,0,0,0
2014-01-14 21,5,2,0,3,0,0,0
2014-01-14 22,5,3,0,2,0,0,0
2014-01-14 23,13,4,0,9,0,0,0
2014-01-15 00,5,2,0,3,0,0,0
2014-01-15 07,3,2,0,1,0,0,0
2014-01-15 08,8,3,0,5,0,0,0
2014-01-15 09,8,5,0,3,0,0,0
2014-01-15 10,4,2,0,2,0,0,0
2014-01-15 11,31,17,0,14,0,0,0
2014-01-15 12,25,13,0,12,0,0,0
2014-01-15 13,4,1,0,3,0,0,0
2014-01-15 14,23,9,0,14,0,0,0
2014-01-15 15,7,3,0,4,0,0,0
2014-01-15 16,8,5,0,3,0,0,0
2014-01-15 17,26,7,0,19,0,0,0
2014-01-15 20,4,4,0,0,0,0,0
2014-01-15 21,7,2,0,5,0,0,0
2014-01-15 22,5,2,0,3,0,0,0
2014-01-15 23,7,5,0,2,0,0,0
2014-01-16 00,26,8,0,18,0,0,0
2014-01-16 01,4,2,0,2,0,0,0
2014-01-16 07,10,6,0,4,0,0,0
2014-01-16 09,33,13,0,20,0,0,0
2014-01-16 10,15,5,0,10,0,0,0
2014-01-16 11,4,4,0,0,0,0,0
2014-01-16 12,3,0,0,3,0,0,0
2014-01-16 13,31,13,0,18,0,0,0
