date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,3735,1292,682,1761,0,0,0
2014-01-07 18,3938,1279,722,1933,0,4,0
2014-01-07 19,3793,1207,612,1973,0,1,0
2014-01-07 20,4775,1495,853,2427,0,0,0
2014-01-07 21,4576,1371,716,2489,0,0,0
2014-01-07 22,4044,1349,745,1950,0,0,0
2014-01-07 23,2646,762,420,1464,0,0,0
2014-01-08 00,2186,630,322,1234,0,0,0
2014-01-08 01,1462,372,209,881,0,0,0
2014-01-08 02,1599,271,166,1162,0,0,0
2014-01-08 03,1478,251,144,1083,0,0,0
2014-01-08 04,1662,216,129,1317,0,0,0
2014-01-08 05,1432,243,150,1039,0,0,0
2014-01-08 06,1536,271,161,1104,0,0,0
2014-01-08 07,1838,378,235,1225,0,0,0
2014-01-08 08,2900,722,416,1762,0,0,0
2014-01-08 09,3795,1124,593,2078,0,0,0
2014-01-08 10,4563,1373,772,2416,0,2,0
2014-01-08 11,4092,1317,672,2102,0,1,0
2014-01-08 12,4234,1331,689,2214,0,0,0
2014-01-08 13,3980,1231,636,2113,0,0,0
2014-01-08 14,3795,794,741,2260,0,0,0
2014-01-08 15,3964,717,729,2518,0,0,0
2014-01-08 16,3837,781,685,2371,0,0,0
2014-01-08 17,2631,587,432,1612,0,0,0
2014-01-08 18,2774,554,492,1728,0,0,0
2014-01-08 19,3228,663,599,1965,0,1,0
2014-01-08 20,4051,731,786,2533,0,1,0
2014-01-08 21,3919,687,738,2493,0,1,0
2014-01-08 22,3171,661,589,1921,0,0,0
2014-01-08 23,2549,525,508,1516,0,0,0
2014-01-09 00,1808,255,223,1330,0,0,0
2014-01-09 01,1896,232,217,1446,0,1,0
2014-01-09 02,1410,193,194,1023,0,0,0
2014-01-09 03,1354,196,170,988,0,0,0
2014-01-09 04,1108,126,99,883,0,0,0
2014-01-09 05,1322,182,173,967,0,0,0
2014-01-09 06,1406,192,162,1052,0,0,0
2014-01-09 07,1744,240,210,1294,0,0,0
2014-01-09 08,2948,479,476,1993,0,0,0
2014-01-09 09,3603,627,614,2362,0,0,0
2014-01-09 10,3588,770,646,2172,0,0,0
2014-01-09 11,3215,632,650,1933,0,0,0
2014-01-09 12,3034,651,606,1776,0,1,0
2014-01-09 13,3306,734,648,1924,0,0,0
2014-01-09 14,3633,829,731,2073,0,0,0
2014-01-09 15,4252,883,851,2518,0,0,0
2014-01-09 16,3803,773,755,2275,0,0,0
2014-01-09 17,2311,484,460,1367,0,0,0
2014-01-09 18,2938,538,642,1753,0,5,0
2014-01-09 19,2970,519,542,1906,0,3,0
2014-01-09 20,3266,565,630,2071,0,0,0
2014-01-09 21,2956,617,559,1780,0,0,0
2014-01-09 22,2804,591,622,1591,0,0,0
2014-01-09 23,1926,342,299,1285,0,0,0
2014-01-10 00,1506,233,219,1054,0,0,0
2014-01-10 01,1620,294,247,1079,0,0,0
2014-01-10 02,1341,208,155,977,0,1,0
2014-01-10 03,2022,193,157,1672,0,0,0
2014-01-10 04,1923,165,152,1606,0,0,0
2014-01-10 05,2086,244,202,1640,0,0,0
2014-01-10 06,1642,178,141,1323,0,0,0
2014-01-10 07,2035,284,227,1523,0,1,0
2014-01-10 08,2887,387,396,2102,0,2,0
2014-01-10 09,3641,588,514,2539,0,0,0
2014-01-10 10,3416,665,563,2188,0,0,0
2014-01-10 11,3033,594,508,1931,0,0,0
2014-01-10 12,2903,675,550,1678,0,0,0
2014-01-10 13,2511,541,457,1513,0,0,0
2014-01-10 14,3315,736,739,1840,0,0,0
2014-01-10 15,3245,681,659,1905,0,0,0
2014-01-10 16,3549,740,791,2015,0,3,0
2014-01-10 17,2818,587,615,1613,0,3,0
2014-01-10 18,2906,617,620,1665,0,4,0
2014-01-10 19,2962,644,589,1726,0,3,0
2014-01-10 20,3251,674,635,1940,0,2,0
2014-01-10 21,2823,534,498,1790,0,1,0
2014-01-10 22,2300,413,447,1440,0,0,0
2014-01-10 23,2042,398,466,1178,0,0,0
2014-01-11 00,1490,286,178,1026,0,0,0
2014-01-11 01,1561,240,191,1130,0,0,0
2014-01-11 02,1396,193,161,1042,0,0,0
2014-01-11 03,1435,165,171,1099,0,0,0
2014-01-11 04,1393,231,193,969,0,0,0
2014-01-11 05,1265,169,145,951,0,0,0
2014-01-11 06,1366,232,218,916,0,0,0
2014-01-11 07,1508,211,202,1095,0,0,0
2014-01-11 08,1874,221,233,1420,0,0,0
2014-01-11 09,2758,421,430,1907,0,0,0
2014-01-11 10,3605,584,541,2480,0,0,0
2014-01-11 11,2906,505,450,1950,0,1,0
2014-01-11 12,2730,491,456,1783,0,0,0
2014-01-11 13,2470,489,433,1548,0,0,0
2014-01-11 14,2391,486,414,1491,0,0,0
2014-01-11 20,2397,457,418,1522,0,0,0
2014-01-11 21,2361,494,515,1352,0,0,0
2014-01-11 23,1730,239,341,1150,0,0,0
2014-01-12 00,770,185,178,407,0,0,0
2014-01-12 01,762,112,94,556,0,0,0
2014-01-12 02,821,150,117,554,0,0,0
2014-01-12 03,1020,193,167,660,0,0,0
2014-01-12 04,769,133,129,507,0,0,0
2014-01-12 05,771,141,135,495,0,0,0
2014-01-12 06,735,141,102,492,0,0,0
2014-01-12 07,853,154,129,570,0,0,0
2014-01-12 08,1001,113,95,793,0,0,0
2014-01-12 09,1034,152,184,698,0,0,0
2014-01-12 10,1473,189,231,1053,0,0,0
2014-01-12 11,1009,167,185,656,0,1,0
2014-01-12 12,1158,217,218,723,0,0,0
2014-01-12 13,1318,252,270,796,0,0,0
2014-01-12 14,1484,298,377,809,0,0,0
2014-01-12 15,1261,222,212,827,0,0,0
2014-01-12 16,1438,289,330,819,0,0,0
2014-01-12 17,1051,182,174,695,0,0,0
2014-01-12 18,1364,300,319,745,0,0,0
2014-01-12 19,1417,260,301,856,0,0,0
2014-01-12 20,1609,369,433,807,0,0,0
2014-01-12 21,1389,253,314,822,0,0,0
2014-01-12 22,1501,265,305,930,0,1,0
2014-01-12 23,1197,202,207,788,0,0,0
2014-01-13 00,1058,134,160,764,0,0,0
2014-01-13 01,901,146,144,611,0,0,0
2014-01-13 02,725,94,92,539,0,0,0
2014-01-13 03,718,125,119,474,0,0,0
2014-01-13 04,862,136,120,606,0,0,0
2014-01-13 05,916,132,120,664,0,0,0
2014-01-13 06,929,135,114,680,0,0,0
2014-01-13 07,1029,150,141,738,0,0,0
2014-01-13 08,1531,232,257,1042,0,0,0
2014-01-13 09,1831,293,347,1190,0,1,0
2014-01-13 10,2284,352,328,1604,0,0,0
2014-01-13 11,1839,326,311,1202,0,0,0
2014-01-13 12,1576,391,322,863,0,0,0
2014-01-13 13,1569,377,354,838,0,0,0
2014-01-13 14,1452,299,334,819,0,0,0
2014-01-13 15,1493,342,324,827,0,0,0
2014-01-13 16,2925,597,539,1789,0,0,0
2014-01-13 17,2592,522,501,1569,0,0,0
2014-01-13 18,2448,439,361,1648,0,0,0
2014-01-13 19,2345,521,458,1366,0,0,0
2014-01-13 20,2439,454,539,1443,0,3,0
2014-01-13 21,2558,515,570,1472,0,1,0
2014-01-13 22,2734,471,465,1798,0,0,0
2014-01-13 23,1763,295,297,1171,0,0,0
2014-01-14 00,1432,137,134,1161,0,0,0
2014-01-14 01,2068,207,202,1659,0,0,0
2014-01-14 02,2025,136,106,1783,0,0,0
2014-01-14 03,1734,185,160,1389,0,0,0
2014-01-14 04,1610,166,135,1309,0,0,0
2014-01-14 05,1946,175,149,1622,0,0,0
2014-01-14 06,1835,124,104,1607,0,0,0
2014-01-14 07,2174,205,191,1778,0,0,0
2014-01-14 08,3092,353,444,2294,0,1,0
2014-01-14 09,3672,585,550,2537,0,0,0
2014-01-14 10,3617,575,589,2453,0,0,0
2014-01-14 11,3079,515,550,2014,0,0,0
2014-01-14 12,2786,438,462,1885,0,1,0
2014-01-14 13,2450,520,557,1373,0,0,0
2014-01-14 14,2776,415,453,1908,0,0,0
2014-01-14 15,3026,682,598,1745,0,1,0
2014-01-14 16,3094,559,562,1969,0,4,0
2014-01-14 17,2533,427,374,1731,0,1,0
2014-01-14 18,2356,424,379,1553,0,0,0
2014-01-14 19,2365,464,396,1503,0,2,0
2014-01-14 20,2518,495,424,1598,0,1,0
2014-01-14 21,2893,519,537,1837,0,0,0
2014-01-14 22,2770,476,495,1799,0,0,0
2014-01-14 23,2677,321,337,2019,0,0,0
2014-01-15 00,1891,283,252,1356,0,0,0
2014-01-15 01,1311,216,219,876,0,0,0
2014-01-15 02,1573,187,159,1227,0,0,0
2014-01-15 03,1757,174,150,1433,0,0,0
2014-01-15 04,1781,182,182,1414,0,3,0
2014-01-15 05,1626,111,63,1452,0,0,0
2014-01-15 06,1835,236,198,1401,0,0,0
2014-01-15 07,2037,204,164,1669,0,0,0
2014-01-15 08,2710,349,376,1984,0,1,0
2014-01-15 09,3060,576,544,1940,0,0,0
2014-01-15 10,3091,618,501,1972,0,0,0
2014-01-15 11,3003,606,480,1917,0,0,0
2014-01-15 12,3099,558,569,1971,0,1,0
2014-01-15 13,2801,613,482,1706,0,0,0
2014-01-15 14,2946,619,463,1864,0,0,0
2014-01-15 15,2769,561,416,1792,0,0,0
2014-01-15 16,1726,386,235,1105,0,0,0
2014-01-15 17,1836,383,317,1135,0,1,0
2014-01-15 18,1351,225,174,951,0,1,0
2014-01-15 20,1751,431,327,991,0,2,0
2014-01-15 21,2403,465,411,1527,0,0,0
2014-01-15 22,2643,507,381,1755,0,0,0
2014-01-15 23,2262,377,378,1506,0,1,0
2014-01-16 00,1709,287,231,1191,0,0,0
2014-01-16 01,1345,204,205,936,0,0,0
2014-01-16 02,1000,127,124,749,0,0,0
2014-01-16 03,1423,248,213,962,0,0,0
2014-01-16 04,1229,167,154,908,0,0,0
2014-01-16 05,1139,156,149,834,0,0,0
2014-01-16 06,1143,168,134,841,0,0,0
2014-01-16 07,1458,206,195,1057,0,0,0
2014-01-16 08,2433,429,427,1577,0,0,0
2014-01-16 09,2858,497,441,1920,0,0,0
2014-01-16 10,3204,626,437,2141,0,0,0
2014-01-16 11,2724,449,378,1897,0,0,0
2014-01-16 12,2833,545,483,1805,0,0,0
2014-01-16 13,2876,487,401,1988,0,0,0
2014-01-16 14,2996,565,460,1971,0,0,0
2014-01-16 15,2878,514,341,2022,0,1,0
2014-01-16 16,2846,489,384,1972,0,1,0
2014-01-16 17,2250,402,386,1459,0,3,0
2014-01-16 18,2772,411,365,1994,0,2,0
2014-01-16 19,2740,482,399,1859,0,0,0
2014-01-16 20,2854,553,409,1892,0,0,0
2014-01-16 21,2576,488,368,1719,0,1,0
2014-01-16 22,2748,553,447,1748,0,0,0
2014-01-16 23,2751,347,289,2115,0,0,0
2014-01-17 00,2552,313,334,1905,0,0,0
2014-01-17 01,1716,244,190,1281,0,1,0
2014-01-17 02,1408,185,152,1071,0,0,0
2014-01-17 03,1104,232,207,665,0,0,0
2014-01-17 04,969,178,142,649,0,0,0
2014-01-17 05,955,176,122,657,0,0,0
2014-01-17 06,915,110,89,716,0,0,0
2014-01-17 07,1167,201,170,796,0,0,0
2014-01-17 08,2371,452,439,1480,0,0,0
2014-01-17 09,2765,528,398,1839,0,0,0
2014-01-17 10,3182,655,463,2064,0,0,0
2014-01-17 11,3231,534,444,2253,0,0,0
2014-01-17 12,2757,434,347,1976,0,0,0
2014-01-17 13,3789,508,441,2840,0,0,0
2014-01-17 14,2892,490,393,2009,0,0,0
2014-01-17 15,3066,672,486,1908,0,0,0
2014-01-17 16,3557,578,478,2501,0,0,0
2014-01-17 17,2124,262,252,1610,0,0,0
2014-01-17 18,1042,111,106,825,0,0,0
2014-01-17 19,936,139,84,713,0,0,0
2014-01-17 20,949,128,119,702,0,0,0
2014-01-17 21,833,128,77,628,0,0,0
2014-01-17 22,1570,117,99,1354,0,0,0
2014-01-17 23,1432,136,154,1142,0,0,0
2014-01-18 00,1115,54,78,983,0,0,0
2014-01-18 01,853,44,30,779,0,0,0
2014-01-18 02,1534,175,153,1206,0,0,0
2014-01-18 03,1072,40,52,978,0,2,0
2014-01-18 04,868,91,85,692,0,0,0
2014-01-18 05,738,153,131,454,0,0,0
2014-01-18 06,628,94,74,460,0,0,0
2014-01-18 07,773,102,121,550,0,0,0
2014-01-18 08,1443,247,264,932,0,0,0
2014-01-18 09,1542,246,221,1075,0,0,0
2014-01-18 10,1625,295,252,1078,0,0,0
2014-01-18 11,1699,328,292,1079,0,0,0
2014-01-18 12,1369,176,165,1028,0,0,0
2014-01-18 13,2161,376,341,1444,0,0,0
2014-01-18 14,2205,381,366,1458,0,0,0
2014-01-18 15,2015,377,284,1354,0,0,0
2014-01-18 16,2163,379,370,1414,0,0,0
2014-01-18 17,2060,408,325,1326,0,1,0
2014-01-18 18,2187,315,249,1623,0,0,0
2014-01-18 19,2378,329,307,1742,0,0,0
2014-01-18 20,2771,407,381,1983,0,0,0
2014-01-18 21,2810,410,363,2036,0,1,0
2014-01-18 22,2574,362,224,1988,0,0,0
2014-01-18 23,2185,236,192,1757,0,0,0
2014-01-19 00,1239,230,184,825,0,0,0
