date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,34134,21288,9250,3596,0,0,0
2014-01-07 18,22052,14054,5781,2217,0,0,0
2014-01-07 19,26985,17075,7143,2767,0,0,0
2014-01-07 20,24329,15283,6444,2602,0,0,0
2014-01-07 21,24856,15665,6732,2459,0,0,0
2014-01-07 22,18729,11801,5049,1879,0,0,0
2014-01-07 23,16780,10683,4571,1526,0,0,0
2014-01-08 00,21384,13357,5790,2235,0,0,2
2014-01-08 01,8422,5525,2149,748,0,0,0
2014-01-08 02,3994,2680,1006,308,0,0,0
2014-01-08 03,1760,1221,445,94,0,0,0
2014-01-08 04,3363,2116,865,382,0,0,0
2014-01-08 05,2693,1792,676,225,0,0,0
2014-01-08 06,1501,1022,400,79,0,0,0
2014-01-08 07,3664,2453,957,254,0,0,0
2014-01-08 08,17945,11748,4671,1526,0,0,0
2014-01-08 09,32580,20703,8793,3084,0,0,0
2014-01-08 10,38314,24346,10426,3542,0,0,0
2014-01-08 11,36843,23147,10024,3671,0,0,1
2014-01-08 12,29474,18700,7951,2821,0,0,2
2014-01-08 13,35720,22757,9625,3338,0,0,0
2014-01-08 14,15914,3983,8802,3129,0,0,0
2014-01-08 15,20285,4488,11507,4290,0,0,0
2014-01-08 16,18396,4045,10404,3945,0,0,2
2014-01-08 17,13227,3544,7026,2657,0,0,0
2014-01-08 18,11698,2820,6584,2294,0,0,0
2014-01-08 19,11974,3078,6585,2311,0,0,0
2014-01-08 20,11084,2618,6242,2224,0,0,0
2014-01-08 21,14295,2801,8483,3011,0,0,0
2014-01-08 22,7087,1744,3881,1462,0,0,0
2014-01-08 23,8699,1469,5240,1990,0,0,0
2014-01-09 00,4685,1179,2606,900,0,0,0
2014-01-09 01,2378,580,1369,429,0,0,0
2014-01-09 02,2083,547,1158,378,0,0,0
2014-01-09 03,828,238,480,110,0,0,0
2014-01-09 04,827,207,507,113,0,0,0
2014-01-09 05,467,135,279,53,0,0,0
2014-01-09 06,539,165,303,71,0,0,0
2014-01-09 07,1293,390,726,177,0,0,0
2014-01-09 08,7905,2470,4122,1313,0,0,0
2014-01-09 09,15207,4198,7738,3271,0,0,0
2014-01-09 10,15987,3889,8960,3137,0,0,1
2014-01-09 11,14585,3732,8095,2758,0,0,0
2014-01-09 12,10266,2803,5566,1897,0,0,0
2014-01-09 13,10302,2966,5520,1816,0,0,0
2014-01-09 14,13899,3513,7661,2725,0,0,0
2014-01-09 15,17081,4055,9575,3451,0,0,0
2014-01-09 16,12583,3361,6783,2439,0,0,0
2014-01-09 17,10449,3013,5529,1903,0,0,4
2014-01-09 18,9078,2572,4808,1696,0,0,2
2014-01-09 19,9721,2468,5286,1967,0,0,0
2014-01-09 20,12183,2932,6638,2613,0,0,0
2014-01-09 21,10047,2480,5655,1912,0,0,0
2014-01-09 22,7429,1692,4259,1478,0,0,0
2014-01-09 23,5979,1329,3413,1237,0,0,0
2014-01-10 00,6045,1160,3530,1355,0,0,0
2014-01-10 01,4413,1138,2440,835,0,0,0
2014-01-10 02,1564,442,894,228,0,0,0
2014-01-10 03,1340,405,735,200,0,0,0
2014-01-10 04,561,201,301,59,0,0,0
2014-01-10 05,596,199,331,66,0,0,0
2014-01-10 06,583,188,330,65,0,0,0
2014-01-10 07,1616,446,929,241,0,0,0
2014-01-10 08,7829,2364,4140,1325,0,0,0
2014-01-10 09,11705,3311,6259,2134,0,0,1
2014-01-10 10,14680,4116,7909,2655,0,0,0
2014-01-10 11,12928,3420,7104,2404,0,0,0
2014-01-10 12,10520,2928,5552,2039,0,0,1
2014-01-10 13,10280,2986,5518,1776,0,0,0
2014-01-10 14,10501,3068,5495,1937,0,0,1
2014-01-10 15,12941,3588,6784,2569,0,0,0
2014-01-10 16,13678,3632,7288,2756,0,0,2
2014-01-10 17,10649,3076,5604,1969,0,0,0
2014-01-10 18,11259,2891,6105,2262,0,0,1
2014-01-10 19,10332,2645,5477,2209,0,0,1
2014-01-10 20,8829,2642,4588,1599,0,0,0
2014-01-10 21,8792,2349,4794,1649,0,0,0
2014-01-10 22,6231,1474,3542,1215,0,0,0
2014-01-10 23,4738,1170,2634,934,0,0,0
2014-01-11 00,3848,990,2154,704,0,0,0
2014-01-11 01,2593,706,1471,416,0,0,0
2014-01-11 02,1658,489,923,246,0,0,0
2014-01-11 03,1441,304,820,317,0,0,0
2014-01-11 04,640,210,359,71,0,0,0
2014-01-11 05,973,254,574,145,0,0,0
2014-01-11 06,913,300,512,101,0,0,0
2014-01-11 07,909,303,518,88,0,0,0
2014-01-11 08,5065,1677,2594,794,0,0,0
2014-01-11 09,8298,2558,4375,1365,0,0,0
2014-01-11 10,9154,2868,4710,1576,0,0,0
2014-01-11 11,8926,2701,4737,1488,0,0,0
2014-01-11 12,8787,2542,4760,1485,0,0,0
2014-01-11 13,8728,2587,4649,1492,0,0,0
2014-01-11 14,10966,3091,6052,1823,0,0,0
2014-01-11 20,9495,2435,5086,1974,0,0,0
2014-01-11 21,10706,2623,6101,1982,0,0,0
2014-01-11 23,8154,1365,5005,1784,0,0,0
2014-01-12 00,56,17,38,1,0,0,0
2014-01-12 01,13,4,8,1,0,0,0
2014-01-12 04,3,1,2,0,0,0,0
2014-01-12 06,3,0,2,1,0,0,0
2014-01-12 07,7,1,4,2,0,0,0
2014-01-12 08,6,2,4,0,0,0,0
2014-01-12 09,24,6,14,4,0,0,0
2014-01-12 10,84,21,54,9,0,0,0
2014-01-12 11,39,11,24,4,0,0,0
2014-01-12 12,33,8,22,3,0,0,0
2014-01-12 13,10,3,6,1,0,0,0
2014-01-12 14,76,23,46,7,0,0,0
2014-01-12 15,51,13,32,6,0,0,0
2014-01-12 16,35,10,22,3,0,0,0
2014-01-12 17,17,5,10,2,0,0,0
2014-01-12 18,37,12,24,1,0,0,0
2014-01-12 19,45,11,24,10,0,0,0
2014-01-12 20,64,17,42,5,0,0,0
2014-01-12 21,32,9,18,5,0,0,0
2014-01-12 22,44,11,28,5,0,0,0
2014-01-12 23,34,7,24,3,0,0,0
2014-01-13 00,17,5,10,2,0,0,0
2014-01-13 01,16,5,10,1,0,0,0
2014-01-13 02,7,2,4,1,0,0,0
2014-01-13 03,3,1,2,0,0,0,0
2014-01-13 04,3,1,2,0,0,0,0
2014-01-13 05,3,1,2,0,0,0,0
2014-01-13 06,7,1,6,0,0,0,0
2014-01-13 07,1,0,0,1,0,0,0
2014-01-13 08,26,4,16,6,0,0,0
2014-01-13 09,43,12,26,5,0,0,0
2014-01-13 10,109,29,70,10,0,0,0
2014-01-13 11,61,17,38,6,0,0,0
2014-01-13 12,84,21,56,7,0,0,0
2014-01-13 13,84,21,49,14,0,0,0
2014-01-13 14,56,18,35,3,0,0,0
2014-01-13 15,129,39,86,4,0,0,0
2014-01-13 16,9824,2775,5235,1812,0,0,2
2014-01-13 17,12768,3354,6996,2418,0,0,0
2014-01-13 18,8177,2452,4342,1383,0,0,0
2014-01-13 19,5818,1760,3102,956,0,0,0
2014-01-13 20,8092,2302,4321,1469,0,0,0
2014-01-13 21,7947,2140,4285,1522,0,0,0
2014-01-13 22,6520,1548,3703,1269,0,0,0
2014-01-13 23,5053,1179,2896,977,0,0,1
2014-01-14 00,2573,742,1379,452,0,0,0
2014-01-14 01,2614,705,1504,405,0,0,0
2014-01-14 02,1834,548,990,296,0,0,0
2014-01-14 03,922,284,529,109,0,0,0
2014-01-14 04,620,185,359,76,0,0,0
2014-01-14 05,1272,311,766,195,0,0,0
2014-01-14 06,594,181,350,63,0,0,0
2014-01-14 07,1396,398,801,197,0,0,0
2014-01-14 08,7836,2372,4183,1280,0,1,0
2014-01-14 09,11517,3443,6040,2034,0,0,0
2014-01-14 10,13577,3771,7258,2548,0,0,0
2014-01-14 11,13922,3605,7685,2632,0,0,0
2014-01-14 12,11111,2926,6097,2088,0,0,0
2014-01-14 13,12841,3419,7082,2340,0,0,0
2014-01-14 14,12378,3582,6577,2219,0,0,0
2014-01-14 15,13985,3745,7551,2689,0,0,0
2014-01-14 16,12853,3620,6940,2293,0,0,0
2014-01-14 17,11787,3294,6518,1974,0,0,1
2014-01-14 18,7634,2417,3916,1301,0,0,0
2014-01-14 19,9129,2431,5027,1671,0,0,0
2014-01-14 20,10613,2584,5880,2147,0,0,2
2014-01-14 21,11572,3132,6338,2102,0,0,0
2014-01-14 22,8226,1991,4608,1625,0,0,2
2014-01-14 23,8082,1516,4747,1819,0,0,0
2014-01-15 00,3671,1007,2068,596,0,0,0
2014-01-15 01,2386,628,1355,403,0,0,0
2014-01-15 02,1803,504,1027,272,0,0,0
2014-01-15 03,1137,323,640,174,0,0,0
2014-01-15 04,1023,317,615,91,0,0,0
2014-01-15 05,585,201,328,56,0,0,0
