date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,28309,25431,347,2531,0,0,0
2014-01-07 18,27777,24920,323,2534,0,0,0
2014-01-07 19,27533,24682,348,2503,0,0,0
2014-01-07 20,28449,25629,337,2483,0,0,0
2014-01-07 21,28574,25495,435,2644,0,0,0
2014-01-07 22,28128,25311,367,2450,0,0,0
2014-01-07 23,23388,20906,272,2210,0,0,0
2014-01-08 00,10430,9351,127,952,0,0,0
2014-01-08 01,3528,3217,10,301,0,0,0
2014-01-08 02,1944,1767,16,161,0,0,0
2014-01-08 03,1305,1207,11,87,0,0,0
2014-01-08 04,1704,1536,16,152,0,0,0
2014-01-08 05,1096,995,10,91,0,0,0
2014-01-08 06,2082,1869,20,193,0,0,0
2014-01-08 07,4174,3754,53,367,0,0,0
2014-01-08 08,12324,11066,95,1163,0,0,0
2014-01-08 09,19226,17371,186,1669,0,0,0
2014-01-08 10,22699,20444,252,2003,0,0,0
2014-01-08 11,22680,20341,277,2062,0,0,0
2014-01-08 12,29961,26910,329,2722,0,0,0
2014-01-08 13,22189,19955,265,1969,0,0,0
2014-01-08 14,7822,5660,254,1908,0,0,0
2014-01-08 15,7418,5524,192,1702,0,0,0
2014-01-08 16,7842,5649,249,1944,0,0,0
2014-01-08 17,6681,4894,219,1568,0,0,0
2014-01-08 18,6148,4438,196,1514,0,0,0
2014-01-08 19,7722,5597,211,1914,0,0,0
2014-01-08 20,9335,6718,300,2317,0,0,0
2014-01-08 21,11087,7918,356,2813,0,0,0
2014-01-08 22,10759,7727,331,2701,0,0,0
2014-01-08 23,6862,4958,212,1692,0,0,0
2014-01-09 00,3005,2164,66,775,0,0,0
2014-01-09 01,1233,846,40,347,0,0,0
2014-01-09 02,788,596,23,169,0,0,0
2014-01-09 03,703,518,14,171,0,0,0
2014-01-09 04,351,267,8,76,0,0,0
2014-01-09 05,514,371,10,133,0,0,0
2014-01-09 06,744,544,7,193,0,0,0
2014-01-09 07,1595,1136,34,425,0,0,0
2014-01-09 08,3795,2653,115,1027,0,0,0
2014-01-09 09,6338,4525,179,1634,0,0,0
2014-01-09 10,7103,5214,210,1679,0,0,0
2014-01-09 11,6246,4578,188,1480,0,0,0
2014-01-09 12,6636,4836,194,1606,0,0,0
2014-01-09 13,6299,4597,185,1517,0,0,0
2014-01-09 14,6640,4865,240,1535,0,0,0
2014-01-09 15,6918,5132,216,1570,0,0,0
2014-01-09 16,7819,5649,251,1919,0,0,0
2014-01-09 17,6189,4371,237,1581,0,0,0
2014-01-09 18,5196,3724,185,1287,0,0,0
2014-01-09 19,6682,4855,207,1620,0,0,0
2014-01-09 20,7883,5709,233,1941,0,0,0
2014-01-09 21,7971,5816,254,1901,0,0,0
