date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1765,144,280,1341,0,0,0
2014-01-07 18,1223,113,235,875,0,0,0
2014-01-07 19,1528,156,242,1130,0,0,0
2014-01-07 20,1185,132,180,873,0,0,0
2014-01-07 21,1387,121,222,1044,0,0,0
2014-01-07 22,1063,94,200,769,0,0,0
2014-01-07 23,966,91,205,670,0,0,0
2014-01-08 00,1392,88,213,1091,0,0,0
2014-01-08 01,569,46,129,394,0,0,0
2014-01-08 02,125,4,9,112,0,0,0
2014-01-08 03,8,0,4,4,0,0,0
2014-01-08 04,7,1,4,2,0,0,0
2014-01-08 05,69,7,26,36,0,0,0
2014-01-08 06,12,3,7,2,0,0,0
2014-01-08 07,106,12,25,69,0,0,0
2014-01-08 08,828,124,221,483,0,0,0
2014-01-08 09,1871,156,342,1373,0,0,0
2014-01-08 10,2306,212,407,1687,0,0,0
2014-01-08 11,2147,177,309,1661,0,0,0
2014-01-08 12,1481,160,309,1012,0,0,0
2014-01-08 13,2242,192,420,1630,0,0,0
2014-01-08 14,1684,190,379,1115,0,0,0
2014-01-08 15,2368,287,427,1654,0,0,0
2014-01-08 16,2332,246,369,1717,0,0,0
2014-01-08 17,1454,211,278,965,0,0,0
2014-01-08 18,1345,158,215,972,0,0,0
2014-01-08 19,1336,176,275,885,0,0,0
2014-01-08 20,1361,181,252,928,0,0,0
2014-01-08 21,1875,173,287,1415,0,0,0
2014-01-08 22,774,101,174,499,0,0,0
2014-01-08 23,1114,82,178,854,0,0,0
2014-01-09 00,475,64,123,288,0,0,0
2014-01-09 01,167,16,44,107,0,0,0
2014-01-09 02,164,15,54,95,0,0,0
2014-01-09 03,22,2,5,15,0,0,0
2014-01-09 04,41,3,8,30,0,0,0
2014-01-09 05,10,1,6,3,0,0,0
2014-01-09 06,10,1,2,7,0,0,0
2014-01-09 07,57,11,24,22,0,0,0
2014-01-09 08,568,104,134,330,0,0,0
2014-01-09 09,1548,234,364,950,0,0,0
2014-01-09 10,1826,215,367,1244,0,0,0
2014-01-09 11,1478,224,350,904,0,0,0
2014-01-09 12,949,153,278,518,0,0,0
2014-01-09 13,984,169,245,570,0,0,0
2014-01-09 14,1438,205,343,890,0,0,0
2014-01-09 15,1914,222,362,1330,0,0,0
2014-01-09 16,1083,172,221,690,0,0,0
2014-01-09 17,922,165,240,517,0,0,0
2014-01-09 18,852,155,200,497,0,0,0
2014-01-09 19,843,108,184,551,0,0,0
2014-01-09 20,1248,172,247,829,0,0,0
2014-01-09 21,1141,122,244,775,0,0,0
2014-01-09 22,844,92,195,557,0,0,0
2014-01-09 23,608,84,140,384,0,0,0
2014-01-10 00,555,47,110,398,0,0,0
2014-01-10 01,364,54,76,234,0,0,0
2014-01-10 02,97,11,17,69,0,0,0
2014-01-10 03,41,4,7,30,0,0,0
2014-01-10 04,7,2,3,2,0,0,0
2014-01-10 06,7,1,3,3,0,0,0
2014-01-10 07,95,12,15,68,0,0,0
2014-01-10 08,658,119,156,383,0,0,0
2014-01-10 09,989,170,215,604,0,0,0
2014-01-10 10,1342,219,345,778,0,0,0
2014-01-10 11,1245,168,293,784,0,0,0
2014-01-10 12,805,121,230,454,0,0,0
2014-01-10 13,988,150,222,616,0,0,0
2014-01-10 14,951,138,246,567,0,0,0
2014-01-10 15,1054,196,250,608,0,0,0
2014-01-10 16,1167,189,295,683,0,0,0
2014-01-10 17,931,167,207,557,0,0,0
2014-01-10 18,973,131,224,618,0,0,0
2014-01-10 19,867,132,206,529,0,0,0
2014-01-10 20,734,135,200,399,0,0,0
2014-01-10 21,734,109,209,416,0,0,0
2014-01-10 22,654,78,155,421,0,0,0
2014-01-10 23,418,70,103,245,0,0,0
2014-01-11 00,270,29,70,171,0,0,0
2014-01-11 01,176,17,44,115,0,0,0
2014-01-11 02,104,11,32,61,0,0,0
2014-01-11 03,28,5,11,12,0,0,0
2014-01-11 04,3,1,1,1,0,0,0
2014-01-11 05,68,6,14,48,0,0,0
2014-01-11 06,16,1,6,9,0,0,0
2014-01-11 07,13,4,7,2,0,0,0
2014-01-11 08,413,78,103,232,0,0,0
2014-01-11 09,725,150,204,371,0,0,0
2014-01-11 10,883,174,231,478,0,0,0
2014-01-11 11,786,137,184,465,0,0,0
2014-01-11 12,804,128,212,464,0,0,0
2014-01-11 13,689,107,152,430,0,0,0
2014-01-11 14,981,146,186,649,0,0,0
2014-01-11 20,821,96,165,560,0,0,0
2014-01-11 21,738,117,159,462,0,0,0
2014-01-11 23,1041,75,168,798,0,0,0
2014-01-12 00,3,1,2,0,0,0,0
2014-01-12 01,3,1,2,0,0,0,0
2014-01-12 03,3,1,2,0,0,0,0
2014-01-12 07,3,1,2,0,0,0,0
2014-01-12 08,6,2,4,0,0,0,0
2014-01-12 09,16,6,10,0,0,0,0
2014-01-12 10,23,7,14,2,0,0,0
2014-01-12 11,13,4,8,1,0,0,0
2014-01-12 12,6,2,4,0,0,0,0
2014-01-12 13,7,3,4,0,0,0,0
2014-01-12 14,30,10,20,0,0,0,0
2014-01-12 15,31,10,20,1,0,0,0
2014-01-12 16,12,4,8,0,0,0,0
2014-01-12 17,4,2,2,0,0,0,0
2014-01-12 18,12,4,8,0,0,0,0
2014-01-12 19,3,1,2,0,0,0,0
2014-01-12 20,13,5,8,0,0,0,0
2014-01-12 21,17,7,10,0,0,0,0
2014-01-12 22,9,3,6,0,0,0,0
2014-01-12 23,6,2,4,0,0,0,0
2014-01-13 00,3,1,2,0,0,0,0
2014-01-13 04,3,1,2,0,0,0,0
2014-01-13 07,7,3,4,0,0,0,0
2014-01-13 08,6,2,4,0,0,0,0
2014-01-13 09,24,8,16,0,0,0,0
2014-01-13 10,61,18,42,1,0,0,0
2014-01-13 11,36,12,24,0,0,0,0
2014-01-13 12,21,7,14,0,0,0,0
2014-01-13 13,20,4,7,9,0,0,0
2014-01-13 14,12,4,8,0,0,0,0
2014-01-13 15,13,5,8,0,0,0,0
2014-01-13 16,859,147,212,500,0,0,0
2014-01-13 17,1317,192,281,844,0,0,0
2014-01-13 18,669,146,173,350,0,0,0
2014-01-13 19,460,88,135,237,0,0,0
2014-01-13 20,691,106,162,423,0,0,0
2014-01-13 21,709,112,149,448,0,0,0
2014-01-13 22,556,69,155,332,0,0,0
2014-01-13 23,473,42,101,330,0,0,0
2014-01-14 00,173,23,56,94,0,0,0
2014-01-14 01,172,19,53,100,0,0,0
2014-01-14 02,89,12,18,59,0,0,0
2014-01-14 03,55,7,14,34,0,0,0
2014-01-14 04,3,0,0,3,0,0,0
2014-01-14 05,35,0,6,29,0,0,0
2014-01-14 06,1,0,0,1,0,0,0
2014-01-14 07,96,6,27,63,0,0,0
2014-01-14 08,718,125,210,383,0,0,0
2014-01-14 09,928,170,276,482,0,0,0
2014-01-14 10,1305,200,355,750,0,0,0
2014-01-14 11,1135,167,252,716,0,0,0
2014-01-14 12,832,135,235,462,0,0,0
2014-01-14 13,1103,151,256,696,0,0,0
2014-01-14 14,1128,163,323,642,0,0,0
2014-01-14 15,1258,186,299,773,0,0,0
2014-01-14 16,1103,186,290,627,0,0,0
2014-01-14 17,939,164,197,578,0,0,0
2014-01-14 18,640,141,162,337,0,0,0
2014-01-14 19,794,108,185,501,0,0,0
2014-01-14 20,1059,132,229,698,0,0,0
2014-01-14 21,886,131,182,573,0,0,0
2014-01-14 22,665,98,176,391,0,0,0
2014-01-14 23,745,64,171,510,0,0,0
2014-01-15 00,192,24,52,116,0,0,0
2014-01-15 01,204,29,63,112,0,0,0
2014-01-15 02,83,14,18,51,0,0,0
2014-01-15 03,10,0,0,10,0,0,0
2014-01-15 04,13,1,3,9,0,0,0
2014-01-15 05,6,0,0,6,0,0,0
2014-01-15 06,9,0,0,9,0,0,0
2014-01-15 07,161,30,40,91,0,0,0
2014-01-15 08,602,101,183,318,0,0,0
2014-01-15 09,1089,194,298,597,0,0,0
2014-01-15 10,849,163,223,463,0,0,0
2014-01-15 11,775,144,228,403,0,0,0
2014-01-15 12,934,129,274,531,0,0,0
2014-01-15 13,735,125,223,387,0,0,0
2014-01-15 14,1001,143,215,643,0,0,0
2014-01-15 15,1173,143,272,758,0,0,0
2014-01-15 16,1034,182,236,616,0,0,0
2014-01-15 17,1059,135,228,696,0,0,0
2014-01-15 18,736,117,153,466,0,0,0
2014-01-15 20,673,116,204,353,0,0,0
2014-01-15 21,855,90,167,598,0,0,0
2014-01-15 22,402,71,114,217,0,0,0
2014-01-15 23,461,52,132,277,0,0,0
2014-01-16 00,318,48,92,178,0,0,0
2014-01-16 01,158,22,48,88,0,0,0
2014-01-16 02,32,4,11,17,0,0,0
2014-01-16 03,30,4,8,18,0,0,0
2014-01-16 04,43,9,9,25,0,0,0
2014-01-16 05,32,9,12,11,0,0,0
2014-01-16 06,29,8,15,6,0,0,0
2014-01-16 07,42,10,15,17,0,0,0
2014-01-16 08,277,47,82,148,0,0,0
2014-01-16 09,817,157,253,407,0,0,0
2014-01-16 10,852,152,244,456,0,0,0
2014-01-16 11,799,139,212,448,0,0,0
2014-01-16 12,946,114,226,606,0,0,0
2014-01-16 13,804,121,203,480,0,0,0
2014-01-16 14,741,173,227,341,0,0,0
2014-01-16 15,1047,139,258,650,0,0,0
2014-01-16 16,873,139,243,491,0,0,0
2014-01-16 17,376,59,106,211,0,0,0
2014-01-16 18,183,45,63,75,0,0,0
2014-01-16 19,690,112,175,403,0,0,0
2014-01-16 20,654,93,164,397,0,0,0
2014-01-16 21,642,117,168,357,0,0,0
2014-01-16 22,454,78,125,251,0,0,0
2014-01-16 23,581,60,158,363,0,0,0
2014-01-17 00,369,42,67,260,0,0,0
2014-01-17 01,271,30,105,136,0,0,0
2014-01-17 02,71,10,22,39,0,0,0
2014-01-17 03,7,2,0,5,0,0,0
2014-01-17 04,3,0,1,2,0,0,0
2014-01-17 05,14,1,7,6,0,0,0
2014-01-17 06,10,0,5,5,0,0,0
2014-01-17 07,75,10,14,51,0,0,0
2014-01-17 08,325,53,85,187,0,0,0
2014-01-17 09,688,136,195,357,0,0,0
2014-01-17 10,1081,175,295,611,0,0,0
2014-01-17 11,974,142,255,577,0,0,0
2014-01-17 12,772,114,227,431,0,0,0
2014-01-17 13,789,115,217,457,0,0,0
2014-01-17 14,665,110,195,360,0,0,0
2014-01-17 15,870,143,269,458,0,0,0
2014-01-17 16,878,132,244,502,0,0,0
2014-01-17 17,310,39,107,164,0,0,0
2014-01-17 18,179,26,47,106,0,0,0
2014-01-17 19,155,19,39,97,0,0,0
2014-01-17 20,167,25,51,91,0,0,0
2014-01-17 21,238,30,58,150,0,0,0
2014-01-17 22,274,35,72,167,0,0,0
2014-01-17 23,191,27,60,104,0,0,0
2014-01-18 00,127,14,39,74,0,0,0
2014-01-18 01,83,7,21,55,0,0,0
2014-01-18 02,72,7,16,49,0,0,0
2014-01-18 03,1,0,0,1,0,0,0
2014-01-18 04,32,4,3,25,0,0,0
2014-01-18 05,2,0,0,2,0,0,0
2014-01-18 06,56,7,15,34,0,0,0
2014-01-18 07,14,2,6,6,0,0,0
2014-01-18 08,122,18,43,61,0,0,0
2014-01-18 09,309,62,91,156,0,0,0
2014-01-18 10,515,91,113,311,0,0,0
2014-01-18 11,377,63,117,197,0,0,0
2014-01-18 12,499,51,147,301,0,0,0
2014-01-18 13,614,95,157,362,0,0,0
2014-01-18 14,515,69,162,284,0,0,0
2014-01-18 15,581,89,176,316,0,0,0
2014-01-18 16,524,106,146,272,0,0,0
2014-01-18 17,565,77,155,333,0,0,0
2014-01-18 18,341,42,78,221,0,0,0
2014-01-18 19,419,73,104,242,0,0,0
2014-01-18 20,473,72,135,266,0,0,0
2014-01-18 21,604,87,189,328,0,0,0
2014-01-18 22,465,70,148,247,0,0,0
2014-01-18 23,464,64,117,283,0,0,0
2014-01-19 00,237,22,36,179,0,0,0
2014-01-19 01,117,10,42,65,0,0,0
2014-01-19 02,13,2,4,7,0,0,0
2014-01-19 03,25,2,3,20,0,0,0
2014-01-19 04,2,0,0,2,0,0,0
2014-01-19 06,3,1,2,0,0,0,0
2014-01-19 07,4,1,2,1,0,0,0
2014-01-19 08,6,2,4,0,0,0,0
2014-01-19 09,131,23,39,69,0,0,0
2014-01-19 10,262,44,79,139,0,0,0
2014-01-19 11,348,50,98,200,0,0,0
2014-01-19 12,399,63,94,242,0,0,0
2014-01-19 13,440,73,70,297,0,0,0
2014-01-19 14,319,54,84,181,0,0,0
2014-01-19 15,363,59,89,215,0,0,0
2014-01-19 16,423,69,99,255,0,0,0
2014-01-19 17,425,76,119,230,0,0,0
2014-01-19 18,450,53,85,312,0,0,0
2014-01-19 19,1385,156,160,1069,0,0,0
2014-01-19 20,406,72,97,237,0,0,0
2014-01-19 21,635,63,146,426,0,0,0
2014-01-19 22,356,73,102,181,0,0,0
2014-01-19 23,310,54,98,158,0,0,0
2014-01-20 00,276,32,75,169,0,0,0
2014-01-20 01,156,24,45,87,0,0,0
2014-01-20 02,48,11,10,27,0,0,0
2014-01-20 04,1,0,0,1,0,0,0
2014-01-20 05,1,0,0,1,0,0,0
2014-01-20 07,46,7,16,23,0,0,0
2014-01-20 08,149,25,46,78,0,0,0
2014-01-20 09,494,114,113,267,0,0,0
2014-01-20 10,588,97,122,369,0,0,0
2014-01-20 11,330,99,84,147,0,0,0
2014-01-20 12,246,55,71,120,0,0,0
2014-01-20 13,384,70,94,220,0,0,0
2014-01-20 14,460,91,122,247,0,0,0
2014-01-20 15,663,94,163,406,0,0,0
2014-01-20 16,409,74,101,234,0,0,0
2014-01-20 17,407,68,116,223,0,0,0
2014-01-20 18,192,18,60,114,0,0,0
2014-01-20 19,280,38,81,161,0,0,0
2014-01-20 20,423,42,85,296,0,0,0
2014-01-20 21,684,75,160,449,0,0,0
2014-01-20 22,459,55,132,272,0,0,0
2014-01-20 23,345,34,102,209,0,0,0
2014-01-21 00,260,28,70,162,0,0,0
2014-01-21 01,36,5,14,17,0,0,0
2014-01-21 02,127,8,24,95,0,0,0
2014-01-21 03,1,0,0,1,0,0,0
2014-01-21 04,5,1,2,2,0,0,0
2014-01-21 05,5,0,3,2,0,0,0
2014-01-21 06,5,1,3,1,0,0,0
2014-01-21 07,16,1,4,11,0,0,0
2014-01-21 08,69,10,31,28,0,0,0
2014-01-21 09,220,41,62,117,0,0,0
2014-01-21 10,435,71,105,259,0,0,0
2014-01-21 11,219,34,61,124,0,0,0
2014-01-21 12,202,35,61,106,0,0,0
2014-01-21 13,338,67,92,179,0,0,0
2014-01-21 14,12,2,8,2,0,0,0
2014-01-21 15,524,365,46,113,0,0,0
2014-01-21 16,509,78,121,310,0,0,0
2014-01-21 17,490,44,81,365,0,0,0
2014-01-21 18,335,35,65,235,0,0,0
2014-01-21 19,366,31,44,291,0,0,0
2014-01-21 20,418,38,82,298,0,0,0
2014-01-21 21,231,27,60,144,0,0,0
2014-01-21 22,251,31,79,141,0,0,0
2014-01-21 23,318,39,79,200,0,0,0
2014-01-22 00,280,43,91,146,0,0,0
2014-01-22 01,166,17,33,116,0,0,0
2014-01-22 02,120,17,24,79,0,0,0
2014-01-22 03,3,0,0,3,0,0,0
2014-01-22 04,2,0,0,2,0,0,0
2014-01-22 05,2,0,0,2,0,0,0
2014-01-22 06,26,4,6,16,0,0,0
2014-01-22 07,34,4,0,30,0,0,0
2014-01-22 08,300,41,80,179,0,0,0
2014-01-22 09,433,81,118,234,0,0,0
2014-01-22 10,586,115,147,324,0,0,0
2014-01-22 11,365,68,89,208,0,0,0
2014-01-22 12,185,17,54,114,0,0,0
2014-01-22 13,254,30,61,163,0,0,0
2014-01-22 14,350,39,71,240,0,0,0
2014-01-22 15,454,85,137,231,0,1,0
2014-01-22 16,300,39,62,199,0,0,0
2014-01-22 17,137,22,27,88,0,0,0
2014-01-22 18,127,12,38,77,0,0,0
2014-01-22 19,99,9,25,65,0,0,0
2014-01-22 20,287,57,84,146,0,0,0
2014-01-22 21,302,38,77,187,0,0,0
2014-01-22 22,295,49,79,167,0,0,0
2014-01-22 23,299,41,70,188,0,0,0
2014-01-23 00,330,40,96,194,0,0,0
2014-01-23 01,122,13,42,67,0,0,0
2014-01-23 02,95,11,32,52,0,0,0
2014-01-23 03,26,4,8,14,0,0,0
