date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,94,57,28,9,0,0,0
2014-01-07 18,91,47,36,8,0,0,0
2014-01-07 19,97,58,30,9,0,0,0
2014-01-07 20,113,85,19,9,0,0,0
2014-01-07 21,92,45,44,3,0,0,0
2014-01-07 22,99,53,42,4,0,0,0
2014-01-07 23,60,24,34,2,0,0,0
2014-01-08 00,37,20,14,3,0,0,0
2014-01-08 01,17,11,6,0,0,0,0
2014-01-08 02,7,5,2,0,0,0,0
2014-01-08 05,6,1,4,1,0,0,0
2014-01-08 07,12,4,8,0,0,0,0
2014-01-08 08,32,13,18,1,0,0,0
2014-01-08 09,37,17,20,0,0,0,0
2014-01-08 10,66,38,20,8,0,0,0
2014-01-08 11,50,14,32,4,0,0,0
2014-01-08 12,69,41,22,6,0,0,0
2014-01-08 13,113,60,44,9,0,0,0
2014-01-08 14,147,99,31,17,0,0,0
2014-01-08 15,202,137,48,17,0,0,0
2014-01-08 16,138,98,23,17,0,0,0
2014-01-08 17,153,99,37,17,0,0,0
2014-01-08 18,99,57,33,9,0,0,0
2014-01-08 19,182,127,37,18,0,0,0
2014-01-08 20,125,79,36,10,0,0,0
2014-01-08 21,66,39,22,5,0,0,0
2014-01-08 22,65,36,24,5,0,0,0
2014-01-08 23,87,40,42,5,0,0,0
2014-01-09 00,32,18,12,2,0,0,0
2014-01-09 01,24,18,4,2,0,0,0
2014-01-09 02,11,6,4,1,0,0,0
2014-01-09 03,5,4,0,1,0,0,0
2014-01-09 04,7,5,2,0,0,0,0
2014-01-09 06,6,2,4,0,0,0,0
2014-01-09 07,11,11,0,0,0,0,0
2014-01-09 08,13,6,4,3,0,0,0
2014-01-09 09,115,75,26,14,0,0,0
2014-01-09 10,166,121,24,21,0,0,0
2014-01-09 11,139,104,15,20,0,0,0
2014-01-09 12,98,63,26,9,0,0,0
2014-01-09 13,159,120,16,23,0,0,0
2014-01-09 14,133,90,29,14,0,0,0
2014-01-09 15,177,132,22,23,0,0,0
2014-01-09 16,108,63,39,6,0,0,0
2014-01-09 17,174,122,30,22,0,0,0
2014-01-09 18,192,139,29,24,0,0,0
2014-01-09 19,201,153,17,31,0,0,0
2014-01-09 20,324,251,27,46,0,0,0
2014-01-09 21,257,189,28,40,0,0,0
2014-01-09 22,70,40,24,6,0,0,0
2014-01-09 23,59,33,20,6,0,0,0
2014-01-10 00,61,34,20,7,0,0,0
2014-01-10 01,11,5,6,0,0,0,0
2014-01-10 02,10,8,2,0,0,0,0
2014-01-10 04,4,1,2,1,0,0,0
2014-01-10 07,10,4,6,0,0,0,0
2014-01-10 08,91,74,4,13,0,0,0
2014-01-10 09,107,68,26,13,0,0,0
2014-01-10 10,99,54,35,10,0,0,0
2014-01-10 11,118,89,12,17,0,0,0
2014-01-10 12,103,72,22,9,0,0,0
2014-01-10 13,143,92,35,16,0,0,0
2014-01-10 14,256,189,29,38,0,0,0
2014-01-10 15,226,171,21,34,0,0,0
2014-01-10 16,200,139,41,20,0,0,0
2014-01-10 17,139,103,16,20,0,0,0
2014-01-10 18,124,80,30,14,0,0,0
2014-01-10 19,169,115,30,24,0,0,0
2014-01-10 20,193,121,52,20,0,0,0
2014-01-10 21,67,30,32,5,0,0,0
2014-01-10 22,51,26,22,3,0,0,0
2014-01-10 23,38,19,14,5,0,0,0
2014-01-11 00,34,19,12,3,0,0,0
2014-01-11 01,49,35,10,4,0,0,0
2014-01-11 02,19,14,4,1,0,0,0
2014-01-11 03,10,6,4,0,0,0,0
2014-01-11 04,8,4,2,2,0,0,0
2014-01-11 05,17,16,0,1,0,0,0
2014-01-11 06,3,1,2,0,0,0,0
2014-01-11 07,10,6,4,0,0,0,0
2014-01-11 08,30,20,8,2,0,0,0
2014-01-11 09,207,161,12,34,0,0,0
2014-01-11 10,215,164,20,31,0,0,0
2014-01-11 11,124,90,22,12,0,0,0
2014-01-11 12,70,50,14,6,0,0,0
2014-01-11 13,108,91,8,9,0,0,0
2014-01-11 14,90,68,10,12,0,0,0
2014-01-11 20,237,172,46,19,0,0,0
2014-01-11 21,131,84,34,13,0,0,0
2014-01-11 23,30,13,16,1,0,0,0
2014-01-12 00,6,2,4,0,0,0,0
2014-01-12 01,3,0,2,1,0,0,0
2014-01-12 02,3,1,2,0,0,0,0
2014-01-12 03,3,1,2,0,0,0,0
2014-01-12 04,3,0,2,1,0,0,0
2014-01-12 06,3,1,2,0,0,0,0
2014-01-12 07,3,1,2,0,0,0,0
2014-01-12 09,6,2,4,0,0,0,0
2014-01-12 10,21,7,14,0,0,0,0
2014-01-12 11,12,3,8,1,0,0,0
2014-01-12 12,18,5,12,1,0,0,0
2014-01-12 13,18,5,12,1,0,0,0
2014-01-12 14,12,3,8,1,0,0,0
2014-01-12 15,9,3,6,0,0,0,0
2014-01-12 16,24,8,16,0,0,0,0
2014-01-12 17,6,2,4,0,0,0,0
2014-01-12 18,9,3,6,0,0,0,0
2014-01-12 19,12,4,8,0,0,0,0
2014-01-12 20,18,6,12,0,0,0,0
2014-01-12 21,15,5,10,0,0,0,0
2014-01-12 22,15,5,10,0,0,0,0
2014-01-13 02,6,1,4,1,0,0,0
2014-01-13 06,3,1,2,0,0,0,0
2014-01-13 08,9,3,6,0,0,0,0
2014-01-13 09,12,4,8,0,0,0,0
2014-01-13 10,43,11,30,2,0,0,0
2014-01-13 11,7,1,6,0,0,0,0
2014-01-13 12,18,6,12,0,0,0,0
2014-01-13 13,15,5,10,0,0,0,0
2014-01-13 14,3,1,2,0,0,0,0
2014-01-13 15,12,4,8,0,0,0,0
2014-01-13 16,95,68,14,13,0,0,0
2014-01-13 17,61,47,10,4,0,0,0
2014-01-13 18,135,96,16,23,0,0,0
2014-01-13 19,70,42,22,6,0,0,0
2014-01-13 20,207,145,32,30,0,0,0
2014-01-13 21,75,45,24,6,0,0,0
2014-01-13 22,63,32,28,3,0,0,0
2014-01-13 23,50,28,20,2,0,0,0
2014-01-14 00,30,17,10,3,0,0,0
2014-01-14 01,17,10,6,1,0,0,0
2014-01-14 02,11,7,4,0,0,0,0
2014-01-14 03,4,1,2,1,0,0,0
2014-01-14 04,4,4,0,0,0,0,0
2014-01-14 06,1,0,0,1,0,0,0
2014-01-14 07,9,3,6,0,0,0,0
2014-01-14 08,19,9,10,0,0,0,0
2014-01-14 09,87,57,22,8,0,0,0
2014-01-14 10,124,91,16,17,0,0,0
2014-01-14 11,61,45,12,4,0,0,0
2014-01-14 12,115,70,35,10,0,0,0
2014-01-14 13,35,14,18,3,0,0,0
2014-01-14 14,77,46,26,5,0,0,0
2014-01-14 15,91,60,20,11,0,0,0
2014-01-14 16,110,84,12,14,0,0,0
2014-01-14 17,147,89,38,20,0,0,0
2014-01-14 18,75,55,14,6,0,0,0
2014-01-14 19,83,40,38,5,0,0,0
2014-01-14 20,70,48,16,6,0,0,0
2014-01-14 21,191,144,24,23,0,0,0
2014-01-14 22,48,28,18,2,0,0,0
2014-01-14 23,63,41,16,6,0,0,0
2014-01-15 00,30,21,4,5,0,0,0
2014-01-15 01,8,5,2,1,0,0,0
2014-01-15 02,4,2,0,2,0,0,0
2014-01-15 03,10,8,0,2,0,0,0
2014-01-15 04,12,9,0,3,0,0,0
2014-01-15 05,4,4,0,0,0,0,0
2014-01-15 07,4,4,0,0,0,0,0
2014-01-15 08,29,16,12,1,0,0,0
2014-01-15 09,92,71,14,7,0,0,0
2014-01-15 10,108,79,16,13,0,0,0
2014-01-15 11,71,39,28,4,0,0,0
2014-01-15 12,263,204,20,39,0,0,0
2014-01-15 13,105,80,12,13,0,0,0
2014-01-15 14,74,51,16,7,0,0,0
2014-01-15 15,110,80,14,16,0,0,0
2014-01-15 16,94,76,6,12,0,0,0
2014-01-15 17,87,66,10,11,0,0,0
2014-01-15 18,265,221,8,36,0,0,0
2014-01-15 20,63,42,12,9,0,0,0
2014-01-15 21,223,165,32,26,0,0,0
2014-01-15 22,371,310,26,35,0,0,0
2014-01-15 23,52,39,10,3,0,0,0
2014-01-16 00,27,18,4,5,0,0,0
2014-01-16 01,27,17,6,4,0,0,0
2014-01-16 02,20,17,2,1,0,0,0
2014-01-16 03,7,2,4,1,0,0,0
2014-01-16 04,8,8,0,0,0,0,0
2014-01-16 06,1,0,0,1,0,0,0
2014-01-16 07,19,14,4,1,0,0,0
2014-01-16 08,32,21,10,1,0,0,0
2014-01-16 09,69,54,8,7,0,0,0
2014-01-16 10,95,72,18,5,0,0,0
2014-01-16 11,115,89,17,9,0,0,0
2014-01-16 12,34,16,18,0,0,0,0
2014-01-16 13,143,106,18,19,0,0,0
2014-01-16 14,105,79,10,16,0,0,0
2014-01-16 15,93,64,22,7,0,0,0
2014-01-16 16,107,82,12,13,0,0,0
2014-01-16 17,53,29,20,4,0,0,0
2014-01-16 18,112,78,22,12,0,0,0
2014-01-16 19,88,71,10,7,0,0,0
2014-01-16 20,149,113,16,20,0,0,0
2014-01-16 21,121,88,20,13,0,0,0
2014-01-16 22,81,55,18,8,0,0,0
2014-01-16 23,41,22,14,5,0,0,0
2014-01-17 00,45,34,2,9,0,0,0
2014-01-17 01,18,6,12,0,0,0,0
2014-01-17 02,4,4,0,0,0,0,0
2014-01-17 04,7,5,2,0,0,0,0
2014-01-17 06,5,5,0,0,0,0,0
2014-01-17 08,15,5,10,0,0,0,0
2014-01-17 09,19,9,10,0,0,0,0
2014-01-17 10,48,24,20,4,0,0,0
2014-01-17 11,60,39,14,7,0,0,0
2014-01-17 12,259,200,22,37,0,0,0
2014-01-17 13,100,74,12,14,0,0,0
2014-01-17 14,70,53,12,5,0,0,0
2014-01-17 15,127,92,20,15,0,0,0
2014-01-17 16,70,36,20,14,0,0,0
2014-01-17 17,14,7,6,1,0,0,0
2014-01-17 18,8,5,2,1,0,0,0
2014-01-17 19,3,1,2,0,0,0,0
2014-01-17 20,13,9,2,2,0,0,0
2014-01-17 21,16,10,4,2,0,0,0
2014-01-17 22,3,1,2,0,0,0,0
2014-01-17 23,16,13,2,1,0,0,0
2014-01-18 00,16,13,0,3,0,0,0
2014-01-18 01,4,3,0,1,0,0,0
2014-01-18 02,8,5,2,1,0,0,0
2014-01-18 04,12,11,0,1,0,0,0
2014-01-18 05,3,1,2,0,0,0,0
2014-01-18 06,7,4,2,1,0,0,0
2014-01-18 07,1,0,0,1,0,0,0
2014-01-18 08,21,12,8,1,0,0,0
2014-01-18 09,19,9,10,0,0,0,0
2014-01-18 10,37,25,4,8,0,0,0
2014-01-18 11,25,6,18,1,0,0,0
2014-01-18 12,21,15,6,0,0,0,0
2014-01-18 13,46,40,4,2,0,0,0
2014-01-18 14,109,86,10,13,0,0,0
2014-01-18 15,98,72,14,12,0,0,0
2014-01-18 16,88,67,8,13,0,0,0
2014-01-18 17,32,22,8,2,0,0,0
2014-01-18 18,71,60,4,7,0,0,0
2014-01-18 19,107,83,8,16,0,0,0
2014-01-18 20,46,27,16,3,0,0,0
2014-01-18 21,122,98,8,16,0,0,0
2014-01-18 22,30,17,10,3,0,0,0
2014-01-18 23,34,24,6,4,0,0,0
2014-01-19 00,17,8,8,1,0,0,0
2014-01-19 01,13,9,2,2,0,0,0
2014-01-19 06,6,2,4,0,0,0,0
2014-01-19 07,7,5,2,0,0,0,0
2014-01-19 09,3,1,2,0,0,0,0
2014-01-19 10,26,19,6,1,0,0,0
2014-01-19 11,83,61,8,14,0,0,0
2014-01-19 12,71,54,8,9,0,0,0
2014-01-19 13,40,23,16,1,0,0,0
2014-01-19 14,58,33,22,3,0,0,0
2014-01-19 15,57,49,6,2,0,0,0
2014-01-19 16,46,40,2,4,0,0,0
2014-01-19 17,166,129,12,25,0,0,0
2014-01-19 18,49,44,0,5,0,0,0
2014-01-19 19,96,79,8,9,0,0,0
2014-01-19 20,36,20,14,2,0,0,0
2014-01-19 21,35,24,10,1,0,0,0
2014-01-19 22,24,11,12,1,0,0,0
2014-01-19 23,51,33,10,8,0,0,0
2014-01-20 00,23,12,10,1,0,0,0
2014-01-20 01,10,6,4,0,0,0,0
2014-01-20 02,5,3,2,0,0,0,0
2014-01-20 03,4,4,0,0,0,0,0
2014-01-20 05,4,4,0,0,0,0,0
2014-01-20 07,3,1,2,0,0,0,0
2014-01-20 08,33,31,2,0,0,0,0
2014-01-20 09,17,7,8,2,0,0,0
2014-01-20 10,50,43,4,3,0,0,0
2014-01-20 11,31,25,4,2,0,0,0
2014-01-20 12,45,34,8,3,0,0,0
2014-01-20 13,49,34,10,5,0,0,0
2014-01-20 14,52,37,8,7,0,0,0
2014-01-20 15,32,16,14,2,0,0,0
2014-01-20 16,57,38,14,5,0,0,0
2014-01-20 17,97,76,10,11,0,0,0
2014-01-20 18,44,33,8,3,0,0,0
2014-01-20 19,81,53,20,8,0,0,0
2014-01-20 20,44,25,16,3,0,0,0
2014-01-20 21,46,29,14,3,0,0,0
2014-01-20 22,48,31,12,5,0,0,0
2014-01-20 23,49,35,6,8,0,0,0
2014-01-21 00,3,1,2,0,0,0,0
2014-01-21 02,7,2,4,1,0,0,0
2014-01-21 03,4,2,2,0,0,0,0
2014-01-21 04,3,1,2,0,0,0,0
2014-01-21 07,4,4,0,0,0,0,0
2014-01-21 08,21,15,6,0,0,0,0
2014-01-21 09,46,32,6,8,0,0,0
2014-01-21 10,50,30,14,6,0,0,0
2014-01-21 11,17,12,4,1,0,0,0
2014-01-21 12,55,39,8,8,0,0,0
2014-01-21 13,29,14,12,3,0,0,0
2014-01-21 15,30,28,2,0,0,0,0
2014-01-21 16,15,10,4,1,0,0,0
2014-01-21 17,3,1,2,0,0,0,0
2014-01-21 18,13,10,2,1,0,0,0
2014-01-21 19,45,29,16,0,0,0,0
2014-01-21 20,98,82,8,8,0,0,0
2014-01-21 21,35,28,6,1,0,0,0
2014-01-21 22,51,35,12,4,0,0,0
2014-01-21 23,45,27,16,2,0,0,0
2014-01-22 00,17,7,10,0,0,0,0
2014-01-22 01,37,19,14,4,0,0,0
2014-01-22 02,10,5,4,1,0,0,0
2014-01-22 03,3,1,2,0,0,0,0
2014-01-22 06,7,5,2,0,0,0,0
2014-01-22 07,11,5,4,2,0,0,0
2014-01-22 08,22,16,4,2,0,0,0
2014-01-22 09,17,8,8,1,0,0,0
2014-01-22 10,35,18,14,3,0,0,0
2014-01-22 11,135,110,6,19,0,0,0
2014-01-22 12,27,17,6,4,0,0,0
2014-01-22 13,5,5,0,0,0,0,0
2014-01-22 14,85,71,0,14,0,0,0
2014-01-22 15,28,19,6,3,0,0,0
2014-01-22 16,22,15,4,3,0,0,0
2014-01-22 17,8,8,0,0,0,0,0
2014-01-22 18,43,31,6,6,0,0,0
2014-01-22 19,9,3,6,0,0,0,0
2014-01-22 20,85,61,12,12,0,0,0
2014-01-22 21,11,9,2,0,0,0,0
2014-01-22 22,31,15,14,2,0,0,0
2014-01-22 23,29,23,2,4,0,0,0
2014-01-23 00,21,14,4,3,0,0,0
2014-01-23 01,13,9,2,2,0,0,0
2014-01-23 02,5,5,0,0,0,0,0
2014-01-23 05,4,4,0,0,0,0,0
2014-01-23 06,4,4,0,0,0,0,0
2014-01-23 08,5,5,0,0,0,0,0
2014-01-23 09,26,14,12,0,0,0,0
2014-01-23 10,37,25,8,4,0,0,0
2014-01-23 11,8,8,0,0,0,0,0
2014-01-23 12,15,13,2,0,0,0,0
2014-01-23 13,22,10,12,0,0,0,0
2014-01-23 14,12,4,8,0,0,0,0
2014-01-23 15,32,11,18,3,0,0,0
2014-01-23 16,48,35,10,3,0,0,0
2014-01-23 17,10,4,6,0,0,0,0
2014-01-23 18,7,2,4,1,0,0,0
2014-01-23 19,23,13,8,2,0,0,0
2014-01-23 20,22,10,10,2,0,0,0
2014-01-23 21,67,45,12,10,0,0,0
2014-01-23 22,70,55,6,9,0,0,0
2014-01-23 23,31,19,8,4,0,0,0
2014-01-24 00,8,8,0,0,0,0,0
2014-01-24 05,1,0,0,1,0,0,0
2014-01-24 06,15,12,0,3,0,0,0
2014-01-24 07,3,0,2,1,0,0,0
2014-01-24 08,7,6,0,1,0,0,0
2014-01-24 09,16,11,4,1,0,0,0
2014-01-24 10,12,9,2,1,0,0,0
2014-01-24 11,29,20,6,3,0,0,0
2014-01-24 12,20,14,4,2,0,0,0
2014-01-24 13,18,6,12,0,0,0,0
2014-01-24 14,32,24,4,4,0,0,0
2014-01-24 15,24,18,2,4,0,0,0
2014-01-24 16,16,8,8,0,0,0,0
2014-01-24 17,12,7,4,1,0,0,0
2014-01-24 18,12,10,2,0,0,0,0
2014-01-24 19,134,106,8,20,0,0,0
2014-01-24 20,36,24,8,4,0,0,0
2014-01-24 21,32,18,12,2,0,0,0
2014-01-24 22,16,11,4,1,0,0,0
2014-01-24 23,7,5,2,0,0,0,0
2014-01-25 00,13,10,2,1,0,0,0
2014-01-25 01,17,13,2,2,0,0,0
2014-01-25 03,164,141,0,23,0,0,0
2014-01-25 04,34,30,0,4,0,0,0
2014-01-25 05,3,1,2,0,0,0,0
2014-01-25 08,4,4,0,0,0,0,0
2014-01-25 09,11,7,4,0,0,0,0
2014-01-25 10,39,32,0,7,0,0,0
2014-01-25 11,6,2,4,0,0,0,0
2014-01-25 12,3,1,2,0,0,0,0
2014-01-25 13,29,14,10,5,0,0,0
2014-01-25 14,15,12,2,1,0,0,0
2014-01-25 15,4,2,2,0,0,0,0
2014-01-25 16,6,2,4,0,0,0,0
2014-01-25 17,12,9,2,1,0,0,0
2014-01-25 18,28,17,8,3,0,0,0
2014-01-25 19,6,2,4,0,0,0,0
2014-01-25 20,17,8,8,1,0,0,0
2014-01-25 21,7,4,2,1,0,0,0
2014-01-25 22,37,24,8,5,0,0,0
2014-01-25 23,3,1,2,0,0,0,0
2014-01-26 00,17,11,4,2,0,0,0
2014-01-26 01,3,1,2,0,0,0,0
2014-01-26 06,3,1,2,0,0,0,0
2014-01-26 08,7,5,2,0,0,0,0
2014-01-26 09,16,11,4,1,0,0,0
2014-01-26 10,13,9,2,2,0,0,0
2014-01-26 11,4,2,2,0,0,0,0
2014-01-26 12,4,4,0,0,0,0,0
2014-01-26 13,6,2,4,0,0,0,0
2014-01-26 14,4,4,0,0,0,0,0
2014-01-26 15,20,15,4,1,0,0,0
2014-01-26 16,17,13,4,0,0,0,0
2014-01-26 17,3,1,2,0,0,0,0
2014-01-26 18,4,4,0,0,0,0,0
2014-01-26 19,30,20,6,4,0,0,0
2014-01-26 20,19,9,10,0,0,0,0
2014-01-26 21,30,22,6,2,0,0,0
2014-01-26 22,16,11,4,1,0,0,0
2014-01-26 23,8,6,2,0,0,0,0
2014-01-27 00,3,1,2,0,0,0,0
2014-01-27 01,6,1,4,1,0,0,0
2014-01-27 02,6,2,4,0,0,0,0
2014-01-27 05,4,4,0,0,0,0,0
2014-01-27 07,15,15,0,0,0,0,0
2014-01-27 08,5,3,2,0,0,0,0
2014-01-27 09,20,11,8,1,0,0,0
2014-01-27 10,51,41,2,8,0,0,0
2014-01-27 11,22,6,16,0,0,0,0
2014-01-27 12,6,2,4,0,0,0,0
2014-01-27 13,17,9,7,1,0,0,0
2014-01-27 14,3,1,2,0,0,0,0
2014-01-27 15,9,2,6,1,0,0,0
2014-01-27 16,7,5,2,0,0,0,0
2014-01-27 17,12,7,4,1,0,0,0
2014-01-27 18,16,12,4,0,0,0,0
2014-01-27 19,37,28,6,3,0,0,0
2014-01-27 20,21,15,4,2,0,0,0
2014-01-27 21,45,30,14,1,0,0,0
2014-01-27 22,41,32,5,4,0,0,0
2014-01-27 23,10,9,0,1,0,0,0
2014-01-28 00,6,1,4,1,0,0,0
2014-01-28 02,15,13,0,2,0,0,0
2014-01-28 07,10,6,4,0,0,0,0
2014-01-28 08,4,1,2,1,0,0,0
