date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,43,26,0,17,0,0,0
2014-01-07 18,12,3,0,9,0,0,0
2014-01-07 19,3,0,0,3,0,0,0
2014-01-07 20,15,3,0,12,0,0,0
2014-01-07 21,20,6,0,14,0,0,0
2014-01-07 22,32,20,0,12,0,0,0
2014-01-07 23,35,19,0,16,0,0,0
2014-01-08 08,19,18,0,1,0,0,0
2014-01-08 09,12,9,0,3,0,0,0
2014-01-08 10,23,20,0,3,0,0,0
2014-01-08 11,7,4,0,3,0,0,0
2014-01-08 12,29,11,0,18,0,0,0
2014-01-08 13,44,28,0,16,0,0,0
2014-01-08 14,38,33,0,5,0,0,0
2014-01-08 15,52,18,0,34,0,0,0
2014-01-08 16,26,8,0,18,0,0,0
2014-01-08 17,21,10,0,11,0,0,0
2014-01-08 18,32,15,0,17,0,0,0
2014-01-08 19,28,11,0,17,0,0,0
2014-01-08 20,69,38,0,31,0,0,0
2014-01-08 21,41,15,0,26,0,0,0
2014-01-08 22,8,4,0,4,0,0,0
2014-01-08 23,15,3,0,12,0,0,0
2014-01-09 00,10,0,0,10,0,0,0
2014-01-09 01,16,16,0,0,0,0,0
2014-01-09 03,1,0,0,1,0,0,0
2014-01-09 08,13,3,0,10,0,0,0
2014-01-09 09,9,3,0,6,0,0,0
2014-01-09 10,25,13,0,12,0,0,0
2014-01-09 11,20,14,0,6,0,0,0
2014-01-09 12,6,3,0,3,0,0,0
2014-01-09 13,34,19,0,15,0,0,0
2014-01-09 14,20,10,0,10,0,0,0
2014-01-09 15,14,6,0,8,0,0,0
2014-01-09 16,47,16,0,31,0,0,0
2014-01-09 17,32,10,0,22,0,0,0
2014-01-09 18,75,36,0,39,0,0,0
2014-01-09 19,14,4,0,10,0,0,0
2014-01-09 20,21,9,0,12,0,0,0
2014-01-09 22,33,13,0,20,0,0,0
2014-01-09 23,21,11,0,10,0,0,0
2014-01-10 00,19,3,0,16,0,0,0
2014-01-10 01,8,8,0,0,0,0,0
2014-01-10 02,8,8,0,0,0,0,0
2014-01-10 06,1,0,0,1,0,0,0
2014-01-10 08,32,8,0,24,0,0,0
2014-01-10 09,22,11,0,11,0,0,0
2014-01-10 10,37,8,0,29,0,0,0
2014-01-10 11,1,0,0,1,0,0,0
2014-01-10 12,10,8,0,2,0,0,0
2014-01-10 13,41,40,0,1,0,0,0
2014-01-10 14,17,14,0,3,0,0,0
2014-01-10 15,54,24,0,30,0,0,0
2014-01-10 16,24,9,0,15,0,0,0
2014-01-10 17,29,8,0,21,0,0,0
2014-01-10 18,68,37,0,31,0,0,0
2014-01-10 19,2,1,0,1,0,0,0
2014-01-10 20,18,5,0,13,0,0,0
2014-01-10 21,13,2,0,11,0,0,0
2014-01-10 22,9,9,0,0,0,0,0
2014-01-10 23,1,0,0,1,0,0,0
2014-01-11 04,8,8,0,0,0,0,0
2014-01-11 06,1,0,0,1,0,0,0
2014-01-11 08,4,4,0,0,0,0,0
2014-01-11 09,23,7,0,16,0,0,0
2014-01-11 10,39,6,0,33,0,0,0
2014-01-11 11,1,0,0,1,0,0,0
2014-01-11 12,19,6,0,13,0,0,0
2014-01-11 14,12,5,0,7,0,0,0
2014-01-11 20,15,7,0,8,0,0,0
2014-01-11 21,1,0,0,1,0,0,0
2014-01-11 23,1,0,0,1,0,0,0
2014-01-12 00,4,4,0,0,0,0,0
2014-01-12 08,1,1,0,0,0,0,0
2014-01-12 09,1,1,0,0,0,0,0
2014-01-12 12,4,4,0,0,0,0,0
2014-01-12 20,1,1,0,0,0,0,0
2014-01-12 22,4,4,0,0,0,0,0
2014-01-12 23,4,4,0,0,0,0,0
2014-01-13 09,4,4,0,0,0,0,0
2014-01-13 12,12,12,0,0,0,0,0
2014-01-13 13,4,4,0,0,0,0,0
2014-01-13 16,10,8,0,2,0,0,0
2014-01-13 17,2,1,0,1,0,0,0
2014-01-13 18,12,7,0,5,0,0,0
2014-01-13 19,1,0,0,1,0,0,0
2014-01-13 20,23,20,0,3,0,0,0
2014-01-13 21,13,13,0,0,0,0,0
2014-01-13 23,5,5,0,0,0,0,0
2014-01-14 07,3,2,0,1,0,0,0
2014-01-14 08,5,3,0,2,0,0,0
2014-01-14 10,43,9,0,34,0,0,0
2014-01-14 11,28,14,0,14,0,0,0
2014-01-14 12,25,8,0,17,0,0,0
2014-01-14 13,9,8,0,1,0,0,0
2014-01-14 15,15,13,0,2,0,0,0
2014-01-14 16,42,22,0,20,0,0,0
2014-01-14 17,27,12,0,15,0,0,0
2014-01-14 18,5,5,0,0,0,0,0
2014-01-14 19,26,9,0,17,0,0,0
2014-01-14 20,20,5,0,15,0,0,0
2014-01-14 21,3,0,0,3,0,0,0
2014-01-14 22,36,21,0,15,0,0,0
2014-01-14 23,4,3,0,1,0,0,0
2014-01-15 00,8,8,0,0,0,0,0
2014-01-15 08,1,1,0,0,0,0,0
2014-01-15 09,10,9,0,1,0,0,0
2014-01-15 10,4,1,0,3,0,0,0
2014-01-15 11,7,4,0,3,0,0,0
2014-01-15 12,3,2,0,1,0,0,0
2014-01-15 13,4,3,0,1,0,0,0
2014-01-15 14,16,13,0,3,0,0,0
2014-01-15 15,4,1,0,3,0,0,0
2014-01-15 16,26,11,0,15,0,0,0
2014-01-15 17,50,42,0,8,0,0,0
2014-01-15 18,2,0,0,2,0,0,0
2014-01-15 20,33,14,0,19,0,0,0
2014-01-15 21,1,0,0,1,0,0,0
2014-01-15 22,17,16,0,1,0,0,0
2014-01-15 23,1,0,0,1,0,0,0
2014-01-16 01,22,7,0,15,0,0,0
2014-01-16 02,12,1,0,11,0,0,0
2014-01-16 08,2,1,0,1,0,0,0
2014-01-16 09,24,20,0,4,0,0,0
2014-01-16 10,1,0,0,1,0,0,0
2014-01-16 11,9,4,0,5,0,0,0
2014-01-16 12,22,11,0,11,0,0,0
2014-01-16 13,32,11,0,21,0,0,0
2014-01-16 14,45,11,0,34,0,0,0
2014-01-16 15,14,8,0,6,0,0,0
2014-01-16 16,14,10,0,4,0,0,0
2014-01-16 17,13,6,0,7,0,0,0
2014-01-16 19,3,2,0,1,0,0,0
2014-01-16 20,19,9,0,10,0,0,0
2014-01-16 21,1,0,0,1,0,0,0
2014-01-16 22,40,25,0,15,0,0,0
2014-01-16 23,17,16,0,1,0,0,0
2014-01-17 00,10,9,0,1,0,0,0
2014-01-17 01,1,0,0,1,0,0,0
2014-01-17 07,1,1,0,0,0,0,0
2014-01-17 08,20,10,0,10,0,0,0
2014-01-17 09,17,8,0,9,0,0,0
2014-01-17 10,52,34,0,18,0,0,0
2014-01-17 11,4,0,0,4,0,0,0
2014-01-17 12,9,3,0,6,0,0,0
