date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,144,138,0,6,0,0,0
2014-01-07 18,134,127,0,7,0,0,0
2014-01-07 19,100,96,0,4,0,0,0
2014-01-07 20,147,140,0,7,0,0,0
2014-01-07 21,155,147,0,8,0,0,0
2014-01-07 22,123,119,0,4,0,0,0
2014-01-07 23,59,58,0,1,0,0,0
2014-01-08 00,30,30,0,0,0,0,0
2014-01-08 01,16,16,0,0,0,0,0
2014-01-08 02,8,8,0,0,0,0,0
2014-01-08 03,23,22,0,1,0,0,0
2014-01-08 04,6,6,0,0,0,0,0
2014-01-08 05,11,11,0,0,0,0,0
2014-01-08 06,12,10,0,2,0,0,0
2014-01-08 07,41,36,0,5,0,0,0
2014-01-08 08,34,31,0,3,0,0,0
2014-01-08 09,58,56,0,2,0,0,0
2014-01-08 10,138,133,0,5,0,0,0
2014-01-08 11,74,70,0,4,0,0,0
2014-01-08 12,104,95,0,9,0,0,0
2014-01-08 13,99,93,0,6,0,0,0
2014-01-08 14,43,41,0,2,0,0,0
2014-01-08 15,63,58,0,5,0,0,0
2014-01-08 16,119,112,0,7,0,0,0
2014-01-08 17,67,63,0,4,0,0,0
2014-01-08 18,50,47,0,3,0,0,0
2014-01-08 19,84,83,0,1,0,0,0
2014-01-08 20,94,88,0,6,0,0,0
2014-01-08 21,150,141,0,9,0,0,0
2014-01-08 22,126,123,0,3,0,0,0
2014-01-08 23,64,60,0,4,0,0,0
2014-01-09 00,13,13,0,0,0,0,0
2014-01-09 01,26,24,0,2,0,0,0
2014-01-09 02,15,13,0,2,0,0,0
2014-01-09 03,35,34,0,1,0,0,0
2014-01-09 04,19,18,0,1,0,0,0
2014-01-09 05,15,15,0,0,0,0,0
2014-01-09 06,3,3,0,0,0,0,0
2014-01-09 07,17,17,0,0,0,0,0
2014-01-09 08,22,21,0,1,0,0,0
2014-01-09 09,72,69,0,3,0,0,0
2014-01-09 10,145,139,0,6,0,0,0
2014-01-09 11,119,109,0,10,0,0,0
