date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,828989,600785,82,228121,0,1,0
2014-01-07 18,840485,611461,117,228905,0,2,0
2014-01-07 19,837730,611504,135,226091,0,0,0
2014-01-07 20,864411,631335,139,232937,0,0,0
2014-01-07 21,844967,616904,230,227833,0,0,0
2014-01-07 22,837588,611014,190,226381,0,3,0
2014-01-07 23,714277,515765,148,198364,0,0,0
2014-01-08 00,382186,273335,57,108793,0,1,0
2014-01-08 01,203138,145068,30,58040,0,0,0
2014-01-08 02,127980,92545,8,35427,0,0,0
2014-01-08 03,91200,67057,12,24131,0,0,0
2014-01-08 04,77889,57869,2,20017,0,1,0
2014-01-08 05,68082,50945,6,17131,0,0,0
2014-01-08 06,80531,58979,6,21546,0,0,0
2014-01-08 07,156182,108926,15,47241,0,0,0
2014-01-08 08,410077,283183,112,126781,0,1,0
2014-01-08 09,658688,464106,85,194497,0,0,0
2014-01-08 10,732782,522677,85,210020,0,0,0
2014-01-08 11,798925,572127,133,226664,0,1,0
2014-01-08 12,849012,614080,114,234818,0,0,0
2014-01-08 13,744656,540829,127,203700,0,0,0
2014-01-08 14,717721,520794,65,196862,0,0,0
2014-01-08 15,677399,490893,72,186434,0,0,0
2014-01-08 16,662119,479867,106,182146,0,0,0
2014-01-08 17,636609,460515,66,176028,0,0,0
2014-01-08 18,647548,471431,108,176008,0,1,0
2014-01-08 19,707892,518568,140,189183,0,1,0
2014-01-08 20,774637,568695,218,205723,0,1,0
2014-01-08 21,833513,612308,169,221036,0,0,0
2014-01-08 22,819063,601478,153,217432,0,0,0
2014-01-08 23,554845,403739,76,151030,0,0,0
2014-01-09 00,312173,224735,24,87414,0,0,0
2014-01-09 01,197625,141656,6,55963,0,0,0
2014-01-09 02,134174,97262,6,36906,0,0,0
2014-01-09 03,97576,72121,4,25451,0,0,0
2014-01-09 04,74050,55789,4,18257,0,0,0
2014-01-09 05,65686,49737,10,15939,0,0,0
2014-01-09 06,85272,62297,6,22968,0,1,0
2014-01-09 07,159358,111696,2,47660,0,0,0
2014-01-09 08,397960,274568,42,123350,0,0,0
2014-01-09 09,614903,433540,84,181279,0,0,0
2014-01-09 10,628346,448850,136,179360,0,0,0
2014-01-09 11,599560,431739,71,167750,0,0,0
2014-01-09 12,629309,455722,92,173494,0,1,0
2014-01-09 13,657142,477253,67,179822,0,0,0
2014-01-09 14,655608,476471,102,179035,0,0,0
2014-01-09 15,659759,478375,97,181287,0,0,0
2014-01-09 16,630030,456825,150,173055,0,0,0
2014-01-09 17,560406,407739,119,152548,0,0,0
