date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,50394,16495,32992,907,0,0,0
2014-01-07 18,43556,14277,28554,725,0,0,0
2014-01-07 19,42464,13919,27840,705,0,0,0
2014-01-07 20,45078,14762,29526,790,0,0,0
2014-01-07 21,45369,14854,29710,805,0,0,0
2014-01-07 22,45077,14756,29516,805,0,0,0
2014-01-07 23,36915,12089,24180,646,0,0,0
2014-01-08 00,24660,8053,16106,501,0,0,0
2014-01-08 01,11650,3819,7642,189,0,0,0
2014-01-08 02,8332,2744,5490,98,0,0,0
2014-01-08 03,5209,1714,3428,67,0,0,0
2014-01-08 04,3710,1223,2446,41,0,0,0
2014-01-08 05,4168,1372,2744,52,0,0,0
2014-01-08 06,6540,2150,4300,90,0,0,0
2014-01-08 07,15086,4945,9890,251,0,0,0
2014-01-08 08,40155,13127,26254,774,0,0,0
2014-01-08 09,54406,17779,35558,1069,0,0,0
2014-01-08 10,64344,21029,42062,1253,0,0,0
2014-01-08 11,61660,20152,40308,1200,0,0,0
2014-01-08 12,54041,17681,35364,996,0,0,0
2014-01-08 13,50735,16596,33196,943,0,0,0
2014-01-08 14,53939,17609,35218,1112,0,0,0
2014-01-08 15,55672,18199,36400,1073,0,0,0
2014-01-08 16,56845,18599,37198,1048,0,0,0
2014-01-08 17,46154,15107,30214,833,0,0,0
2014-01-08 18,40882,13407,26814,661,0,0,0
2014-01-08 19,38861,12722,25446,693,0,0,0
2014-01-08 20,40468,13249,26498,721,0,0,0
2014-01-08 21,40651,13295,26592,764,0,0,0
2014-01-08 22,41252,13511,27024,717,0,0,0
2014-01-08 23,31593,10327,20656,610,0,0,0
2014-01-09 00,21002,6840,13686,476,0,0,0
2014-01-09 01,10511,3443,6886,182,0,0,0
2014-01-09 02,7687,2527,5056,104,0,0,0
2014-01-09 03,4646,1529,3062,55,0,0,0
2014-01-09 04,3702,1213,2428,61,0,0,0
2014-01-09 05,3318,1091,2186,41,0,0,0
2014-01-09 06,5584,1836,3672,76,0,0,0
2014-01-09 07,13689,4485,8974,230,0,0,0
2014-01-09 08,39443,12887,25774,782,0,0,0
2014-01-09 09,51462,16784,33568,1110,0,0,0
2014-01-09 10,51612,16834,33668,1110,0,0,0
2014-01-09 11,50624,16502,33008,1114,0,0,0
2014-01-09 12,47551,15527,31054,970,0,0,0
2014-01-09 13,48069,15700,31400,969,0,0,0
2014-01-09 14,53711,17555,35110,1046,0,0,0
2014-01-09 15,55666,18170,36340,1156,0,0,0
2014-01-09 16,49041,16034,32068,939,0,0,0
2014-01-09 17,36119,11824,23648,647,0,0,0
2014-01-09 18,30805,10106,20212,487,0,0,0
2014-01-09 19,27846,9126,18252,468,0,0,0
2014-01-09 20,31822,10423,20846,553,0,0,0
2014-01-09 21,33034,10804,21608,622,0,0,0
2014-01-09 22,28885,9445,18890,550,0,0,0
2014-01-09 23,21597,7056,14112,429,0,0,0
2014-01-10 00,16022,5213,10428,381,0,0,0
2014-01-10 01,10101,3308,6618,175,0,0,0
2014-01-10 02,7195,2362,4726,107,0,0,0
2014-01-10 03,5542,1815,3630,97,0,0,0
2014-01-10 04,4415,1448,2898,69,0,0,0
2014-01-10 05,3305,1087,2178,40,0,0,0
2014-01-10 06,5043,1654,3312,77,0,0,0
2014-01-10 07,13170,4307,8614,249,0,0,0
2014-01-10 08,34607,11291,22584,732,0,0,0
2014-01-10 09,45222,14749,29498,975,0,0,0
2014-01-10 10,46852,15293,30586,973,0,0,0
2014-01-10 11,44536,14552,29104,880,0,0,0
2014-01-10 12,41601,13601,27204,796,0,0,0
2014-01-10 13,37421,12209,24422,789,0,1,0
2014-01-10 14,45216,14784,29568,864,0,0,0
2014-01-10 15,48066,15688,31382,996,0,0,0
2014-01-10 16,55393,18124,36246,1023,0,0,0
2014-01-10 17,37355,12238,24480,637,0,0,0
2014-01-10 18,33991,11147,22296,548,0,0,0
2014-01-10 19,34473,11295,22590,588,0,0,0
2014-01-10 20,35812,11727,23458,627,0,0,0
2014-01-10 21,30893,10094,20192,607,0,0,0
2014-01-10 22,25193,8245,16492,456,0,0,0
2014-01-10 23,20108,6584,13170,354,0,0,0
2014-01-11 00,19379,6305,12612,462,0,0,0
2014-01-11 01,12369,4057,8116,196,0,0,0
2014-01-11 02,7258,2386,4772,100,0,0,0
2014-01-11 03,4799,1571,3146,82,0,0,0
2014-01-11 04,3312,1092,2188,32,0,0,0
2014-01-11 05,3866,1275,2550,41,0,0,0
2014-01-11 06,4286,1407,2818,61,0,0,0
2014-01-11 07,7894,2591,5186,117,0,0,0
2014-01-11 08,18487,6069,12140,278,0,0,0
2014-01-11 09,29221,9575,19146,500,0,0,0
2014-01-11 10,35450,11598,23198,654,0,0,0
2014-01-11 11,33040,10809,21618,613,0,0,0
2014-01-11 12,32906,10765,21530,611,0,0,0
2014-01-11 13,31810,10403,20806,601,0,0,0
2014-01-11 14,34508,11299,22600,609,0,0,0
2014-01-11 20,30069,9868,19736,465,0,0,0
2014-01-11 21,23335,7640,15280,415,0,0,0
2014-01-11 23,17743,5804,11610,329,0,0,0
2014-01-12 00,5222,1709,3418,95,0,0,0
2014-01-12 01,4575,1496,2992,87,0,0,0
2014-01-12 02,3360,1102,2206,52,0,0,0
2014-01-12 03,1870,614,1230,26,0,0,0
2014-01-12 04,1158,381,762,15,0,0,0
2014-01-12 05,1053,349,698,6,0,0,0
2014-01-12 06,1733,570,1142,21,0,0,0
2014-01-12 07,3659,1207,2414,38,0,0,0
2014-01-12 08,5760,1897,3794,69,0,0,0
2014-01-12 09,8829,2900,5800,129,0,0,0
2014-01-12 10,10568,3450,6900,218,0,0,0
2014-01-12 11,10644,3486,6972,186,0,0,0
2014-01-12 12,10920,3580,7160,180,0,0,0
2014-01-12 13,15438,5069,10138,231,0,0,0
2014-01-12 14,13579,4448,8896,235,0,0,0
2014-01-12 15,14104,4619,9238,247,0,0,0
2014-01-12 16,15771,5174,10348,249,0,0,0
2014-01-12 17,13709,4498,8996,215,0,0,0
2014-01-12 18,14422,4730,9464,228,0,0,0
2014-01-12 19,14931,4900,9800,231,0,0,0
2014-01-12 20,17186,5630,11260,296,0,0,0
2014-01-12 21,17475,5716,11432,327,0,0,0
2014-01-12 22,15929,5222,10444,263,0,0,0
2014-01-12 23,12709,4162,8324,223,0,0,0
2014-01-13 00,8137,2653,5306,178,0,0,0
2014-01-13 01,4350,1433,2866,51,0,0,0
2014-01-13 02,3593,1184,2368,41,0,0,0
2014-01-13 03,2640,871,1742,27,0,0,0
2014-01-13 04,1526,503,1006,17,0,0,0
2014-01-13 05,1236,404,808,24,0,0,0
2014-01-13 06,1820,603,1206,11,0,0,0
2014-01-13 07,4716,1547,3094,75,0,0,0
2014-01-13 08,15513,5068,10136,309,0,0,0
2014-01-13 09,19378,6315,12630,433,0,0,0
2014-01-13 10,23301,7604,15208,489,0,0,0
2014-01-13 11,21049,6874,13748,427,0,0,0
2014-01-13 12,18493,5993,11986,514,0,0,0
2014-01-13 13,18313,5921,11842,550,0,0,0
2014-01-13 14,20478,6636,13272,570,0,0,0
2014-01-13 15,20932,6779,13558,595,0,0,0
2014-01-13 16,44109,14274,28554,1281,0,0,0
2014-01-13 17,43205,14009,28020,1176,0,0,0
2014-01-13 18,31724,10292,20584,848,0,0,0
2014-01-13 19,27743,8991,17984,768,0,0,0
2014-01-13 20,33041,10718,21436,887,0,0,0
2014-01-13 21,33750,10943,21886,921,0,0,0
2014-01-13 22,31895,10325,20652,918,0,0,0
2014-01-13 23,21949,7091,14182,676,0,0,0
2014-01-14 00,16365,5259,10520,586,0,0,0
2014-01-14 01,11026,3560,7120,346,0,0,0
2014-01-14 02,6900,2234,4468,198,0,0,0
2014-01-14 03,4350,1402,2806,142,0,0,0
2014-01-14 04,2973,963,1926,84,0,0,0
2014-01-14 05,3357,1082,2166,109,0,0,0
