date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,10352,2735,5470,2147,0,0,0
2014-01-07 18,9348,2401,4802,2145,0,0,0
2014-01-07 19,9918,2584,5168,2166,0,0,0
2014-01-07 20,10933,2872,5744,2317,0,0,0
2014-01-07 21,10666,2761,5522,2383,0,0,0
2014-01-07 22,11166,2946,5892,2328,0,0,0
2014-01-07 23,9264,2503,5006,1755,0,0,0
2014-01-08 00,4638,1173,2346,1119,0,0,0
2014-01-08 01,1666,403,806,457,0,0,0
2014-01-08 02,941,228,456,257,0,0,0
2014-01-08 03,819,220,440,159,0,0,0
2014-01-08 04,309,82,164,63,0,0,0
2014-01-08 05,533,158,316,59,0,0,0
2014-01-08 06,477,127,254,96,0,0,0
2014-01-08 07,1153,291,582,280,0,0,0
2014-01-08 08,5708,1514,3028,1166,0,0,0
2014-01-08 09,11833,3169,6338,2326,0,0,0
2014-01-08 10,14130,3749,7498,2883,0,0,0
2014-01-08 11,15137,4156,8312,2669,0,0,0
2014-01-08 12,13562,3623,7246,2693,0,0,0
2014-01-08 13,13530,3639,7278,2613,0,0,0
2014-01-08 14,11896,3124,6248,2524,0,0,0
2014-01-08 15,15434,4160,8320,2954,0,0,0
2014-01-08 16,15431,4219,8440,2772,0,0,0
2014-01-08 17,11843,3167,6334,2342,0,0,0
2014-01-08 18,10781,2843,5686,2252,0,0,0
2014-01-08 19,13390,3651,7302,2437,0,0,0
2014-01-08 20,11885,3141,6282,2462,0,0,0
2014-01-08 21,12493,3325,6650,2518,0,0,0
2014-01-08 22,14877,4135,8270,2472,0,0,0
2014-01-08 23,8680,2260,4520,1900,0,0,0
2014-01-09 00,5848,1515,3030,1303,0,0,0
2014-01-09 01,2183,543,1086,554,0,0,0
2014-01-09 02,1176,292,584,300,0,0,0
2014-01-09 03,890,252,504,134,0,0,0
2014-01-09 04,492,125,250,117,0,0,0
2014-01-09 05,375,94,188,93,0,0,0
2014-01-09 06,384,97,194,93,0,0,0
2014-01-09 07,1164,284,570,310,0,0,0
2014-01-09 08,5179,1321,2642,1216,0,0,0
2014-01-09 09,11218,2988,5976,2254,0,0,0
2014-01-09 10,14027,3757,7516,2754,0,0,0
2014-01-09 11,12047,3193,6386,2468,0,0,0
2014-01-09 12,13080,3489,6976,2615,0,0,0
2014-01-09 13,12948,3410,6820,2718,0,0,0
2014-01-09 14,12252,3218,6438,2596,0,0,0
2014-01-09 15,17081,4756,9514,2811,0,0,0
