date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,29167,11418,3990,13759,0,0,0
2014-01-07 18,28333,10826,3732,13775,0,0,0
2014-01-07 19,28447,11273,3471,13703,0,0,0
2014-01-07 20,28508,10883,3660,13965,0,0,0
2014-01-07 21,28440,11040,3477,13923,0,0,0
2014-01-07 22,27077,10530,3399,13148,0,0,0
2014-01-07 23,20511,7472,2475,10564,0,0,0
2014-01-08 00,12670,4682,1440,6548,0,0,0
2014-01-08 01,6458,1928,624,3906,0,0,0
2014-01-08 02,3500,729,288,2483,0,0,0
2014-01-08 03,2430,528,216,1686,0,0,0
2014-01-08 04,1916,391,195,1330,0,0,0
2014-01-08 05,2293,609,291,1393,0,0,0
2014-01-08 06,3354,863,390,2101,0,0,0
2014-01-08 07,9234,2899,1206,5129,0,0,0
2014-01-08 08,23810,8655,2988,12167,0,0,0
2014-01-08 09,33184,12404,4263,16517,0,0,0
2014-01-08 10,35787,13628,4752,17407,0,0,0
2014-01-08 11,32310,12063,4308,15939,0,0,0
2014-01-08 12,31428,11810,4023,15595,0,0,0
2014-01-08 13,28715,11219,3804,13692,0,0,0
2014-01-08 14,21706,2711,4152,14843,0,0,0
2014-01-08 15,22369,2782,4482,15105,0,0,0
2014-01-08 16,23259,3010,4869,15380,0,0,0
2014-01-08 17,20444,2445,3789,14210,0,0,0
2014-01-08 18,19892,2353,3636,13903,0,0,0
2014-01-08 19,19396,2390,3648,13358,0,0,0
2014-01-08 20,19340,2419,3657,13264,0,0,0
2014-01-08 21,18921,2282,3549,13090,0,0,0
2014-01-08 22,18068,2268,3426,12374,0,0,0
2014-01-08 23,13937,1682,2628,9627,0,0,0
2014-01-09 00,8014,786,1104,6124,0,0,0
2014-01-09 01,4558,341,471,3746,0,0,0
2014-01-09 02,3216,207,318,2691,0,0,0
2014-01-09 03,2439,178,237,2024,0,0,0
2014-01-09 04,1910,88,147,1675,0,0,0
2014-01-09 05,1939,146,189,1604,0,0,0
2014-01-09 06,2827,228,339,2260,0,0,0
2014-01-09 07,6896,805,1104,4987,0,0,0
2014-01-09 08,17434,2336,3207,11891,0,0,0
2014-01-09 09,21383,2630,4212,14541,0,0,0
2014-01-09 10,23006,3028,4686,15292,0,0,0
2014-01-09 11,21833,2719,4197,14917,0,0,0
2014-01-09 12,20079,2532,3942,13605,0,0,0
