date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,8638,2461,0,6177,0,0,0
2014-01-07 18,7501,2303,0,5198,0,0,0
2014-01-07 19,7672,2315,0,5357,0,0,0
2014-01-07 20,8684,2472,0,6212,0,0,0
2014-01-07 21,8855,2597,2,6256,0,0,0
2014-01-07 22,8729,2426,0,6303,0,0,0
2014-01-07 23,7256,2117,0,5139,0,0,0
2014-01-08 00,3115,966,0,2149,0,0,0
2014-01-08 01,1242,431,0,811,0,0,0
2014-01-08 02,655,252,0,403,0,0,0
2014-01-08 03,526,159,0,367,0,0,0
2014-01-08 04,298,130,0,168,0,0,0
2014-01-08 05,286,102,0,184,0,0,0
2014-01-08 06,727,263,0,464,0,0,0
2014-01-08 07,1748,559,0,1189,0,0,0
2014-01-08 08,4871,1461,0,3410,0,0,0
2014-01-08 09,7561,2241,0,5320,0,0,0
2014-01-08 10,8586,2492,0,6094,0,0,0
2014-01-08 11,8308,2382,0,5926,0,0,0
2014-01-08 12,7344,2173,0,5171,0,0,0
2014-01-08 13,7336,2233,0,5103,0,0,0
2014-01-08 14,8069,2351,0,5718,0,0,0
2014-01-08 15,7777,2276,0,5501,0,0,0
2014-01-08 16,7977,2217,0,5760,0,0,0
2014-01-08 17,6522,1903,0,4619,0,0,0
2014-01-08 18,6513,1860,0,4653,0,0,0
2014-01-08 19,7487,2110,0,5377,0,0,0
2014-01-08 20,8372,2345,0,6027,0,0,0
2014-01-08 21,9293,2590,0,6703,0,0,0
2014-01-08 22,8046,2282,0,5764,0,0,0
2014-01-08 23,5471,1734,0,3737,0,0,0
2014-01-09 00,2070,573,0,1497,0,0,0
2014-01-09 01,1441,453,0,988,0,0,0
2014-01-09 02,679,239,0,440,0,0,0
2014-01-09 03,528,208,0,320,0,0,0
2014-01-09 04,253,87,0,166,0,0,0
2014-01-09 05,515,204,0,311,0,0,0
2014-01-09 06,568,248,0,320,0,0,0
2014-01-09 07,1553,564,0,989,0,0,0
2014-01-09 08,4292,1233,0,3059,0,0,0
2014-01-09 09,6858,2091,0,4767,0,0,0
2014-01-09 10,7466,2212,0,5254,0,0,0
2014-01-09 11,5926,1760,0,4166,0,0,0
2014-01-09 12,5628,1707,0,3921,0,0,0
2014-01-09 13,6222,1794,4,4424,0,0,0
2014-01-09 14,7111,2096,0,5015,0,0,0
2014-01-09 15,8488,2361,0,6127,0,0,0
2014-01-09 16,6786,1984,0,4802,0,0,0
2014-01-09 17,5015,1493,0,3522,0,0,0
2014-01-09 18,4686,1482,0,3204,0,0,0
2014-01-09 19,5912,1699,2,4211,0,0,0
2014-01-09 20,6654,1858,0,4796,0,0,0
2014-01-09 21,6949,2058,0,4891,0,0,0
2014-01-09 22,6355,1798,2,4555,0,0,0
2014-01-09 23,4497,1302,0,3195,0,0,0
2014-01-10 00,2232,699,0,1533,0,0,0
2014-01-10 01,1297,431,0,866,0,0,0
2014-01-10 02,794,280,0,514,0,0,0
2014-01-10 03,677,206,0,471,0,0,0
2014-01-10 04,318,134,0,184,0,0,0
2014-01-10 05,362,142,0,220,0,0,0
2014-01-10 06,570,230,0,340,0,0,0
2014-01-10 07,1790,571,0,1219,0,0,0
2014-01-10 08,3927,1101,0,2826,0,0,0
2014-01-10 09,6518,1882,0,4636,0,0,0
2014-01-10 10,6989,2011,0,4978,0,0,0
2014-01-10 11,6113,1759,0,4354,0,0,0
2014-01-10 12,5695,1695,0,4000,0,0,0
2014-01-10 13,6097,1632,0,4465,0,0,0
2014-01-10 14,7471,2112,0,5359,0,0,0
2014-01-10 15,7425,2238,0,5187,0,0,0
2014-01-10 16,8321,2319,0,6002,0,0,0
2014-01-10 17,5967,1659,0,4308,0,0,0
2014-01-10 18,5693,1662,0,4031,0,0,0
2014-01-10 19,6521,1914,0,4607,0,0,0
2014-01-10 20,7315,2114,0,5201,0,0,0
2014-01-10 21,6513,1843,2,4668,0,0,0
2014-01-10 22,4941,1451,0,3490,0,0,0
2014-01-10 23,4052,1218,0,2834,0,0,0
2014-01-11 00,2506,754,0,1752,0,0,0
2014-01-11 01,1394,381,0,1013,0,0,0
2014-01-11 02,1139,352,0,787,0,0,0
2014-01-11 03,649,209,0,440,0,0,0
2014-01-11 04,322,131,0,191,0,0,0
2014-01-11 05,431,157,0,274,0,0,0
2014-01-11 06,597,206,0,391,0,0,0
2014-01-11 07,1459,482,0,977,0,0,0
2014-01-11 08,2965,942,0,2023,0,0,0
2014-01-11 09,4686,1297,0,3389,0,0,0
2014-01-11 10,5342,1594,0,3748,0,0,0
2014-01-11 11,5340,1577,0,3763,0,0,0
2014-01-11 12,4630,1309,0,3321,0,0,0
2014-01-11 13,4421,1203,0,3218,0,0,0
2014-01-11 14,4840,1333,0,3507,0,0,0
2014-01-11 20,5872,1708,2,4162,0,0,0
2014-01-11 21,5010,1398,0,3612,0,0,0
2014-01-11 23,3513,1177,0,2336,0,0,0
2014-01-12 00,739,196,0,543,0,0,0
2014-01-12 01,826,228,0,598,0,0,0
2014-01-12 02,276,120,0,156,0,0,0
2014-01-12 03,351,97,0,254,0,0,0
2014-01-12 04,391,103,0,288,0,0,0
2014-01-12 05,303,108,0,195,0,0,0
2014-01-12 06,376,131,0,245,0,0,0
2014-01-12 07,480,188,0,292,0,0,0
2014-01-12 08,1426,418,0,1008,0,0,0
2014-01-12 09,1386,358,0,1028,0,0,0
2014-01-12 10,1919,556,0,1363,0,0,0
