date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,242235,130577,72845,38807,0,6,0
2014-01-07 18,231609,123777,70742,37085,0,5,0
2014-01-07 19,232249,124516,70836,36892,0,3,2
2014-01-07 20,247845,132568,75167,40100,0,10,0
2014-01-07 21,247588,132118,75648,39808,0,10,4
2014-01-07 22,235437,125784,71487,38156,0,10,0
2014-01-07 23,193719,102674,59323,31713,0,8,1
2014-01-08 00,148963,78214,45898,24845,0,6,0
2014-01-08 01,104208,54150,32345,17712,0,1,0
2014-01-08 02,81672,41710,25781,14180,0,1,0
2014-01-08 03,68754,35065,21823,11866,0,0,0
2014-01-08 04,62628,31561,20326,10740,0,1,0
2014-01-08 05,61545,30703,19993,10849,0,0,0
2014-01-08 06,65922,33195,21063,11663,0,1,0
2014-01-08 07,87590,45361,27766,14460,0,1,2
2014-01-08 08,168350,89462,52425,26462,0,1,0
2014-01-08 09,222287,120131,68137,34005,0,14,0
2014-01-08 10,249296,134871,75985,38415,0,25,0
2014-01-08 11,238453,129073,71989,37381,0,10,0
2014-01-08 12,234319,125702,71326,37283,0,7,1
2014-01-08 13,225983,121044,69237,35687,0,15,0
2014-01-08 14,122905,16795,69915,36178,0,13,4
2014-01-08 15,124656,17045,71463,36140,0,8,0
2014-01-08 16,126798,17281,72361,37150,0,6,0
2014-01-08 17,114658,14774,65386,34490,0,8,0
2014-01-08 18,108630,13973,62672,31982,0,3,0
2014-01-08 19,111466,14646,63760,33054,0,6,0
2014-01-08 20,119522,15131,68526,35860,0,5,0
2014-01-08 21,120525,15387,69143,35988,0,5,2
2014-01-08 22,113853,13987,65099,34759,0,8,0
2014-01-08 23,94422,11154,53786,29474,0,8,0
2014-01-09 00,68423,7642,38551,22221,0,8,1
2014-01-09 01,49621,5067,28501,16050,0,1,2
2014-01-09 02,40205,3688,23401,13115,0,1,0
2014-01-09 03,35592,2871,21146,11574,0,1,0
2014-01-09 04,32001,2477,19036,10484,0,0,4
2014-01-09 05,30827,2399,18619,9808,0,1,0
2014-01-09 06,33753,2887,19960,10906,0,0,0
2014-01-09 07,44682,4783,25980,13918,0,1,0
2014-01-09 08,81260,11324,47060,22875,0,1,0
2014-01-09 09,107534,14963,62026,30538,0,5,2
2014-01-09 10,124828,17568,71452,35800,0,6,2
2014-01-09 11,117378,15852,67376,34144,0,6,0
2014-01-09 12,115551,14841,66784,33917,0,9,0
2014-01-09 13,115279,15240,66195,33832,0,10,2
2014-01-09 14,119016,16284,67845,34878,0,7,2
2014-01-09 15,124848,17013,71575,36250,0,3,7
2014-01-09 16,113637,16002,64619,33012,0,0,4
2014-01-09 17,91225,11925,51811,27489,0,0,0
2014-01-09 18,87038,11141,49655,26217,0,25,0
2014-01-09 19,89195,11368,50957,26863,0,7,0
2014-01-09 20,90819,11688,51534,27591,0,6,0
2014-01-09 21,93095,11693,52707,28683,0,12,0
2014-01-09 22,90158,10853,51617,27675,0,13,0
2014-01-09 23,75017,9014,41996,23997,0,10,0
2014-01-10 00,55009,6135,31114,17753,0,7,0
2014-01-10 01,50522,5181,29390,15950,0,1,0
2014-01-10 02,40722,3875,23641,13206,0,0,0
2014-01-10 03,34061,2685,20562,10813,0,1,0
2014-01-10 04,31050,2446,18518,10085,0,1,0
2014-01-10 05,30660,2417,18323,9919,0,1,0
2014-01-10 06,32124,2601,19222,10298,0,3,0
2014-01-10 07,43509,4596,25433,13479,0,1,0
2014-01-10 08,69738,9982,39887,19868,0,1,0
2014-01-10 09,92028,13193,52421,26409,0,5,0
2014-01-10 10,104562,15174,59461,29920,0,3,4
2014-01-10 11,101113,13836,57848,29418,0,11,0
2014-01-10 12,99543,12955,56625,29954,0,9,0
2014-01-10 13,91073,12001,51843,27224,0,5,0
2014-01-10 14,113717,15526,65059,33117,0,15,0
2014-01-10 15,114997,15500,65276,34203,0,14,4
2014-01-10 16,117475,16398,67141,33929,0,7,0
2014-01-10 17,96592,12737,55329,28516,0,10,0
2014-01-10 18,98236,12914,56401,28917,0,4,0
2014-01-10 19,103133,13494,59226,30406,0,7,0
2014-01-10 20,107804,13820,61731,32250,0,1,2
2014-01-10 21,86181,10685,49375,26113,0,8,0
2014-01-10 22,73298,9068,41650,22572,0,8,0
2014-01-10 23,60898,7376,34509,19000,0,9,4
2014-01-11 00,59624,6861,34059,18699,0,5,0
2014-01-11 01,52224,5463,30433,16326,0,1,1
2014-01-11 02,42838,4003,25081,13753,0,1,0
2014-01-11 03,35465,3143,20713,11609,0,0,0
2014-01-11 04,31889,2661,19024,10202,0,2,0
2014-01-11 05,30162,2383,17828,9950,0,1,0
2014-01-11 06,31592,2654,18716,10222,0,0,0
2014-01-11 07,37834,3365,22166,12303,0,0,0
2014-01-11 08,59149,6892,34451,17804,0,2,0
2014-01-11 09,79236,10391,45579,23266,0,0,0
2014-01-11 10,92828,12458,53519,26850,0,1,0
2014-01-11 11,93352,11934,54050,27362,0,2,4
2014-01-11 12,93745,11961,54237,27545,0,2,0
2014-01-11 13,94506,12228,54615,27662,0,1,0
2014-01-11 14,97081,12694,55228,29158,0,1,0
2014-01-11 20,85084,10695,49092,25290,0,7,0
2014-01-11 21,72753,9111,41714,21922,0,4,2
2014-01-11 23,54542,6477,30837,17218,0,6,4
2014-01-12 00,16971,1808,9517,5646,0,0,0
2014-01-12 01,20978,2157,12097,6724,0,0,0
2014-01-12 02,20580,1856,12265,6459,0,0,0
2014-01-12 03,17378,1403,10347,5628,0,0,0
2014-01-12 04,13609,1045,8264,4300,0,0,0
2014-01-12 05,13391,1051,7925,4415,0,0,0
2014-01-12 06,13288,865,8111,4312,0,0,0
2014-01-12 07,15953,1493,9589,4871,0,0,0
2014-01-12 08,16849,1928,9682,5239,0,0,0
2014-01-12 09,21998,2888,12673,6436,0,0,1
2014-01-12 10,26977,3566,15288,8123,0,0,0
2014-01-12 11,26439,3466,15000,7973,0,0,0
2014-01-12 12,27724,3673,16199,7852,0,0,0
2014-01-12 13,42982,5855,24754,12373,0,0,0
2014-01-12 14,44656,5780,25729,13147,0,0,0
2014-01-12 15,44146,5926,25116,13104,0,0,0
2014-01-12 16,45450,6240,25962,13248,0,0,0
2014-01-12 17,41392,5529,23856,12007,0,0,0
2014-01-12 18,41192,5504,23828,11860,0,0,0
2014-01-12 19,44163,5930,25405,12828,0,0,0
2014-01-12 20,46892,6057,26907,13928,0,0,0
2014-01-12 21,49287,6446,28103,14738,0,0,0
2014-01-12 22,47941,5996,27342,14596,0,7,0
2014-01-12 23,38514,4740,21613,12161,0,0,0
2014-01-13 00,27355,3050,15651,8654,0,0,0
2014-01-13 01,22100,2044,12773,7283,0,0,0
2014-01-13 02,19448,1621,11127,6700,0,0,0
2014-01-13 03,15528,1166,9152,5210,0,0,0
2014-01-13 04,14581,1075,8757,4749,0,0,0
2014-01-13 05,13328,865,7921,4542,0,0,0
2014-01-13 06,14112,1047,8272,4793,0,0,0
2014-01-13 07,18198,1713,10524,5961,0,0,0
2014-01-13 08,32574,4370,19014,9190,0,0,0
2014-01-13 09,45604,6721,26445,12438,0,0,0
2014-01-13 10,51798,7429,29801,14568,0,0,0
2014-01-13 11,49262,6828,28129,14304,0,1,0
2014-01-13 12,42571,5844,24405,12322,0,0,0
2014-01-13 13,46139,6150,26181,13806,0,2,0
2014-01-13 14,48234,6576,27508,14142,0,8,0
2014-01-13 15,49806,6959,27890,14954,0,3,0
2014-01-13 16,99289,13565,56052,29665,0,7,0
2014-01-13 17,101506,13436,58076,29988,0,4,2
2014-01-13 18,88962,11689,50564,26705,0,2,2
2014-01-13 19,77980,9931,44310,23737,0,2,0
2014-01-13 20,87139,11362,49946,25828,0,3,0
2014-01-13 21,85554,10836,48514,26199,1,4,0
2014-01-13 22,85351,10869,48745,25731,0,6,0
2014-01-13 23,63496,7829,36275,19384,0,7,1
2014-01-14 00,48205,5251,27297,15656,0,1,0
2014-01-14 01,46848,4507,26876,15463,0,0,2
2014-01-14 02,38842,3396,22408,13038,0,0,0
2014-01-14 03,34919,2932,20729,11257,0,1,0
2014-01-14 04,30954,2414,18319,10220,0,1,0
2014-01-14 05,32114,2567,19241,10305,0,1,0
2014-01-14 06,31095,2641,18486,9967,0,1,0
2014-01-14 07,40302,3961,23644,12696,0,1,0
2014-01-14 08,71898,9042,41476,21380,0,0,0
2014-01-14 09,99327,13549,56992,28780,0,1,5
2014-01-14 10,111364,15470,63415,32476,0,3,0
2014-01-14 11,104337,13788,59453,31091,0,5,0
2014-01-14 12,91001,12007,51932,27060,0,2,0
2014-01-14 13,83979,11254,47992,24732,0,1,0
2014-01-14 14,103953,14618,59430,29898,0,7,0
2014-01-14 15,109652,15002,62356,32288,0,4,2
2014-01-14 16,108388,15069,62035,31280,0,4,0
2014-01-14 17,97376,13268,55987,28114,0,7,0
2014-01-14 18,90988,11779,51731,27477,0,1,0
2014-01-14 19,94036,12303,53492,28237,0,2,2
2014-01-14 20,99604,13334,57220,29043,0,7,0
2014-01-14 21,101347,13036,57566,30737,0,6,2
2014-01-14 22,93478,11977,53414,28067,0,18,2
2014-01-14 23,76961,9227,43859,23869,0,4,2
2014-01-15 00,58632,6439,33661,18530,0,1,1
2014-01-15 01,44152,4619,25427,14104,0,2,0
2014-01-15 02,36037,3239,21030,11768,0,0,0
2014-01-15 03,31999,2625,18941,10433,0,0,0
2014-01-15 04,29557,2237,17732,9587,0,1,0
2014-01-15 05,28011,1939,17061,9011,0,0,0
2014-01-15 06,29386,2210,17747,9429,0,0,0
2014-01-15 07,38457,3690,22572,12192,0,3,0
2014-01-15 08,66873,8942,38755,19175,0,1,0
2014-01-15 09,91206,13032,52446,25727,0,1,0
2014-01-15 10,106386,17431,59780,29171,0,2,2
2014-01-15 11,96284,13493,54861,27929,0,1,0
2014-01-15 12,92926,12255,53360,27311,0,0,0
2014-01-15 13,95691,13196,54113,28381,0,1,0
2014-01-15 14,92381,12636,51417,28327,0,1,0
2014-01-15 15,90297,12154,51059,27082,0,2,0
2014-01-15 16,65039,8810,36585,19642,0,2,0
2014-01-15 17,53691,7075,30287,16328,0,1,0
2014-01-15 18,50158,6352,28559,15247,0,0,0
2014-01-15 20,54931,6842,31153,16936,0,0,0
2014-01-15 21,82811,10314,46896,25600,0,1,0
2014-01-15 22,79477,9351,44650,25475,0,1,0
2014-01-15 23,67779,7809,38370,21600,0,0,0
2014-01-16 00,55347,5726,31353,18266,0,0,2
2014-01-16 01,41780,3896,23904,13977,0,1,2
2014-01-16 02,33592,2927,19432,11233,0,0,0
2014-01-16 03,30082,2288,17803,9989,0,2,0
2014-01-16 04,26641,1862,15882,8896,0,1,0
2014-01-16 05,27045,1862,16201,8982,0,0,0
2014-01-16 06,27229,2024,16232,8973,0,0,0
2014-01-16 07,34182,3137,20057,10988,0,0,0
2014-01-16 08,58947,7526,33892,17527,0,2,0
2014-01-16 09,78325,10774,44722,22829,0,0,0
2014-01-16 10,89027,12027,50615,26383,0,1,1
2014-01-16 11,82609,10665,47062,24878,0,2,2
2014-01-16 12,77294,9725,44004,23564,0,1,0
2014-01-16 13,83695,10756,47436,25502,0,1,0
2014-01-16 14,87022,11524,49502,25995,0,1,0
2014-01-16 15,90945,12507,51609,26828,0,1,0
