date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,30,26,4,0,0,0,0
2014-01-07 18,15,15,0,0,0,0,0
2014-01-07 19,16,14,2,0,0,0,0
2014-01-07 20,34,26,8,0,0,0,0
2014-01-07 21,34,26,8,0,0,0,0
2014-01-07 22,19,17,2,0,0,0,0
2014-01-07 23,5,5,0,0,0,0,0
2014-01-08 00,5,5,0,0,0,0,0
2014-01-08 01,7,5,2,0,0,0,0
2014-01-08 02,2,2,0,0,0,0,0
2014-01-08 04,1,1,0,0,0,0,0
2014-01-08 05,1,1,0,0,0,0,0
2014-01-08 06,1,1,0,0,0,0,0
2014-01-08 08,52,26,24,2,0,0,0
2014-01-08 09,31,27,4,0,0,0,0
2014-01-08 10,65,32,32,1,0,0,0
2014-01-08 11,15,15,0,0,0,0,0
2014-01-08 12,68,35,32,1,0,0,0
2014-01-08 13,15,13,2,0,0,0,0
2014-01-08 14,67,34,32,1,0,0,0
2014-01-08 15,81,39,42,0,0,0,0
2014-01-08 16,23,17,6,0,0,0,0
2014-01-08 17,12,10,2,0,0,0,0
2014-01-08 18,9,9,0,0,0,0,0
2014-01-08 19,17,17,0,0,0,0,0
2014-01-08 20,18,14,4,0,0,0,0
2014-01-08 21,26,18,8,0,0,0,0
2014-01-08 22,17,15,2,0,0,0,0
2014-01-08 23,10,6,4,0,0,0,0
2014-01-09 00,4,4,0,0,0,0,0
2014-01-09 01,6,3,2,1,0,0,0
2014-01-09 02,1,1,0,0,0,0,0
2014-01-09 03,1,1,0,0,0,0,0
2014-01-09 05,1,1,0,0,0,0,0
2014-01-09 07,2,2,0,0,0,0,0
2014-01-09 08,13,11,2,0,0,0,0
2014-01-09 09,30,19,10,1,0,0,0
2014-01-09 10,14,14,0,0,0,0,0
2014-01-09 11,28,20,8,0,0,0,0
2014-01-09 12,12,10,2,0,0,0,0
2014-01-09 13,12,12,0,0,0,0,0
2014-01-09 14,28,24,4,0,0,0,0
2014-01-09 15,56,27,28,1,0,0,0
2014-01-09 16,24,20,4,0,0,0,0
2014-01-09 17,31,17,14,0,0,0,0
2014-01-09 18,9,9,0,0,0,0,0
2014-01-09 19,22,17,5,0,0,0,0
2014-01-09 20,44,24,20,0,0,0,0
2014-01-09 21,17,17,0,0,0,0,0
2014-01-09 22,11,11,0,0,0,0,0
2014-01-09 23,9,7,2,0,0,0,0
2014-01-10 00,5,5,0,0,0,0,0
2014-01-10 01,2,2,0,0,0,0,0
2014-01-10 02,2,2,0,0,0,0,0
2014-01-10 03,3,3,0,0,0,0,0
2014-01-10 04,3,1,2,0,0,0,0
2014-01-10 05,1,1,0,0,0,0,0
2014-01-10 07,12,4,8,0,0,0,0
2014-01-10 08,19,13,6,0,0,0,0
2014-01-10 09,13,11,2,0,0,0,0
2014-01-10 10,16,16,0,0,0,0,0
2014-01-10 11,14,10,4,0,0,0,0
2014-01-10 12,31,23,8,0,0,0,0
2014-01-10 13,19,19,0,0,0,0,0
2014-01-10 14,19,17,2,0,0,0,0
2014-01-10 15,104,46,58,0,0,0,0
2014-01-10 16,28,24,4,0,0,0,0
2014-01-10 17,11,11,0,0,0,0,0
2014-01-10 18,12,12,0,0,0,0,0
2014-01-10 19,23,21,2,0,0,0,0
2014-01-10 20,8,8,0,0,0,0,0
2014-01-10 21,10,10,0,0,0,0,0
2014-01-10 22,13,11,2,0,0,0,0
2014-01-10 23,12,6,6,0,0,0,0
2014-01-11 00,2,2,0,0,0,0,0
2014-01-11 01,1,1,0,0,0,0,0
2014-01-11 02,2,2,0,0,0,0,0
2014-01-11 03,1,1,0,0,0,0,0
2014-01-11 05,2,2,0,0,0,0,0
2014-01-11 06,4,2,2,0,0,0,0
2014-01-11 07,1,1,0,0,0,0,0
2014-01-11 08,2,2,0,0,0,0,0
2014-01-11 09,6,4,2,0,0,0,0
2014-01-11 10,7,7,0,0,0,0,0
2014-01-11 11,10,8,2,0,0,0,0
2014-01-11 12,9,9,0,0,0,0,0
2014-01-11 13,10,10,0,0,0,0,0
2014-01-11 14,12,12,0,0,0,0,0
2014-01-11 20,15,13,2,0,0,0,0
2014-01-11 21,15,13,2,0,0,0,0
2014-01-11 23,5,5,0,0,0,0,0
2014-01-12 01,3,3,0,0,0,0,0
2014-01-12 02,1,1,0,0,0,0,0
2014-01-12 04,3,3,0,0,0,0,0
2014-01-12 08,2,2,0,0,0,0,0
2014-01-12 09,6,4,2,0,0,0,0
2014-01-12 10,3,3,0,0,0,0,0
2014-01-12 11,7,7,0,0,0,0,0
2014-01-12 12,2,2,0,0,0,0,0
2014-01-12 13,6,6,0,0,0,0,0
2014-01-12 14,9,9,0,0,0,0,0
2014-01-12 15,7,7,0,0,0,0,0
2014-01-12 16,4,4,0,0,0,0,0
2014-01-12 17,5,3,2,0,0,0,0
2014-01-12 18,8,8,0,0,0,0,0
2014-01-12 19,8,8,0,0,0,0,0
2014-01-12 20,11,9,2,0,0,0,0
2014-01-12 21,16,10,6,0,0,0,0
2014-01-12 22,10,10,0,0,0,0,0
2014-01-12 23,1,1,0,0,0,0,0
2014-01-13 00,1,1,0,0,0,0,0
2014-01-13 01,2,2,0,0,0,0,0
2014-01-13 05,1,1,0,0,0,0,0
2014-01-13 07,1,1,0,0,0,0,0
2014-01-13 08,9,5,4,0,0,0,0
2014-01-13 09,7,7,0,0,0,0,0
2014-01-13 10,8,8,0,0,0,0,0
2014-01-13 11,12,11,1,0,0,0,0
2014-01-13 12,2,2,0,0,0,0,0
2014-01-13 13,3,3,0,0,0,0,0
2014-01-13 14,7,5,2,0,0,0,0
2014-01-13 15,3,3,0,0,0,0,0
2014-01-13 16,53,24,28,1,0,0,0
2014-01-13 17,10,10,0,0,0,0,0
2014-01-13 18,10,8,2,0,0,0,0
2014-01-13 19,9,7,2,0,0,0,0
2014-01-13 20,17,11,6,0,0,0,0
2014-01-13 21,17,11,6,0,0,0,0
2014-01-13 22,8,8,0,0,0,0,0
2014-01-13 23,2,2,0,0,0,0,0
2014-01-14 01,4,2,2,0,0,0,0
2014-01-14 02,1,1,0,0,0,0,0
2014-01-14 03,1,1,0,0,0,0,0
2014-01-14 08,12,10,2,0,0,0,0
2014-01-14 09,17,12,5,0,0,0,0
2014-01-14 10,57,28,28,1,0,0,0
2014-01-14 11,52,28,23,1,0,0,0
2014-01-14 12,10,10,0,0,0,0,0
2014-01-14 13,16,12,4,0,0,0,0
2014-01-14 14,10,10,0,0,0,0,0
2014-01-14 15,20,14,6,0,0,0,0
2014-01-14 16,20,14,6,0,0,0,0
2014-01-14 17,20,18,2,0,0,0,0
2014-01-14 18,48,24,24,0,0,0,0
2014-01-14 19,19,13,6,0,0,0,0
2014-01-14 20,15,11,4,0,0,0,0
2014-01-14 21,11,9,2,0,0,0,0
2014-01-14 22,14,10,4,0,0,0,0
2014-01-14 23,8,8,0,0,0,0,0
2014-01-15 00,6,3,2,1,0,0,0
2014-01-15 01,3,3,0,0,0,0,0
2014-01-15 02,1,1,0,0,0,0,0
2014-01-15 07,1,1,0,0,0,0,0
2014-01-15 08,14,10,4,0,0,0,0
