date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,275,275,0,0,0,0,0
2014-01-07 18,252,248,4,0,0,0,0
2014-01-07 19,300,296,4,0,0,0,0
2014-01-07 20,109,107,2,0,0,0,0
2014-01-07 21,250,248,2,0,0,0,0
2014-01-07 22,248,248,0,0,0,0,0
2014-01-07 23,108,108,0,0,0,0,0
2014-01-08 00,149,149,0,0,0,0,0
2014-01-08 01,57,57,0,0,0,0,0
2014-01-08 02,67,67,0,0,0,0,0
2014-01-08 04,4,4,0,0,0,0,0
2014-01-08 05,3,3,0,0,0,0,0
2014-01-08 07,202,202,0,0,0,0,0
2014-01-08 08,63,63,0,0,0,0,0
2014-01-08 09,189,188,0,1,0,0,0
2014-01-08 10,159,159,0,0,0,0,0
2014-01-08 11,147,147,0,0,0,0,0
2014-01-08 12,79,75,4,0,0,0,0
2014-01-08 13,406,406,0,0,0,0,0
2014-01-08 14,43,43,0,0,0,0,0
2014-01-08 15,116,116,0,0,0,0,0
2014-01-08 16,65,63,2,0,0,0,0
2014-01-08 17,145,143,2,0,0,0,0
2014-01-08 18,43,41,2,0,0,0,0
2014-01-08 19,57,55,2,0,0,0,0
2014-01-08 20,65,61,4,0,0,0,0
2014-01-08 21,47,47,0,0,0,0,0
2014-01-08 22,34,32,2,0,0,0,0
2014-01-08 23,32,30,2,0,0,0,0
2014-01-09 00,8,8,0,0,0,0,0
2014-01-09 01,5,5,0,0,0,0,0
2014-01-09 02,2,2,0,0,0,0,0
2014-01-09 06,1,1,0,0,0,0,0
2014-01-09 08,34,32,2,0,0,0,0
2014-01-09 09,45,43,2,0,0,0,0
2014-01-09 10,117,115,2,0,0,0,0
2014-01-09 11,99,97,2,0,0,0,0
2014-01-09 12,57,57,0,0,0,0,0
2014-01-09 13,45,39,6,0,0,0,0
2014-01-09 14,20,20,0,0,0,0,0
2014-01-09 15,20,20,0,0,0,0,0
2014-01-09 16,222,220,2,0,0,0,0
2014-01-09 17,46,44,2,0,0,0,0
2014-01-09 18,31,29,2,0,0,0,0
2014-01-09 19,114,114,0,0,0,0,0
2014-01-09 20,44,44,0,0,0,0,0
2014-01-09 21,54,54,0,0,0,0,0
2014-01-09 22,28,26,2,0,0,0,0
2014-01-09 23,23,23,0,0,0,0,0
2014-01-10 00,14,14,0,0,0,0,0
2014-01-10 01,12,12,0,0,0,0,0
2014-01-10 03,2,2,0,0,0,0,0
2014-01-10 05,4,4,0,0,0,0,0
2014-01-10 06,8,4,4,0,0,0,0
2014-01-10 07,61,61,0,0,0,0,0
2014-01-10 08,8,8,0,0,0,0,0
2014-01-10 09,95,95,0,0,0,0,0
2014-01-10 10,54,52,2,0,0,0,0
2014-01-10 11,34,32,2,0,0,0,0
2014-01-10 12,44,43,0,1,0,0,0
2014-01-10 13,33,33,0,0,0,0,0
2014-01-10 14,31,27,4,0,0,0,0
2014-01-10 15,66,61,4,1,0,0,0
2014-01-10 16,32,32,0,0,0,0,0
2014-01-10 17,47,47,0,0,0,0,0
2014-01-10 18,28,27,0,1,0,0,0
2014-01-10 19,98,98,0,0,0,0,0
2014-01-10 20,17,17,0,0,0,0,0
2014-01-10 21,80,80,0,0,0,0,0
2014-01-10 22,55,55,0,0,0,0,0
2014-01-10 23,28,28,0,0,0,0,0
2014-01-11 00,14,12,2,0,0,0,0
2014-01-11 01,34,34,0,0,0,0,0
2014-01-11 02,21,18,2,1,0,0,0
2014-01-11 03,3,3,0,0,0,0,0
2014-01-11 06,4,2,2,0,0,0,0
2014-01-11 07,12,12,0,0,0,0,0
2014-01-11 08,13,11,2,0,0,0,0
2014-01-11 09,27,27,0,0,0,0,0
2014-01-11 10,45,45,0,0,0,0,0
2014-01-11 11,23,21,2,0,0,0,0
2014-01-11 12,45,45,0,0,0,0,0
2014-01-11 13,93,90,2,1,0,0,0
2014-01-11 14,38,38,0,0,0,0,0
2014-01-11 20,62,61,0,1,0,0,0
2014-01-11 21,70,68,2,0,0,0,0
2014-01-11 23,50,47,2,1,0,0,0
2014-01-12 11,3,1,2,0,0,0,0
2014-01-12 14,3,1,2,0,0,0,0
2014-01-12 16,4,2,2,0,0,0,0
2014-01-12 19,3,1,2,0,0,0,0
2014-01-12 21,3,1,2,0,0,0,0
2014-01-12 23,9,3,6,0,0,0,0
2014-01-13 09,6,2,4,0,0,0,0
2014-01-13 10,2,2,0,0,0,0,0
2014-01-13 11,6,2,4,0,0,0,0
2014-01-13 13,55,55,0,0,0,0,0
2014-01-13 14,1,1,0,0,0,0,0
2014-01-13 16,25,25,0,0,0,0,0
2014-01-13 17,100,100,0,0,0,0,0
2014-01-13 18,27,27,0,0,0,0,0
2014-01-13 19,29,21,8,0,0,0,0
2014-01-13 20,25,25,0,0,0,0,0
2014-01-13 21,27,26,0,1,0,0,0
2014-01-13 22,65,63,2,0,0,0,0
2014-01-13 23,38,38,0,0,0,0,0
2014-01-14 00,3,3,0,0,0,0,0
2014-01-14 01,2,2,0,0,0,0,0
2014-01-14 02,4,4,0,0,0,0,0
2014-01-14 03,1,1,0,0,0,0,0
2014-01-14 05,3,1,2,0,0,0,0
2014-01-14 07,6,2,4,0,0,0,0
2014-01-14 08,21,19,0,2,0,0,0
2014-01-14 09,28,26,2,0,0,0,0
2014-01-14 10,36,32,4,0,0,0,0
2014-01-14 11,92,92,0,0,0,0,0
2014-01-14 12,21,19,2,0,0,0,0
2014-01-14 13,32,32,0,0,0,0,0
2014-01-14 14,2421,2412,2,7,0,0,0
2014-01-14 15,61,57,4,0,0,0,0
2014-01-14 16,45,45,0,0,0,0,0
2014-01-14 17,24,24,0,0,0,0,0
2014-01-14 18,14,14,0,0,0,0,0
2014-01-14 19,72,68,4,0,0,0,0
2014-01-14 20,41,41,0,0,0,0,0
2014-01-14 21,54,54,0,0,0,0,0
2014-01-14 22,99,99,0,0,0,0,0
2014-01-14 23,38,36,2,0,0,0,0
2014-01-15 00,17,15,2,0,0,0,0
2014-01-15 01,3,3,0,0,0,0,0
2014-01-15 02,2,2,0,0,0,0,0
2014-01-15 03,2,2,0,0,0,0,0
2014-01-15 05,8,6,2,0,0,0,0
2014-01-15 06,3,1,2,0,0,0,0
2014-01-15 07,4,4,0,0,0,0,0
2014-01-15 08,20,20,0,0,0,0,0
2014-01-15 09,25,25,0,0,0,0,0
2014-01-15 10,103,103,0,0,0,0,0
2014-01-15 11,25,25,0,0,0,0,0
2014-01-15 12,25,25,0,0,0,0,0
2014-01-15 13,66,66,0,0,0,0,0
2014-01-15 14,87,85,2,0,0,0,0
2014-01-15 15,20,20,0,0,0,0,0
2014-01-15 16,26,24,2,0,0,0,0
2014-01-15 17,20,20,0,0,0,0,0
2014-01-15 18,43,43,0,0,0,0,0
2014-01-15 20,65,65,0,0,0,0,0
2014-01-15 21,49,47,2,0,0,0,0
2014-01-15 22,36,36,0,0,0,0,0
2014-01-15 23,18,18,0,0,0,0,0
2014-01-16 00,33,31,2,0,0,0,0
2014-01-16 01,10,10,0,0,0,0,0
2014-01-16 02,12,10,2,0,0,0,0
2014-01-16 03,2,2,0,0,0,0,0
2014-01-16 05,3,1,2,0,0,0,0
2014-01-16 06,2,2,0,0,0,0,0
2014-01-16 08,14,12,2,0,0,0,0
2014-01-16 09,96,94,2,0,0,0,0
2014-01-16 10,37,37,0,0,0,0,0
2014-01-16 11,20,20,0,0,0,0,0
2014-01-16 12,16,16,0,0,0,0,0
2014-01-16 13,49,48,0,1,0,0,0
2014-01-16 14,70,68,2,0,0,0,0
2014-01-16 15,44,44,0,0,0,0,0
2014-01-16 16,15,15,0,0,0,0,0
2014-01-16 17,19,15,4,0,0,0,0
2014-01-16 18,7,7,0,0,0,0,0
2014-01-16 19,38,36,2,0,0,0,0
2014-01-16 20,81,79,2,0,0,0,0
2014-01-16 21,102,102,0,0,0,0,0
2014-01-16 22,76,71,4,1,0,0,0
2014-01-16 23,46,46,0,0,0,0,0
2014-01-17 00,15,15,0,0,0,0,0
2014-01-17 01,11,9,2,0,0,0,0
2014-01-17 02,5,5,0,0,0,0,0
2014-01-17 03,4,4,0,0,0,0,0
2014-01-17 05,3,1,2,0,0,0,0
2014-01-17 06,1,1,0,0,0,0,0
2014-01-17 07,1041,1041,0,0,0,0,0
2014-01-17 08,5,5,0,0,0,0,0
2014-01-17 09,15,13,2,0,0,0,0
2014-01-17 10,24,22,2,0,0,0,0
2014-01-17 11,17,17,0,0,0,0,0
2014-01-17 12,54,54,0,0,0,0,0
2014-01-17 13,26,26,0,0,0,0,0
2014-01-17 14,47,45,2,0,0,0,0
2014-01-17 15,25,23,2,0,0,0,0
2014-01-17 16,13,11,2,0,0,0,0
2014-01-17 17,22,22,0,0,0,0,0
2014-01-17 18,14,14,0,0,0,0,0
2014-01-17 19,12,12,0,0,0,0,0
2014-01-17 20,3,3,0,0,0,0,0
2014-01-17 21,13,13,0,0,0,0,0
2014-01-17 22,30,30,0,0,0,0,0
2014-01-17 23,10,10,0,0,0,0,0
2014-01-18 00,25,25,0,0,0,0,0
2014-01-18 01,5,5,0,0,0,0,0
2014-01-18 03,1,1,0,0,0,0,0
2014-01-18 04,3,1,2,0,0,0,0
2014-01-18 05,9,7,2,0,0,0,0
2014-01-18 06,1,1,0,0,0,0,0
2014-01-18 08,4,4,0,0,0,0,0
2014-01-18 09,11,11,0,0,0,0,0
2014-01-18 10,51,51,0,0,0,0,0
2014-01-18 11,44,42,2,0,0,0,0
2014-01-18 12,137,137,0,0,0,0,0
2014-01-18 13,10,10,0,0,0,0,0
2014-01-18 14,58,56,2,0,0,0,0
2014-01-18 15,14,14,0,0,0,0,0
2014-01-18 16,26,26,0,0,0,0,0
2014-01-18 17,45,45,0,0,0,0,0
2014-01-18 18,22,22,0,0,0,0,0
2014-01-18 19,10,8,2,0,0,0,0
2014-01-18 20,17,17,0,0,0,0,0
2014-01-18 21,27,27,0,0,0,0,0
2014-01-18 22,42,42,0,0,0,0,0
2014-01-18 23,19,19,0,0,0,0,0
2014-01-19 00,16,16,0,0,0,0,0
2014-01-19 01,11,11,0,0,0,0,0
2014-01-19 03,4,4,0,0,0,0,0
2014-01-19 04,1,1,0,0,0,0,0
2014-01-19 05,1,1,0,0,0,0,0
2014-01-19 06,3,3,0,0,0,0,0
2014-01-19 09,1,1,0,0,0,0,0
2014-01-19 10,5,5,0,0,0,0,0
2014-01-19 11,13,13,0,0,0,0,0
2014-01-19 12,12,12,0,0,0,0,0
2014-01-19 13,33,33,0,0,0,0,0
2014-01-19 14,13,13,0,0,0,0,0
2014-01-19 15,7,7,0,0,0,0,0
2014-01-19 16,20,20,0,0,0,0,0
2014-01-19 17,18,18,0,0,0,0,0
2014-01-19 18,44,44,0,0,0,0,0
2014-01-19 19,34,34,0,0,0,0,0
2014-01-19 20,16,16,0,0,0,0,0
2014-01-19 21,45,44,0,1,0,0,0
2014-01-19 22,32,32,0,0,0,0,0
2014-01-19 23,6,6,0,0,0,0,0
2014-01-20 00,21,21,0,0,0,0,0
2014-01-20 01,3,3,0,0,0,0,0
2014-01-20 02,2,2,0,0,0,0,0
2014-01-20 06,5,5,0,0,0,0,0
2014-01-20 08,3,3,0,0,0,0,0
2014-01-20 09,5,5,0,0,0,0,0
2014-01-20 10,8,8,0,0,0,0,0
2014-01-20 11,14,14,0,0,0,0,0
2014-01-20 12,7,7,0,0,0,0,0
2014-01-20 13,23,23,0,0,0,0,0
2014-01-20 14,2,2,0,0,0,0,0
2014-01-20 15,16,14,2,0,0,0,0
2014-01-20 16,20,18,2,0,0,0,0
2014-01-20 17,18,16,2,0,0,0,0
2014-01-20 18,3,3,0,0,0,0,0
2014-01-20 19,24,24,0,0,0,0,0
2014-01-20 20,36,35,0,1,0,0,0
2014-01-20 21,25,25,0,0,0,0,0
2014-01-20 22,22,22,0,0,0,0,0
2014-01-20 23,32,32,0,0,0,0,0
2014-01-21 00,2,2,0,0,0,0,0
2014-01-21 01,4,4,0,0,0,0,0
2014-01-21 02,138,138,0,0,0,0,0
2014-01-21 03,10,10,0,0,0,0,0
2014-01-21 04,1,1,0,0,0,0,0
2014-01-21 08,1,1,0,0,0,0,0
2014-01-21 09,10,10,0,0,0,0,0
2014-01-21 10,38,38,0,0,0,0,0
2014-01-21 11,9,9,0,0,0,0,0
2014-01-21 12,9,7,2,0,0,0,0
2014-01-21 13,37,37,0,0,0,0,0
2014-01-21 14,1,1,0,0,0,0,0
2014-01-21 15,18,18,0,0,0,0,0
2014-01-21 16,8,8,0,0,0,0,0
2014-01-21 17,25,25,0,0,0,0,0
2014-01-21 18,9,9,0,0,0,0,0
2014-01-21 19,7,7,0,0,0,0,0
2014-01-21 20,25,25,0,0,0,0,0
2014-01-21 21,30,30,0,0,0,0,0
2014-01-21 22,60,60,0,0,0,0,0
2014-01-21 23,13,13,0,0,0,0,0
2014-01-22 00,12,12,0,0,0,0,0
2014-01-22 01,7,7,0,0,0,0,0
2014-01-22 02,54,54,0,0,0,0,0
2014-01-22 03,1,1,0,0,0,0,0
2014-01-22 04,91,91,0,0,0,0,0
2014-01-22 05,1,1,0,0,0,0,0
2014-01-22 06,15,15,0,0,0,0,0
2014-01-22 08,10,10,0,0,0,0,0
2014-01-22 09,10,10,0,0,0,0,0
2014-01-22 10,9,9,0,0,0,0,0
2014-01-22 11,36,32,4,0,0,0,0
2014-01-22 12,7,7,0,0,0,0,0
2014-01-22 13,15,15,0,0,0,0,0
2014-01-22 14,10,10,0,0,0,0,0
2014-01-22 15,48,48,0,0,0,0,0
2014-01-22 16,46,46,0,0,0,0,0
2014-01-22 17,15,15,0,0,0,0,0
2014-01-22 18,16,16,0,0,0,0,0
2014-01-22 19,7,7,0,0,0,0,0
2014-01-22 20,14,14,0,0,0,0,0
2014-01-22 21,13,13,0,0,0,0,0
2014-01-22 22,20,20,0,0,0,0,0
2014-01-22 23,23,23,0,0,0,0,0
2014-01-23 00,63,62,0,1,0,0,0
2014-01-23 01,14,14,0,0,0,0,0
2014-01-23 02,13,13,0,0,0,0,0
2014-01-23 03,9,9,0,0,0,0,0
2014-01-23 04,78,78,0,0,0,0,0
2014-01-23 05,12,12,0,0,0,0,0
2014-01-23 06,14,14,0,0,0,0,0
2014-01-23 07,13,13,0,0,0,0,0
2014-01-23 08,12,12,0,0,0,0,0
2014-01-23 09,13,13,0,0,0,0,0
2014-01-23 10,38,38,0,0,0,0,0
2014-01-23 11,8,6,2,0,0,0,0
2014-01-23 12,17,17,0,0,0,0,0
2014-01-23 13,16,16,0,0,0,0,0
2014-01-23 14,22,22,0,0,0,0,0
2014-01-23 15,87,87,0,0,0,0,0
2014-01-23 16,14,14,0,0,0,0,0
2014-01-23 17,20,20,0,0,0,0,0
2014-01-23 18,15,15,0,0,0,0,0
2014-01-23 19,16,16,0,0,0,0,0
2014-01-23 20,38,38,0,0,0,0,0
2014-01-23 21,24,24,0,0,0,0,0
2014-01-23 22,45,45,0,0,0,0,0
2014-01-23 23,59,59,0,0,0,0,0
2014-01-24 00,17,17,0,0,0,0,0
2014-01-24 01,13,13,0,0,0,0,0
2014-01-24 02,37,37,0,0,0,0,0
2014-01-24 03,14,14,0,0,0,0,0
2014-01-24 04,12,12,0,0,0,0,0
2014-01-24 05,14,14,0,0,0,0,0
2014-01-24 06,8,8,0,0,0,0,0
2014-01-24 07,14,14,0,0,0,0,0
2014-01-24 08,14,14,0,0,0,0,0
2014-01-24 09,14,14,0,0,0,0,0
2014-01-24 10,16,16,0,0,0,0,0
2014-01-24 11,16,16,0,0,0,0,0
2014-01-24 12,20,20,0,0,0,0,0
2014-01-24 13,16,16,0,0,0,0,0
2014-01-24 14,21,21,0,0,0,0,0
2014-01-24 15,40,40,0,0,0,0,0
2014-01-24 16,50,50,0,0,0,0,0
2014-01-24 17,15,15,0,0,0,0,0
2014-01-24 18,15,15,0,0,0,0,0
2014-01-24 19,13,13,0,0,0,0,0
2014-01-24 20,24,24,0,0,0,0,0
2014-01-24 21,20,18,2,0,0,0,0
2014-01-24 22,19,19,0,0,0,0,0
2014-01-24 23,15,15,0,0,0,0,0
2014-01-25 00,15,15,0,0,0,0,0
2014-01-25 01,18,18,0,0,0,0,0
2014-01-25 02,45,45,0,0,0,0,0
2014-01-25 03,16,16,0,0,0,0,0
2014-01-25 04,2,2,0,0,0,0,0
2014-01-25 05,12,12,0,0,0,0,0
2014-01-25 06,14,14,0,0,0,0,0
2014-01-25 07,14,14,0,0,0,0,0
2014-01-25 08,1,1,0,0,0,0,0
2014-01-25 09,15,15,0,0,0,0,0
2014-01-25 10,9,9,0,0,0,0,0
2014-01-25 11,19,19,0,0,0,0,0
2014-01-25 12,14,14,0,0,0,0,0
2014-01-25 13,15,15,0,0,0,0,0
2014-01-25 14,21,21,0,0,0,0,0
2014-01-25 15,14,14,0,0,0,0,0
2014-01-25 16,13,13,0,0,0,0,0
2014-01-25 17,19,19,0,0,0,0,0
2014-01-25 18,13,13,0,0,0,0,0
2014-01-25 19,15,15,0,0,0,0,0
2014-01-25 20,40,40,0,0,0,0,0
2014-01-25 21,32,32,0,0,0,0,0
2014-01-25 22,20,18,2,0,0,0,0
2014-01-25 23,18,18,0,0,0,0,0
2014-01-26 00,20,20,0,0,0,0,0
2014-01-26 01,10,10,0,0,0,0,0
2014-01-26 02,19,19,0,0,0,0,0
2014-01-26 03,13,13,0,0,0,0,0
2014-01-26 04,13,13,0,0,0,0,0
2014-01-26 05,15,15,0,0,0,0,0
2014-01-26 06,13,13,0,0,0,0,0
2014-01-26 07,13,13,0,0,0,0,0
2014-01-26 08,15,15,0,0,0,0,0
2014-01-26 09,15,15,0,0,0,0,0
2014-01-26 10,70,70,0,0,0,0,0
2014-01-26 11,15,15,0,0,0,0,0
2014-01-26 12,14,14,0,0,0,0,0
2014-01-26 13,16,16,0,0,0,0,0
2014-01-26 14,20,20,0,0,0,0,0
2014-01-26 15,15,15,0,0,0,0,0
2014-01-26 16,16,16,0,0,0,0,0
2014-01-26 17,19,19,0,0,0,0,0
2014-01-26 18,15,15,0,0,0,0,0
2014-01-26 19,17,17,0,0,0,0,0
