date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,29,27,0,2,0,0,0
2014-01-07 18,13,10,0,3,0,0,0
2014-01-07 19,31,28,0,3,0,0,0
2014-01-07 20,43,39,0,4,0,0,0
2014-01-07 21,23,18,0,5,0,0,0
2014-01-07 22,33,30,0,3,0,0,0
2014-01-07 23,1,0,0,1,0,0,0
2014-01-08 00,9,6,0,3,0,0,0
2014-01-08 02,12,10,0,2,0,0,0
2014-01-08 03,1,0,0,1,0,0,0
2014-01-08 07,1,0,0,1,0,0,0
2014-01-08 08,2,2,0,0,0,0,0
2014-01-08 09,15,12,0,3,0,0,0
2014-01-08 10,25,23,0,2,0,0,0
2014-01-08 11,11,10,0,1,0,0,0
2014-01-08 12,3,2,0,1,0,0,0
2014-01-08 13,15,13,0,2,0,0,0
2014-01-08 14,2,2,0,0,0,0,0
2014-01-08 15,6,5,0,1,0,0,0
2014-01-08 16,25,18,0,7,0,0,0
2014-01-08 17,15,11,0,4,0,0,0
2014-01-08 18,14,10,2,2,0,0,0
2014-01-08 19,10,7,0,3,0,0,0
2014-01-08 20,24,15,4,5,0,0,0
2014-01-08 21,3,2,0,1,0,0,0
2014-01-08 22,8,8,0,0,0,0,0
2014-01-09 00,3,0,2,1,0,0,0
2014-01-09 01,1,0,0,1,0,0,0
2014-01-09 02,2,0,2,0,0,0,0
2014-01-09 03,1,0,0,1,0,0,0
2014-01-09 06,1,0,0,1,0,0,0
2014-01-09 08,4,2,0,2,0,0,0
2014-01-09 09,9,6,0,3,0,0,0
2014-01-09 10,13,9,0,4,0,0,0
2014-01-09 11,9,7,0,2,0,0,0
2014-01-09 12,25,18,0,7,0,0,0
2014-01-09 13,5,4,0,1,0,0,0
2014-01-09 14,3,1,0,2,0,0,0
2014-01-09 15,2,1,0,1,0,0,0
2014-01-09 16,20,15,0,5,0,0,0
2014-01-09 17,10,8,0,2,0,0,0
2014-01-09 18,11,8,0,3,0,0,0
2014-01-09 19,5,3,0,2,0,0,0
2014-01-09 20,13,9,0,4,0,0,0
2014-01-09 21,8,6,0,2,0,0,0
2014-01-09 22,6,5,0,1,0,0,0
2014-01-09 23,3,1,0,2,0,0,0
2014-01-10 00,4,3,0,1,0,0,0
2014-01-10 01,1,0,0,1,0,0,0
2014-01-10 02,18,15,0,3,0,0,0
2014-01-10 03,1,0,0,1,0,0,0
2014-01-10 04,1,0,0,1,0,0,0
2014-01-10 09,1,0,0,1,0,0,0
2014-01-10 10,5,4,0,1,0,0,0
2014-01-10 11,3,2,0,1,0,0,0
2014-01-10 12,4,4,0,0,0,0,0
2014-01-10 14,5,4,0,1,0,0,0
2014-01-10 15,11,7,0,4,0,0,0
2014-01-10 16,25,20,0,5,0,0,0
2014-01-10 17,21,17,0,4,0,0,0
2014-01-10 18,8,6,0,2,0,0,0
2014-01-10 19,6,4,0,2,0,0,0
2014-01-10 20,10,8,0,2,0,0,0
2014-01-10 21,10,7,0,3,0,0,0
2014-01-10 22,5,4,0,1,0,0,0
2014-01-10 23,1,0,0,1,0,0,0
2014-01-11 00,1,0,0,1,0,0,0
2014-01-11 04,1,0,0,1,0,0,0
2014-01-11 07,4,4,0,0,0,0,0
2014-01-11 08,1,1,0,0,0,0,0
2014-01-11 09,6,5,0,1,0,0,0
2014-01-11 10,22,18,0,4,0,0,0
2014-01-11 11,6,5,0,1,0,0,0
2014-01-11 12,8,8,0,0,0,0,0
2014-01-11 13,1,1,0,0,0,0,0
2014-01-11 14,9,7,0,2,0,0,0
2014-01-11 20,5,3,0,2,0,0,0
2014-01-11 21,4,4,0,0,0,0,0
2014-01-11 23,35,28,0,7,0,0,0
2014-01-12 16,1,1,0,0,0,0,0
2014-01-13 15,1,1,0,0,0,0,0
2014-01-13 16,14,12,0,2,0,0,0
2014-01-13 17,13,12,0,1,0,0,0
2014-01-13 18,7,6,0,1,0,0,0
2014-01-13 19,7,7,0,0,0,0,0
2014-01-13 20,1,1,0,0,0,0,0
2014-01-13 21,7,5,0,2,0,0,0
2014-01-13 22,4,3,0,1,0,0,0
2014-01-13 23,1,1,0,0,0,0,0
2014-01-14 02,1,0,0,1,0,0,0
2014-01-14 03,22,18,0,4,0,0,0
2014-01-14 04,1,0,0,1,0,0,0
2014-01-14 06,5,5,0,0,0,0,0
2014-01-14 08,1,0,0,1,0,0,0
2014-01-14 09,1,1,0,0,0,0,0
2014-01-14 10,3,3,0,0,0,0,0
2014-01-14 11,2,1,0,1,0,0,0
2014-01-14 12,5,5,0,0,0,0,0
2014-01-14 13,4,3,0,1,0,0,0
2014-01-14 14,11,9,0,2,0,0,0
2014-01-14 15,7,6,0,1,0,0,0
2014-01-14 16,2,2,0,0,0,0,0
2014-01-14 17,10,9,0,1,0,0,0
2014-01-14 18,22,18,0,4,0,0,0
2014-01-14 19,11,10,0,1,0,0,0
2014-01-14 20,10,8,0,2,0,0,0
2014-01-14 21,6,2,0,4,0,0,0
2014-01-14 22,8,6,0,2,0,0,0
2014-01-14 23,8,8,0,0,0,0,0
2014-01-15 00,2,1,0,1,0,0,0
2014-01-15 01,6,1,4,1,0,0,0
2014-01-15 02,5,3,0,2,0,0,0
2014-01-15 08,2,2,0,0,0,0,0
2014-01-15 09,4,3,0,1,0,0,0
2014-01-15 10,2,0,0,2,0,0,0
2014-01-15 11,1,1,0,0,0,0,0
2014-01-15 12,4,2,0,2,0,0,0
2014-01-15 13,7,2,4,1,0,0,0
2014-01-15 14,7,6,0,1,0,0,0
2014-01-15 15,7,6,0,1,0,0,0
2014-01-15 16,2,2,0,0,0,0,0
2014-01-15 17,1,0,0,1,0,0,0
2014-01-15 18,6,3,2,1,0,0,0
2014-01-15 20,2,2,0,0,0,0,0
2014-01-15 21,8,6,0,2,0,0,0
2014-01-15 22,13,9,0,4,0,0,0
2014-01-15 23,10,5,2,3,0,0,0
2014-01-16 00,2,2,0,0,0,0,0
2014-01-16 01,2,1,0,1,0,0,0
2014-01-16 02,2,0,0,2,0,0,0
2014-01-16 03,1,0,0,1,0,0,0
2014-01-16 05,1,0,0,1,0,0,0
2014-01-16 06,1,0,0,1,0,0,0
2014-01-16 09,1,0,0,1,0,0,0
2014-01-16 10,6,5,0,1,0,0,0
2014-01-16 11,7,5,0,2,0,0,0
2014-01-16 12,3,0,0,3,0,0,0
2014-01-16 13,1,1,0,0,0,0,0
2014-01-16 14,1,1,0,0,0,0,0
2014-01-16 15,9,5,2,2,0,0,0
2014-01-16 16,12,10,0,2,0,0,0
2014-01-16 17,21,17,0,4,0,0,0
2014-01-16 18,1,0,0,1,0,0,0
2014-01-16 19,2,0,0,2,0,0,0
2014-01-16 20,1,0,0,1,0,0,0
2014-01-16 21,17,13,0,4,0,0,0
2014-01-16 22,10,8,0,2,0,0,0
2014-01-16 23,2,1,0,1,0,0,0
