date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1107,309,738,60,0,0,0
2014-01-07 18,1068,317,712,39,0,0,0
2014-01-07 19,1014,273,676,65,0,0,0
2014-01-07 20,1128,319,752,57,0,0,0
2014-01-07 21,1314,359,876,79,0,0,0
2014-01-07 22,1092,307,728,57,0,0,0
2014-01-07 23,741,202,494,45,0,0,0
2014-01-08 00,207,53,138,16,0,0,0
2014-01-08 01,177,47,118,12,0,0,0
2014-01-08 02,72,23,48,1,0,0,0
2014-01-08 03,27,8,18,1,0,0,0
2014-01-08 04,42,12,28,2,0,0,0
2014-01-08 05,42,13,28,1,0,0,0
2014-01-08 06,138,44,92,2,0,0,0
2014-01-08 07,207,64,138,5,0,0,0
2014-01-08 08,600,184,400,16,0,0,0
2014-01-08 09,1065,309,710,46,0,0,0
2014-01-08 10,1668,479,1112,77,0,0,0
2014-01-08 11,1284,381,856,47,0,0,0
2014-01-08 12,1098,326,732,40,0,0,0
2014-01-08 13,1014,295,676,43,0,0,0
2014-01-08 14,1326,378,884,64,0,0,0
2014-01-08 15,1443,412,962,69,0,0,0
2014-01-08 16,990,257,660,73,0,0,0
2014-01-08 17,861,239,574,48,0,0,0
2014-01-08 18,900,262,600,38,0,0,0
2014-01-08 19,1005,283,670,52,0,0,0
2014-01-08 20,1190,322,794,74,0,0,0
2014-01-08 21,1221,357,814,50,0,0,0
2014-01-08 22,1074,287,716,71,0,0,0
2014-01-08 23,498,131,332,35,0,0,0
2014-01-09 00,159,49,106,4,0,0,0
2014-01-09 01,90,25,60,5,0,0,0
2014-01-09 02,77,21,52,4,0,0,0
2014-01-09 03,30,8,20,2,0,0,0
2014-01-09 04,24,7,16,1,0,0,0
2014-01-09 05,27,9,18,0,0,0,0
2014-01-09 06,66,20,44,2,0,0,0
2014-01-09 07,165,52,110,3,0,0,0
2014-01-09 08,789,235,526,28,0,0,0
2014-01-09 09,1382,408,922,52,0,0,0
2014-01-09 10,1047,296,698,53,0,0,0
2014-01-09 11,852,247,568,37,0,0,0
2014-01-09 12,708,200,472,36,0,0,0
2014-01-09 13,864,243,576,45,0,0,0
2014-01-09 14,1212,341,808,63,0,0,0
2014-01-09 15,1161,347,774,40,0,0,0
2014-01-09 16,1104,312,736,56,0,0,0
2014-01-09 17,948,267,632,49,0,0,0
2014-01-09 18,630,178,420,32,0,0,0
2014-01-09 19,816,218,544,54,0,0,0
2014-01-09 20,915,239,610,66,0,0,0
2014-01-09 21,816,217,544,55,0,0,0
2014-01-09 22,864,260,576,28,0,0,0
2014-01-09 23,347,90,232,25,0,0,0
2014-01-10 00,192,58,128,6,0,0,0
2014-01-10 01,213,61,142,10,0,0,0
2014-01-10 02,126,38,84,4,0,0,0
2014-01-10 03,51,15,34,2,0,0,0
2014-01-10 04,53,17,36,0,0,0,0
2014-01-10 05,39,13,26,0,0,0,0
2014-01-10 06,42,13,28,1,0,0,0
2014-01-10 07,195,58,130,7,0,0,0
2014-01-10 08,609,181,406,22,0,0,0
2014-01-10 09,996,293,664,39,0,0,0
2014-01-10 10,1143,332,762,49,0,0,0
2014-01-10 11,846,242,564,40,0,0,0
2014-01-10 12,714,207,476,31,0,0,0
2014-01-10 13,735,210,490,35,0,0,0
2014-01-10 14,1238,365,826,47,0,0,0
2014-01-10 15,1347,384,898,65,0,0,0
2014-01-10 16,987,272,658,57,0,0,0
2014-01-10 17,879,247,586,46,0,0,0
2014-01-10 18,735,211,490,34,0,0,0
2014-01-10 19,786,212,524,50,0,0,0
2014-01-10 20,1011,279,674,58,0,0,0
2014-01-10 21,816,225,544,47,0,0,0
2014-01-10 22,582,155,388,39,0,0,0
2014-01-10 23,483,126,322,35,0,0,0
2014-01-11 00,207,54,138,15,0,0,0
2014-01-11 01,105,29,70,6,0,0,0
2014-01-11 02,78,20,52,6,0,0,0
2014-01-11 03,72,22,48,2,0,0,0
2014-01-11 04,30,10,20,0,0,0,0
2014-01-11 05,50,14,34,2,0,0,0
2014-01-11 06,36,12,24,0,0,0,0
2014-01-11 07,132,41,88,3,0,0,0
2014-01-11 08,252,79,168,5,0,0,0
2014-01-11 09,654,196,436,22,0,0,0
2014-01-11 10,774,222,516,36,0,0,0
2014-01-11 11,735,209,490,36,0,0,0
2014-01-11 12,561,159,374,28,0,0,0
2014-01-11 13,621,187,414,20,0,0,0
2014-01-11 14,705,214,470,21,0,0,0
2014-01-11 20,696,199,464,33,0,0,0
2014-01-11 21,555,153,370,32,0,0,0
2014-01-11 23,299,84,200,15,0,0,0
2014-01-12 00,78,20,52,6,0,0,0
2014-01-12 01,45,11,30,4,0,0,0
2014-01-12 02,39,10,26,3,0,0,0
2014-01-12 03,21,6,14,1,0,0,0
2014-01-12 04,9,1,6,2,0,0,0
2014-01-12 05,15,5,10,0,0,0,0
2014-01-12 06,32,10,22,0,0,0,0
2014-01-12 07,24,4,16,4,0,0,0
2014-01-12 08,72,24,48,0,0,0,0
2014-01-12 09,135,37,90,8,0,0,0
2014-01-12 10,126,33,84,9,0,0,0
2014-01-12 11,207,61,138,8,0,0,0
2014-01-12 12,141,39,94,8,0,0,0
2014-01-12 13,242,68,162,12,0,0,0
2014-01-12 14,330,95,220,15,0,0,0
2014-01-12 15,261,71,174,16,0,0,0
2014-01-12 16,294,77,196,21,0,0,0
2014-01-12 17,321,94,214,13,0,0,0
2014-01-12 18,234,62,156,16,0,0,0
2014-01-12 19,372,108,248,16,0,0,0
2014-01-12 20,315,84,210,21,0,0,0
2014-01-12 21,426,111,284,31,0,0,0
2014-01-12 22,357,106,238,13,0,0,0
2014-01-12 23,282,75,188,19,0,0,0
2014-01-13 00,51,15,34,2,0,0,0
2014-01-13 01,36,10,24,2,0,0,0
2014-01-13 02,33,5,22,6,0,0,0
2014-01-13 03,15,3,10,2,0,0,0
2014-01-13 04,6,1,4,1,0,0,0
2014-01-13 05,6,1,4,1,0,0,0
2014-01-13 06,12,4,8,0,0,0,0
2014-01-13 07,33,9,22,2,0,0,0
2014-01-13 08,132,38,88,6,0,0,0
2014-01-13 09,381,111,254,16,0,0,0
2014-01-13 10,537,143,358,36,0,0,0
2014-01-13 11,423,117,282,24,0,0,0
2014-01-13 12,336,95,224,17,0,0,0
2014-01-13 13,312,87,208,17,0,0,0
2014-01-13 14,543,163,362,18,0,0,0
2014-01-13 15,390,113,260,17,0,0,0
2014-01-13 16,876,247,584,45,0,0,0
2014-01-13 17,756,221,504,31,0,0,0
2014-01-13 18,708,209,472,27,0,0,0
2014-01-13 19,684,198,456,30,0,0,0
2014-01-13 20,891,257,594,40,0,0,0
2014-01-13 21,684,198,456,30,0,0,0
2014-01-13 22,645,185,430,30,0,0,0
2014-01-13 23,378,90,252,36,0,0,0
2014-01-14 00,138,37,92,9,0,0,0
2014-01-14 01,105,31,70,4,0,0,0
2014-01-14 02,69,21,46,2,0,0,0
2014-01-14 03,80,25,54,1,0,0,0
2014-01-14 04,54,17,36,1,0,0,0
2014-01-14 05,45,15,30,0,0,0,0
2014-01-14 06,60,18,40,2,0,0,0
2014-01-14 07,129,36,86,7,0,0,0
2014-01-14 08,669,214,446,9,0,0,0
2014-01-14 09,777,220,518,39,0,0,0
2014-01-14 10,1266,375,844,47,0,0,0
2014-01-14 11,1242,354,828,60,0,0,0
2014-01-14 12,807,239,538,30,0,0,0
2014-01-14 13,642,184,428,30,0,0,0
2014-01-14 14,1173,338,782,53,0,0,0
2014-01-14 15,1050,291,700,59,0,0,0
2014-01-14 16,960,268,640,52,0,0,0
2014-01-14 17,738,208,492,38,0,0,0
2014-01-14 18,513,137,342,34,0,0,0
2014-01-14 19,534,157,356,21,0,0,0
2014-01-14 20,888,252,592,44,0,0,0
2014-01-14 21,789,212,526,51,0,0,0
2014-01-14 22,597,162,398,37,0,0,0
2014-01-14 23,438,117,292,29,0,0,0
2014-01-15 00,282,83,188,11,0,0,0
2014-01-15 01,141,40,94,7,0,0,0
2014-01-15 02,42,10,28,4,0,0,0
2014-01-15 03,33,8,22,3,0,0,0
2014-01-15 04,30,7,20,3,0,0,0
2014-01-15 05,33,11,22,0,0,0,0
2014-01-15 06,30,9,20,1,0,0,0
2014-01-15 07,87,23,58,6,0,0,0
2014-01-15 08,480,146,320,14,0,0,0
2014-01-15 09,773,224,516,33,0,0,0
2014-01-15 10,1034,302,690,42,0,0,0
2014-01-15 11,879,247,584,48,0,0,0
2014-01-15 12,693,200,460,33,0,0,0
2014-01-15 13,610,171,406,33,0,0,0
2014-01-15 14,775,220,516,39,0,0,0
2014-01-15 15,777,219,516,42,0,0,0
2014-01-15 16,555,147,370,38,0,0,0
2014-01-15 17,392,116,260,16,0,0,0
2014-01-15 18,349,102,232,15,0,0,0
2014-01-15 20,411,122,274,15,0,0,0
2014-01-15 21,859,252,572,35,0,0,0
2014-01-15 22,535,151,356,28,0,0,0
2014-01-15 23,378,105,252,21,0,0,0
2014-01-16 00,195,59,130,6,0,0,0
2014-01-16 01,90,18,60,12,0,0,0
2014-01-16 02,49,16,32,1,0,0,0
2014-01-16 03,63,15,42,6,0,0,0
2014-01-16 04,23,9,14,0,0,0,0
2014-01-16 05,30,8,20,2,0,0,0
2014-01-16 06,60,14,40,6,0,0,0
2014-01-16 07,90,26,60,4,0,0,0
