date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,43374,18543,18752,6079,0,0,0
2014-01-07 18,45689,19637,19542,6510,0,0,0
2014-01-07 19,46010,19642,19654,6714,0,0,0
2014-01-07 20,47217,20120,20158,6939,0,0,0
2014-01-07 21,42440,18139,18222,6078,0,1,0
2014-01-07 22,37543,16019,16206,5318,0,0,0
2014-01-07 23,36328,15521,15638,5169,0,0,0
2014-01-08 00,20869,9260,9106,2503,0,0,0
2014-01-08 01,12086,5590,5358,1138,0,0,0
2014-01-08 02,9644,4426,4406,812,0,0,0
2014-01-08 03,8766,4068,4036,662,0,0,0
2014-01-08 04,8178,3823,3756,599,0,0,0
2014-01-08 05,8131,3778,3728,625,0,0,0
2014-01-08 06,11820,5376,5272,1172,0,0,0
2014-01-08 07,20996,9106,9168,2722,0,0,0
2014-01-08 08,38435,16762,16230,5443,0,0,0
2014-01-08 09,43173,18812,18486,5874,0,1,0
2014-01-08 10,45793,19916,19510,6367,0,0,0
2014-01-08 11,42762,18858,18238,5666,0,0,0
2014-01-08 12,41990,18311,17934,5745,0,0,0
2014-01-08 13,40732,17791,17186,5755,0,0,0
2014-01-08 14,40659,17840,17146,5673,0,0,0
2014-01-08 15,42252,18600,17742,5910,0,0,0
2014-01-08 16,37982,16705,16058,5219,0,0,0
2014-01-08 17,34191,14840,14642,4709,0,0,0
2014-01-08 18,36871,15835,15630,5406,0,0,0
2014-01-08 19,40700,17446,17204,6050,0,0,0
2014-01-08 20,40748,17534,17382,5832,0,0,0
2014-01-08 21,39516,17054,16866,5596,0,0,0
2014-01-08 22,34600,14836,14836,4928,0,0,0
2014-01-08 23,30057,13138,12616,4303,0,0,0
2014-01-09 00,16245,7153,7080,2012,0,0,0
2014-01-09 01,12315,5713,5390,1212,0,0,0
2014-01-09 02,9566,4610,4202,754,0,0,0
2014-01-09 03,9043,4378,3978,687,0,0,0
2014-01-09 04,8218,3973,3658,587,0,0,0
2014-01-09 05,9201,4392,4060,749,0,0,0
2014-01-09 06,11814,5624,5050,1140,0,0,0
2014-01-09 07,20251,9083,8648,2520,0,0,0
2014-01-09 08,37060,16361,15556,5143,0,0,0
2014-01-09 09,41267,18376,17230,5659,0,2,0
2014-01-09 10,38399,17071,16242,5085,0,1,0
2014-01-09 11,32316,14216,13754,4346,0,0,0
2014-01-09 12,33214,14810,13946,4458,0,0,0
2014-01-09 13,40923,17864,17082,5977,0,0,0
2014-01-09 14,42265,18529,17640,6096,0,0,0
