date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,432281,377625,76,54580,0,0,0
2014-01-07 18,442601,386651,112,55838,0,0,0
2014-01-07 19,425552,371928,66,53558,0,0,0
2014-01-07 20,446619,390826,48,55745,0,0,0
2014-01-07 21,433772,379256,75,54441,0,0,0
2014-01-07 22,405262,354187,64,51011,0,0,0
2014-01-07 23,412244,360608,51,51585,0,0,0
2014-01-08 00,283440,247628,24,35788,0,0,0
2014-01-08 01,188032,164761,4,23267,0,0,0
2014-01-08 02,148718,130328,2,18388,0,0,0
2014-01-08 03,130731,114844,0,15887,0,0,0
2014-01-08 04,104936,92194,6,12736,0,0,0
2014-01-08 05,95524,84133,4,11387,0,0,0
2014-01-08 06,113133,100086,2,13045,0,0,0
2014-01-08 07,166394,147154,6,19234,0,0,0
2014-01-08 08,261716,230060,20,31636,0,0,0
2014-01-08 09,357631,313331,224,44076,0,0,0
2014-01-08 10,416071,363733,298,52040,0,0,0
2014-01-08 11,453372,395944,624,56804,0,0,0
2014-01-08 12,467336,407296,1350,58690,0,0,0
2014-01-08 13,449478,392451,891,56136,0,0,0
2014-01-08 14,157981,100904,1668,55409,0,0,0
2014-01-08 15,152069,96899,1580,53590,0,0,0
2014-01-08 16,145242,92663,1700,50879,0,0,0
2014-01-08 17,134793,86418,94,48281,0,0,0
2014-01-08 18,141990,90711,60,51219,0,0,0
2014-01-08 19,144087,91939,56,52092,0,0,0
2014-01-08 20,146122,93118,1562,51442,0,0,0
2014-01-08 21,149976,95699,1732,52545,0,0,0
2014-01-08 22,141443,89890,2104,49449,0,0,0
2014-01-08 23,123114,78763,1064,43287,0,0,0
2014-01-09 00,78150,50293,18,27839,0,0,0
2014-01-09 01,60289,38847,8,21434,0,0,0
2014-01-09 02,49358,31927,6,17425,0,0,0
2014-01-09 03,43754,28523,2,15229,0,0,0
2014-01-09 04,36734,24097,0,12637,0,0,0
2014-01-09 05,33629,22229,0,11400,0,0,0
2014-01-09 06,39508,26463,9,13036,0,0,0
2014-01-09 07,57197,37955,4,19238,0,0,0
2014-01-09 08,87422,57103,20,30299,0,0,0
2014-01-09 09,130365,83944,1664,44757,0,0,0
2014-01-09 10,131695,84783,1150,45762,0,0,0
2014-01-09 11,126057,81266,466,44325,0,0,0
2014-01-09 12,137398,87821,812,48765,0,0,0
2014-01-09 13,143055,91326,970,50759,0,0,0
2014-01-09 14,144424,92322,1118,50984,0,0,0
2014-01-09 15,145277,92671,1350,51256,0,0,0
2014-01-09 16,132502,84338,1214,46950,0,0,0
2014-01-09 17,103849,66228,55,37566,0,0,0
2014-01-09 18,106568,68116,48,38404,0,0,0
2014-01-09 19,110257,70626,50,39581,0,0,0
2014-01-09 20,114920,73472,1045,40403,0,0,0
2014-01-09 21,115216,73531,1004,40681,0,0,0
2014-01-09 22,106766,68444,66,38256,0,0,0
2014-01-09 23,95623,61673,26,33924,0,0,0
2014-01-10 00,63093,40543,24,22526,0,0,0
2014-01-10 01,67085,43124,6,23955,0,0,0
2014-01-10 02,54952,35457,8,19487,0,0,0
2014-01-10 03,44238,28808,2,15428,0,0,0
2014-01-10 04,38772,25273,0,13499,0,0,0
2014-01-10 05,35038,23188,4,11846,0,0,0
2014-01-10 06,42816,28571,8,14237,0,0,0
2014-01-10 07,57369,38082,12,19275,0,0,0
2014-01-10 08,75939,49660,24,26255,0,0,0
2014-01-10 09,107330,69194,976,37160,0,0,0
2014-01-10 10,122745,78960,1536,42249,0,0,0
2014-01-10 11,119271,76538,1144,41589,0,0,0
2014-01-10 12,128674,82615,1030,45029,0,0,0
2014-01-10 13,119406,76234,786,42386,0,0,0
2014-01-10 14,144966,92847,1310,50809,0,0,0
2014-01-10 15,143602,92289,1436,49877,0,0,0
2014-01-10 16,137752,88297,1571,47884,0,0,0
2014-01-10 17,92910,59380,1348,32182,0,0,0
2014-01-10 18,121707,77162,90,44455,0,0,0
2014-01-10 19,141779,90957,48,50774,0,0,0
2014-01-10 20,150071,95467,1272,53332,0,0,0
2014-01-10 21,120922,77492,554,42876,0,0,0
2014-01-10 22,98757,63491,930,34336,0,0,0
2014-01-10 23,89716,58019,22,31675,0,0,0
2014-01-11 00,63171,40481,153,22537,0,0,0
2014-01-11 01,61166,39295,20,21851,0,0,0
2014-01-11 02,56328,36453,4,19871,0,0,0
2014-01-11 03,45747,29584,4,16159,0,0,0
2014-01-11 04,38271,25040,2,13229,0,0,0
2014-01-11 05,34312,22640,2,11670,0,0,0
2014-01-11 06,37833,25170,4,12659,0,0,0
2014-01-11 07,50150,33423,6,16721,0,0,0
2014-01-11 08,73910,48302,492,25116,0,0,0
2014-01-11 09,99091,63669,930,34492,0,0,0
2014-01-11 10,113507,72943,1258,39306,0,0,0
2014-01-11 11,118580,75898,1164,41518,0,0,0
2014-01-11 12,102081,64979,982,36120,0,0,0
2014-01-11 13,97416,62135,466,34815,0,0,0
2014-01-11 14,96560,61242,328,34990,0,0,0
2014-01-11 20,109762,69916,1041,38805,0,0,0
2014-01-11 21,95187,61301,204,33682,0,0,0
2014-01-11 23,74112,47863,30,26219,0,0,0
2014-01-12 00,16345,10381,16,5948,0,0,0
2014-01-12 01,28937,18522,10,10405,0,0,0
2014-01-12 02,28099,18088,6,10005,0,0,0
2014-01-12 03,22535,14656,0,7879,0,0,0
2014-01-12 04,18631,12261,4,6366,0,0,0
2014-01-12 05,15687,10310,2,5375,0,0,0
2014-01-12 06,16828,11200,8,5620,0,0,0
2014-01-12 07,22392,14917,4,7471,0,0,0
2014-01-12 08,22487,14706,137,7644,0,0,0
2014-01-12 09,27823,17992,94,9737,0,0,0
2014-01-12 10,35208,22527,208,12473,0,0,0
2014-01-12 11,34619,22131,198,12290,0,0,0
2014-01-12 12,36863,23356,192,13315,0,0,0
2014-01-12 13,55435,35374,230,19831,0,0,0
2014-01-12 14,53838,34329,330,19179,0,0,0
2014-01-12 15,53598,34145,272,19181,0,0,0
2014-01-12 16,55057,35104,168,19785,0,0,0
2014-01-12 17,49754,31653,252,17849,0,0,0
2014-01-12 18,49388,31728,25,17635,0,0,0
2014-01-12 19,53724,34377,12,19335,0,0,0
2014-01-12 20,56836,36234,602,20000,0,0,0
2014-01-12 21,55986,35814,294,19878,0,0,0
2014-01-12 22,50828,32454,22,18352,0,0,0
2014-01-12 23,42851,27423,8,15420,0,0,0
2014-01-13 00,34643,22148,0,12495,0,0,0
2014-01-13 01,28525,18387,2,10136,0,0,0
2014-01-13 02,25625,16658,6,8961,0,0,0
2014-01-13 03,19868,13030,2,6836,0,0,0
2014-01-13 04,16880,11208,0,5672,0,0,0
2014-01-13 05,14854,9801,2,5051,0,0,0
2014-01-13 06,18316,12198,0,6118,0,0,0
2014-01-13 07,24965,16610,0,8355,0,0,0
2014-01-13 08,38445,25200,2,13243,0,0,0
2014-01-13 09,50039,32200,632,17207,0,0,0
2014-01-13 10,56842,36422,712,19708,0,0,0
2014-01-13 11,59777,37977,700,21100,0,0,0
2014-01-13 12,51374,32691,582,18101,0,0,0
2014-01-13 13,50256,32049,466,17741,0,0,0
2014-01-13 14,49712,31812,556,17344,0,0,0
2014-01-13 15,51657,32983,547,18127,0,0,0
2014-01-13 16,108114,69539,1172,37403,0,0,0
2014-01-13 17,114172,72385,1198,40589,0,0,0
2014-01-13 18,102177,64956,198,37023,0,0,0
2014-01-13 19,95291,61082,33,34176,0,0,0
2014-01-13 20,112915,71973,871,40071,0,0,0
2014-01-13 21,115247,73873,1016,40358,0,0,0
2014-01-13 22,110525,70771,1048,38706,0,0,0
2014-01-13 23,70382,44859,176,25347,0,0,0
2014-01-14 00,62434,39791,16,22627,0,0,0
2014-01-14 01,64060,41313,10,22737,0,0,0
2014-01-14 02,50345,32813,10,17522,0,0,0
2014-01-14 03,39239,25695,0,13544,0,0,0
2014-01-14 04,33204,21687,2,11515,0,0,0
2014-01-14 05,33918,22445,0,11473,0,0,0
2014-01-14 06,36377,24320,2,12055,0,0,0
2014-01-14 07,49341,33096,4,16241,0,0,0
2014-01-14 08,77936,51002,10,26924,0,0,0
2014-01-14 09,99542,64002,1292,34248,0,0,0
2014-01-14 10,129735,83663,224,45848,0,0,0
2014-01-14 11,134254,86031,42,48181,0,0,0
2014-01-14 12,116639,74375,44,42220,0,0,0
2014-01-14 13,93185,59587,34,33564,0,0,0
2014-01-14 14,115397,74082,55,41260,0,0,0
2014-01-14 15,130882,84219,48,46615,0,0,0
2014-01-14 16,122553,78800,41,43712,0,0,0
2014-01-14 17,116473,74640,26,41807,0,0,0
2014-01-14 18,105921,67770,28,38123,0,0,0
2014-01-14 19,116117,73846,36,42235,0,0,0
2014-01-14 20,128330,81886,39,46405,0,0,0
2014-01-14 21,136844,87709,48,49087,0,0,0
2014-01-14 22,123668,79464,42,44162,0,0,0
2014-01-14 23,91592,58735,20,32837,0,0,0
2014-01-15 00,78630,50229,8,28393,0,0,0
2014-01-15 01,62162,40217,10,21935,0,0,0
2014-01-15 02,50228,32731,8,17489,0,0,0
2014-01-15 03,40697,26692,2,14003,0,0,0
2014-01-15 04,33860,22338,3,11519,0,0,0
2014-01-15 05,31393,20842,2,10549,0,0,0
2014-01-15 06,34383,23117,8,11258,0,0,0
2014-01-15 07,48215,32282,2,15931,0,0,0
2014-01-15 08,76953,50722,16,26215,0,0,0
2014-01-15 09,96128,62128,136,33864,0,0,0
2014-01-15 10,112113,72258,36,39819,0,0,0
2014-01-15 11,95112,61015,39,34058,0,0,0
2014-01-15 12,114446,73337,29,41080,0,0,0
2014-01-15 13,107827,68947,27,38853,0,0,0
2014-01-15 14,99092,63531,40,35521,0,0,0
2014-01-15 15,90855,58181,28,32646,0,0,0
2014-01-15 16,69341,44199,26,25116,0,0,0
2014-01-15 17,63984,40737,14,23233,0,0,0
2014-01-15 18,58731,37464,20,21247,0,0,0
2014-01-15 20,65690,41783,40,23867,0,0,0
2014-01-15 21,109197,69483,38,39676,0,0,0
2014-01-15 22,89585,56988,26,32571,0,0,0
2014-01-15 23,79531,50961,18,28552,0,0,0
2014-01-16 00,67801,43382,10,24409,0,0,0
2014-01-16 01,53245,34274,14,18957,0,0,0
2014-01-16 02,40191,26165,8,14018,0,0,0
2014-01-16 03,34098,22261,2,11835,0,0,0
2014-01-16 04,28670,18899,0,9771,0,0,0
2014-01-16 05,26405,17538,0,8867,0,0,0
2014-01-16 06,28159,18805,0,9354,0,0,0
2014-01-16 07,40921,27350,2,13569,0,0,0
2014-01-16 08,62005,40781,16,21208,0,0,0
2014-01-16 09,80284,51876,18,28390,0,0,0
2014-01-16 10,95255,61764,20,33471,0,0,0
2014-01-16 11,101325,66427,14,34884,0,0,0
2014-01-16 12,104974,68953,28,35993,0,0,0
2014-01-16 13,104125,68157,20,35948,0,0,0
2014-01-16 14,102074,67125,26,34923,0,0,0
2014-01-16 15,107426,70648,102,36676,0,0,0
2014-01-16 16,97967,63900,880,33187,0,0,0
2014-01-16 17,65157,41770,30,23357,0,0,0
2014-01-16 18,83371,53244,40,30087,0,0,0
2014-01-16 19,90768,57873,24,32871,0,0,0
2014-01-16 20,91090,57789,866,32435,0,0,0
2014-01-16 21,93417,59115,856,33446,0,0,0
2014-01-16 22,87145,55455,900,30790,0,0,0
2014-01-16 23,82902,52779,572,29551,0,0,0
2014-01-17 00,67076,42798,10,24268,0,0,0
2014-01-17 01,54254,35150,8,19096,0,0,0
2014-01-17 02,45244,29456,4,15784,0,0,0
2014-01-17 03,34214,22289,0,11925,0,0,0
2014-01-17 04,30743,20155,4,10584,0,0,0
2014-01-17 05,27240,18113,0,9127,0,0,0
2014-01-17 06,29542,19817,0,9725,0,0,0
2014-01-17 07,40686,27220,4,13462,0,0,0
2014-01-17 08,65568,43179,6,22383,0,0,0
2014-01-17 09,81546,52707,492,28347,0,0,0
2014-01-17 10,88595,56962,546,31087,0,0,0
2014-01-17 11,90839,58009,500,32330,0,0,0
2014-01-17 12,97595,62328,671,34596,0,0,0
2014-01-17 13,97090,62086,578,34426,0,0,0
2014-01-17 14,94215,60158,838,33219,0,0,0
2014-01-17 15,90064,57657,1006,31401,0,0,0
2014-01-17 16,96680,61552,1006,34122,0,0,0
2014-01-17 17,57039,36540,30,20469,0,0,0
2014-01-17 18,30132,19271,4,10857,0,0,0
2014-01-17 19,28792,18312,2,10478,0,0,0
2014-01-17 20,30958,19722,226,11010,0,0,0
2014-01-17 21,28768,18244,180,10344,0,0,0
2014-01-17 22,29467,18775,244,10448,0,0,0
2014-01-17 23,26920,17217,10,9693,0,0,0
2014-01-18 00,23233,14996,66,8171,0,0,0
2014-01-18 01,19555,12656,2,6897,0,0,0
2014-01-18 02,30137,19597,2,10538,0,0,0
2014-01-18 03,24186,15699,0,8487,0,0,0
2014-01-18 04,22508,14714,0,7794,0,0,0
2014-01-18 05,19241,12694,2,6545,0,0,0
2014-01-18 06,20410,13571,2,6837,0,0,0
2014-01-18 07,27127,18118,8,9001,0,0,0
2014-01-18 08,41836,27350,252,14234,0,0,0
2014-01-18 09,48943,31522,406,17015,0,0,0
2014-01-18 10,47213,30423,370,16420,0,0,0
2014-01-18 11,50605,32375,314,17916,0,0,0
2014-01-18 12,52909,33988,294,18627,0,0,0
2014-01-18 13,69122,44355,376,24391,0,0,0
2014-01-18 14,75378,48304,66,27008,0,0,0
2014-01-18 15,74023,47508,32,26483,0,0,0
2014-01-18 16,74383,47590,26,26767,0,0,0
2014-01-18 17,73411,47119,10,26282,0,0,0
2014-01-18 18,74393,47837,28,26528,0,0,0
2014-01-18 19,80571,51677,20,28874,0,0,0
2014-01-18 20,89455,57367,26,32062,0,0,0
2014-01-18 21,88219,56605,22,31592,0,0,0
2014-01-18 22,80132,51230,30,28872,0,0,0
2014-01-18 23,71165,45755,20,25390,0,0,0
2014-01-19 00,39424,25235,12,14177,0,0,0
2014-01-19 01,46069,29790,6,16273,0,0,0
2014-01-19 02,21480,13918,0,7562,0,0,0
2014-01-19 03,14070,9224,0,4846,0,0,0
2014-01-19 04,12528,8136,4,4388,0,0,0
2014-01-19 05,10918,7122,0,3796,0,0,0
2014-01-19 06,12568,8289,4,4275,0,0,0
2014-01-19 07,15487,10382,2,5103,0,0,0
2014-01-19 08,14761,9629,70,5062,0,0,0
2014-01-19 09,28003,18170,106,9727,0,0,0
2014-01-19 10,30714,19706,118,10890,0,0,0
2014-01-19 11,46503,30034,194,16275,0,0,0
2014-01-19 12,70064,44748,222,25094,0,0,0
2014-01-19 13,72201,46233,272,25696,0,0,0
2014-01-19 14,81330,52170,249,28911,0,0,0
2014-01-19 15,75191,48264,216,26711,0,0,0
2014-01-19 16,72027,46116,18,25893,0,0,0
2014-01-19 17,65791,43052,16,22723,0,0,0
2014-01-19 18,66178,42626,4,23548,0,0,0
2014-01-19 19,62542,40196,14,22332,0,0,0
2014-01-19 20,63136,40478,22,22636,0,0,0
2014-01-19 21,82061,52529,27,29505,0,0,0
2014-01-19 22,72730,46556,20,26154,0,0,0
2014-01-19 23,63984,40856,20,23108,0,0,0
2014-01-20 00,53171,34459,6,18706,0,0,0
2014-01-20 01,42690,27717,6,14967,0,0,0
2014-01-20 02,32928,21389,4,11535,0,0,0
2014-01-20 03,26096,17137,0,8959,0,0,0
2014-01-20 04,22553,14823,2,7728,0,0,0
2014-01-20 05,20008,13267,0,6741,0,0,0
2014-01-20 06,21060,14170,0,6890,0,0,0
2014-01-20 07,28361,19180,0,9181,0,0,0
2014-01-20 08,45706,30522,12,15172,0,0,0
2014-01-20 09,59525,38939,16,20570,0,0,0
2014-01-20 10,67945,44159,482,23304,0,0,0
2014-01-20 11,69969,45174,458,24337,0,0,0
2014-01-20 12,70519,45608,364,24547,0,0,0
2014-01-20 13,71167,45815,414,24938,0,0,0
2014-01-20 14,65167,42185,544,22438,0,0,0
2014-01-20 15,71563,46097,684,24782,0,0,0
2014-01-20 16,73699,47407,571,25721,0,0,0
2014-01-20 17,65215,42167,20,23028,0,0,0
2014-01-20 18,62838,40555,18,22265,0,0,0
2014-01-20 19,61444,39426,16,22002,0,0,0
2014-01-20 20,58070,37217,310,20543,0,0,0
2014-01-20 21,42850,27393,276,15181,0,0,0
2014-01-20 22,38572,24792,226,13554,0,0,0
2014-01-20 23,34324,21972,18,12334,0,0,0
2014-01-21 00,27618,17740,2,9876,0,0,0
2014-01-21 01,22349,14486,6,7857,0,0,0
2014-01-21 02,16263,10655,6,5602,0,0,0
2014-01-21 03,13497,8916,0,4581,0,0,0
2014-01-21 04,12407,8191,2,4214,0,0,0
2014-01-21 05,11159,7288,0,3871,0,0,0
2014-01-21 06,11602,7705,0,3897,0,0,0
2014-01-21 07,15394,10430,0,4964,0,0,0
2014-01-21 08,25409,16891,2,8516,0,0,0
2014-01-21 09,31689,20727,241,10721,0,0,0
2014-01-21 10,35876,23182,660,12034,0,0,0
2014-01-21 11,34515,22365,260,11890,0,0,0
2014-01-21 12,66508,43025,316,23167,0,0,0
2014-01-21 13,70019,45174,416,24429,0,0,0
