date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1765,179,36,1550,0,0,0
2014-01-07 18,2353,286,76,1991,0,0,0
2014-01-07 19,1979,267,40,1672,0,0,0
2014-01-07 20,2056,274,48,1734,0,0,0
2014-01-07 21,1989,246,40,1703,0,0,0
2014-01-07 22,1945,235,94,1616,0,0,0
2014-01-07 23,1065,117,48,900,0,0,0
2014-01-08 00,652,80,16,556,0,0,0
2014-01-08 01,337,26,4,307,0,0,0
2014-01-08 02,195,6,6,183,0,0,0
2014-01-08 03,208,5,6,197,0,0,0
2014-01-08 04,201,11,0,190,0,0,0
2014-01-08 05,157,4,0,153,0,0,0
2014-01-08 06,201,5,4,192,0,0,0
2014-01-08 07,560,31,2,527,0,0,0
2014-01-08 08,2045,200,8,1837,0,0,0
2014-01-08 09,2236,251,56,1929,0,0,0
2014-01-08 10,1956,201,42,1713,0,0,0
2014-01-08 11,1789,169,62,1558,0,0,0
2014-01-08 12,2158,216,100,1842,0,0,0
2014-01-08 13,1849,202,24,1623,0,0,0
2014-01-08 14,1866,170,56,1640,0,0,0
2014-01-08 15,1529,143,32,1354,0,0,0
2014-01-08 16,1556,156,36,1364,0,0,0
2014-01-08 17,1735,212,26,1497,0,0,0
2014-01-08 18,2138,249,82,1807,0,0,0
2014-01-08 19,2292,251,58,1983,0,0,0
2014-01-08 20,2276,236,70,1970,0,0,0
2014-01-08 21,1939,195,74,1670,0,0,0
2014-01-08 22,1927,220,60,1647,0,0,0
2014-01-08 23,1336,133,30,1173,0,0,0
2014-01-09 00,671,66,2,603,0,0,0
2014-01-09 01,418,37,0,381,0,0,0
2014-01-09 02,274,10,2,262,0,0,0
2014-01-09 03,198,15,2,181,0,0,0
2014-01-09 04,174,8,4,162,0,0,0
2014-01-09 05,207,13,0,194,0,0,0
2014-01-09 06,277,12,2,263,0,0,0
2014-01-09 07,723,57,0,666,0,0,0
2014-01-09 08,2554,263,16,2275,0,0,0
2014-01-09 09,2515,242,32,2241,0,0,0
2014-01-09 10,2062,157,46,1859,0,0,0
2014-01-09 11,2342,178,38,2126,0,0,0
2014-01-09 12,1990,129,36,1825,0,0,0
2014-01-09 13,1866,173,48,1645,0,0,0
2014-01-09 14,2316,208,66,2042,0,0,0
2014-01-09 15,2141,202,102,1837,0,0,0
2014-01-09 16,1947,216,48,1683,0,0,0
2014-01-09 17,1386,179,78,1129,0,0,0
2014-01-09 18,1672,183,152,1337,0,0,0
2014-01-09 19,1398,190,88,1120,0,0,0
2014-01-09 20,1127,150,82,895,0,0,0
2014-01-09 21,1213,166,58,989,0,0,0
2014-01-09 22,1345,208,50,1087,0,0,0
2014-01-09 23,860,116,56,688,0,0,0
2014-01-10 00,611,87,28,496,0,0,0
2014-01-10 01,257,16,2,239,0,0,0
2014-01-10 02,182,5,6,171,0,0,0
2014-01-10 03,186,22,4,160,0,0,0
2014-01-10 04,143,5,0,138,0,0,0
2014-01-10 05,163,4,0,159,0,0,0
2014-01-10 06,190,8,10,172,0,0,0
2014-01-10 07,457,25,14,418,0,0,0
2014-01-10 08,1194,131,16,1047,0,0,0
2014-01-10 09,1576,190,58,1328,0,0,0
2014-01-10 10,1440,147,46,1247,0,0,0
2014-01-10 11,1458,194,48,1216,0,0,0
2014-01-10 12,1665,182,36,1447,0,0,0
2014-01-10 13,1244,165,24,1055,0,0,0
2014-01-10 14,1858,229,58,1571,0,0,0
2014-01-10 15,2029,200,28,1801,0,0,0
2014-01-10 16,2398,233,36,2129,0,0,0
2014-01-10 17,1876,194,50,1632,0,0,0
2014-01-10 18,1586,219,34,1333,0,0,0
2014-01-10 19,1873,198,50,1625,0,0,0
2014-01-10 20,1907,168,44,1695,0,0,0
2014-01-10 21,1512,148,56,1308,0,0,0
2014-01-10 22,1107,130,48,929,0,0,0
2014-01-10 23,908,95,18,795,0,0,0
2014-01-11 00,705,74,8,623,0,0,0
2014-01-11 01,468,37,4,427,0,0,0
2014-01-11 02,383,27,6,350,0,0,0
2014-01-11 03,231,11,2,218,0,0,0
2014-01-11 04,160,8,2,150,0,0,0
2014-01-11 05,160,6,0,154,0,0,0
2014-01-11 06,230,13,2,215,0,0,0
2014-01-11 07,373,9,0,364,0,0,0
2014-01-11 08,995,74,26,895,0,0,0
2014-01-11 09,1616,120,14,1482,0,0,0
2014-01-11 10,1858,179,46,1633,0,0,0
2014-01-11 11,1575,169,34,1372,0,0,0
2014-01-11 12,1567,211,22,1334,0,0,0
2014-01-11 13,1421,182,22,1217,0,0,0
2014-01-11 14,1327,131,10,1186,0,0,0
2014-01-11 20,998,125,20,853,0,0,0
2014-01-11 21,941,124,4,813,0,0,0
2014-01-11 23,616,75,18,523,0,0,0
2014-01-12 00,294,25,0,269,0,0,0
2014-01-12 01,192,12,2,178,0,0,0
2014-01-12 02,170,4,4,162,0,0,0
2014-01-12 03,128,5,0,123,0,0,0
2014-01-12 04,138,3,2,133,0,0,0
2014-01-12 05,135,9,2,124,0,0,0
2014-01-12 06,153,4,2,147,0,0,0
2014-01-12 07,203,6,0,197,0,0,0
2014-01-12 08,301,16,4,281,0,0,0
2014-01-12 09,477,49,4,424,0,0,0
2014-01-12 10,541,46,6,489,0,0,0
2014-01-12 11,477,55,2,420,0,0,0
2014-01-12 12,557,75,6,476,0,0,0
2014-01-12 13,594,72,0,522,0,0,0
2014-01-12 14,741,113,4,624,0,0,0
2014-01-12 15,467,41,8,418,0,0,0
2014-01-12 16,465,58,2,405,0,0,0
2014-01-12 17,482,54,4,424,0,0,0
2014-01-12 18,685,59,4,622,0,0,0
2014-01-12 19,670,76,0,594,0,0,0
2014-01-12 20,630,61,2,567,0,0,0
2014-01-12 21,745,78,16,651,0,0,0
2014-01-12 22,509,44,6,459,0,0,0
2014-01-12 23,385,42,2,341,0,0,0
2014-01-13 00,293,22,2,269,0,0,0
2014-01-13 01,213,22,0,191,0,0,0
2014-01-13 02,147,3,0,144,0,0,0
2014-01-13 03,133,0,0,133,0,0,0
2014-01-13 04,122,12,2,108,0,0,0
2014-01-13 05,147,8,0,139,0,0,0
2014-01-13 06,156,3,0,153,0,0,0
2014-01-13 07,259,7,0,252,0,0,0
2014-01-13 08,1059,129,16,914,0,0,0
2014-01-13 09,1053,127,8,918,0,0,0
2014-01-13 10,1124,131,22,971,0,0,0
2014-01-13 11,913,89,14,810,0,0,0
2014-01-13 12,998,58,10,930,0,0,0
2014-01-13 13,1002,110,6,886,0,0,0
2014-01-13 14,812,88,8,716,0,0,0
2014-01-13 15,809,94,34,681,0,0,0
2014-01-13 16,1529,158,24,1347,0,0,0
2014-01-13 17,1408,156,26,1226,0,0,0
2014-01-13 18,1436,159,14,1263,0,0,0
2014-01-13 19,1241,142,24,1075,0,0,0
2014-01-13 20,1448,138,34,1276,0,0,0
2014-01-13 21,1239,150,34,1055,0,0,0
2014-01-13 22,1245,143,20,1082,0,0,0
2014-01-13 23,877,117,18,742,0,0,0
2014-01-14 00,382,22,6,354,0,0,0
2014-01-14 01,250,10,4,236,0,0,0
2014-01-14 02,201,13,0,188,0,0,0
2014-01-14 03,155,5,2,148,0,0,0
2014-01-14 04,142,2,0,140,0,0,0
2014-01-14 05,166,1,0,165,0,0,0
2014-01-14 06,181,2,4,175,0,0,0
2014-01-14 07,354,10,0,344,0,0,0
2014-01-14 08,1469,125,16,1328,0,0,0
2014-01-14 09,2168,271,14,1883,0,0,0
2014-01-14 10,1775,202,34,1539,0,0,0
2014-01-14 11,1508,211,16,1281,0,0,0
2014-01-14 12,1264,138,28,1098,0,0,0
2014-01-14 13,1162,143,18,1001,0,0,0
2014-01-14 14,2312,231,18,2063,0,0,0
2014-01-14 15,2261,186,54,2021,0,0,0
2014-01-14 16,1816,161,32,1623,0,0,0
2014-01-14 17,1440,135,14,1291,0,0,0
2014-01-14 18,1942,159,26,1757,0,0,0
2014-01-14 19,1663,153,42,1468,0,0,0
2014-01-14 20,1851,200,52,1599,0,0,0
2014-01-14 21,1594,134,40,1420,0,0,0
2014-01-14 22,1546,153,32,1361,0,0,0
