date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,1872,585,1248,39,0,0,0
2014-01-07 18,1850,577,1234,39,0,0,0
2014-01-07 19,1473,446,982,45,0,0,0
2014-01-07 20,1324,401,884,39,0,0,0
2014-01-07 21,1370,413,914,43,0,0,0
2014-01-07 22,1241,376,828,37,0,0,0
2014-01-07 23,1080,316,720,44,0,0,0
2014-01-08 00,703,211,470,22,0,0,0
2014-01-08 01,344,108,230,6,0,0,0
2014-01-08 02,171,50,114,7,0,0,0
2014-01-08 03,75,24,50,1,0,0,0
2014-01-08 04,93,29,62,2,0,0,0
2014-01-08 05,59,19,40,0,0,0,0
2014-01-08 06,101,32,68,1,0,0,0
2014-01-08 07,383,114,256,13,0,0,0
2014-01-08 08,854,271,570,13,0,0,0
2014-01-08 09,1292,405,862,25,0,0,0
2014-01-08 10,1717,548,1146,23,0,0,0
2014-01-08 11,1887,595,1260,32,0,0,0
2014-01-08 12,1693,537,1130,26,0,0,0
2014-01-08 13,1700,533,1134,33,0,0,0
2014-01-08 14,1628,514,1086,28,0,0,0
2014-01-08 15,1532,489,1022,21,0,0,0
2014-01-08 16,1579,502,1054,23,0,0,0
2014-01-08 17,1587,502,1058,27,0,0,0
2014-01-08 18,1302,400,868,34,0,0,0
2014-01-08 19,1228,377,820,31,0,0,0
2014-01-08 20,1251,390,834,27,0,0,0
2014-01-08 21,1172,366,782,24,0,0,0
2014-01-08 22,1084,336,724,24,0,0,0
2014-01-08 23,861,249,574,38,0,0,0
2014-01-09 00,654,191,436,27,0,0,0
2014-01-09 01,389,118,260,11,0,0,0
2014-01-09 02,180,55,120,5,0,0,0
2014-01-09 03,129,38,86,5,0,0,0
2014-01-09 04,66,22,44,0,0,0,0
2014-01-09 05,98,31,66,1,0,0,0
2014-01-09 06,164,46,110,8,0,0,0
2014-01-09 07,396,117,264,15,0,0,0
2014-01-09 08,870,273,580,17,0,0,0
2014-01-09 09,1077,334,718,25,0,0,0
2014-01-09 10,1418,452,946,20,0,0,0
2014-01-09 11,1415,407,986,22,0,0,0
2014-01-09 12,8700,591,8080,29,0,0,0
2014-01-09 13,10398,533,9844,21,0,0,0
2014-01-09 14,11078,564,10484,30,0,0,0
2014-01-09 15,10719,601,10096,22,0,0,0
2014-01-09 16,9934,565,9334,35,0,0,0
2014-01-09 17,9559,509,9030,20,0,0,0
2014-01-09 18,9799,422,9346,31,0,0,0
2014-01-09 19,8884,396,8468,20,0,0,0
2014-01-09 20,8405,470,7916,19,0,0,0
2014-01-09 21,5977,423,5530,24,0,0,0
2014-01-09 22,4195,421,3736,38,0,0,0
2014-01-09 23,2355,286,2046,23,0,0,0
2014-01-10 00,995,184,792,19,0,0,0
2014-01-10 01,671,179,480,12,0,0,0
2014-01-10 02,333,57,268,8,0,0,0
2014-01-10 03,321,51,266,4,0,0,0
2014-01-10 04,230,37,192,1,0,0,0
2014-01-10 05,244,34,210,0,0,0,0
2014-01-10 06,320,53,262,5,0,0,0
2014-01-10 07,724,133,588,3,0,0,0
2014-01-10 08,1190,278,896,16,0,0,0
2014-01-10 09,1697,422,1246,29,0,0,0
2014-01-10 10,2574,695,1852,27,0,0,0
2014-01-10 11,2050,534,1496,20,0,0,0
2014-01-10 12,2137,546,1572,19,0,0,0
2014-01-10 13,1729,470,1244,15,0,0,0
2014-01-10 14,2451,653,1774,24,0,0,0
2014-01-10 15,2482,675,1784,23,0,0,0
2014-01-10 16,2788,688,2080,20,0,0,0
2014-01-10 17,2020,476,1524,20,0,0,0
2014-01-10 18,2293,517,1760,16,0,0,0
2014-01-10 19,2258,485,1752,21,0,0,0
2014-01-10 20,2308,560,1714,34,0,0,0
2014-01-10 21,1979,494,1456,29,0,0,0
2014-01-10 22,1888,418,1438,32,0,0,0
2014-01-10 23,1758,384,1338,36,0,0,0
2014-01-11 00,1422,209,1192,21,0,0,0
2014-01-11 01,1168,194,956,18,0,0,0
2014-01-11 02,865,69,792,4,0,0,0
2014-01-11 03,700,51,644,5,0,0,0
2014-01-11 04,598,42,552,4,0,0,0
2014-01-11 05,447,38,408,1,0,0,0
2014-01-11 06,712,50,658,4,0,0,0
2014-01-11 07,799,98,688,13,0,0,0
2014-01-11 08,1399,251,1132,16,0,0,0
2014-01-11 09,2028,396,1606,26,0,0,0
2014-01-11 10,2401,641,1740,20,0,0,0
2014-01-11 11,2250,581,1648,21,0,0,0
2014-01-11 12,2084,460,1606,18,0,0,0
2014-01-11 13,1789,463,1304,22,0,0,0
2014-01-11 14,2207,474,1700,33,0,0,0
2014-01-11 20,1807,424,1356,27,0,0,0
2014-01-11 21,1697,354,1316,27,0,0,0
2014-01-11 23,1113,223,872,18,0,0,0
2014-01-12 00,263,55,202,6,0,0,0
2014-01-12 01,366,79,278,9,0,0,0
2014-01-12 02,313,48,262,3,0,0,0
2014-01-12 03,132,22,110,0,0,0,0
2014-01-12 04,175,16,158,1,0,0,0
2014-01-12 05,120,10,110,0,0,0,0
2014-01-12 06,243,16,226,1,0,0,0
2014-01-12 07,297,40,250,7,0,0,0
2014-01-12 08,412,69,336,7,0,0,0
2014-01-12 09,541,111,426,4,0,0,0
2014-01-12 10,788,191,592,5,0,0,0
2014-01-12 11,757,191,562,4,0,0,0
2014-01-12 12,787,172,608,7,0,0,0
2014-01-12 13,927,227,690,10,0,0,0
2014-01-12 14,968,220,734,14,0,0,0
2014-01-12 15,989,174,806,9,0,0,0
2014-01-12 16,854,195,646,13,0,0,0
2014-01-12 17,790,172,604,14,0,0,0
2014-01-12 18,712,132,572,8,0,0,0
2014-01-12 19,821,176,640,5,0,0,0
2014-01-12 20,873,207,652,14,0,0,0
2014-01-12 21,968,218,732,18,0,0,0
2014-01-12 22,765,194,550,21,0,0,0
2014-01-12 23,629,129,488,12,0,0,0
2014-01-13 00,560,93,460,7,0,0,0
2014-01-13 01,439,76,360,3,0,0,0
2014-01-13 02,173,16,156,1,0,0,0
2014-01-13 03,144,14,128,2,0,0,0
2014-01-13 04,161,8,152,1,0,0,0
2014-01-13 05,166,15,148,3,0,0,0
2014-01-13 06,233,25,204,4,0,0,0
2014-01-13 07,353,54,296,3,0,0,0
2014-01-13 08,761,176,570,15,0,0,0
2014-01-13 09,884,197,676,11,0,0,0
2014-01-13 10,1263,351,900,12,0,0,0
2014-01-13 11,1241,343,892,6,0,0,0
2014-01-13 12,965,250,706,9,0,0,0
2014-01-13 13,826,193,628,5,0,0,0
2014-01-13 14,952,273,676,3,0,0,0
2014-01-13 15,992,251,728,13,0,0,0
2014-01-13 16,1779,446,1318,15,0,0,0
2014-01-13 17,1681,402,1266,13,0,0,0
