date,ALL,A,NS,CNAME,PTR,TXT,AAAA
2014-01-07 17,381317,140053,223554,17697,0,13,0
2014-01-07 18,383561,140922,224950,17683,0,6,0
2014-01-07 19,394359,144425,231642,18285,0,7,0
2014-01-07 20,412079,151232,241818,19018,0,11,0
2014-01-07 21,425110,155486,249992,19626,0,6,0
2014-01-07 22,430351,157190,254290,18862,0,9,0
2014-01-07 23,324899,118954,191020,14923,0,2,0
2014-01-08 00,196342,72509,114580,9246,0,7,0
2014-01-08 01,96362,36223,55186,4934,0,19,0
2014-01-08 02,53288,20758,29896,2623,0,11,0
2014-01-08 03,31531,12575,17270,1679,0,7,0
2014-01-08 04,17782,7621,9212,938,0,11,0
2014-01-08 05,17911,7698,9320,889,0,4,0
2014-01-08 06,26370,10516,14254,1591,0,9,0
2014-01-08 07,61900,23287,34984,3617,0,12,0
2014-01-08 08,212918,77830,125338,9741,0,9,0
2014-01-08 09,351972,128108,207822,16037,0,5,0
2014-01-08 10,428910,156636,252852,19416,0,6,0
2014-01-08 11,400913,147056,235668,18183,0,6,0
2014-01-08 12,412429,150532,243178,18709,0,10,0
2014-01-08 13,381885,139207,224798,17871,0,9,0
2014-01-08 14,337931,107008,214050,16858,0,15,0
2014-01-08 15,363962,115097,230214,18643,0,8,0
2014-01-08 16,374292,118109,236212,19965,0,6,0
2014-01-08 17,328709,103964,207910,16835,0,0,0
2014-01-08 18,318524,100702,201406,16416,0,0,0
2014-01-08 19,336485,106282,212558,17645,0,0,0
2014-01-08 20,349551,110403,220814,18331,0,3,0
2014-01-08 21,368858,116668,233342,18842,0,6,0
2014-01-08 22,355793,112581,225160,18050,0,2,0
2014-01-08 23,265212,83604,167198,14406,0,4,0
2014-01-09 00,171085,53687,107372,10024,0,2,0
2014-01-09 01,85484,26904,53832,4741,0,7,0
2014-01-09 02,45217,14198,28398,2620,0,1,0
2014-01-09 03,23169,7231,14470,1468,0,0,0
2014-01-09 04,20097,6349,12700,1048,0,0,0
2014-01-09 05,16123,5017,10034,1072,0,0,0
2014-01-09 06,21723,6779,13568,1376,0,0,0
2014-01-09 07,57868,18045,36092,3731,0,0,0
2014-01-09 08,184560,58248,116504,9806,0,2,0
2014-01-09 09,302449,95649,191294,15505,0,1,0
2014-01-09 10,364497,115300,230620,18571,0,6,0
2014-01-09 11,340842,107823,215650,17359,0,10,0
2014-01-09 12,348227,110063,220090,18066,0,8,0
2014-01-09 13,350965,111008,222034,17917,0,6,0
2014-01-09 14,339963,107432,214902,17618,0,11,0
2014-01-09 15,357227,112940,225872,18409,0,6,0
2014-01-09 16,340445,107644,215304,17490,0,7,0
2014-01-09 17,235685,74684,149376,11619,0,6,0
2014-01-09 18,250778,79378,158760,12638,0,2,0
2014-01-09 19,267654,84525,169064,14059,0,6,0
2014-01-09 20,280173,88548,177100,14520,0,5,0
2014-01-09 21,281366,88903,177818,14637,0,8,0
2014-01-09 22,279333,88353,176736,14231,0,13,0
2014-01-09 23,232406,73366,146738,12295,0,7,0
2014-01-10 00,140356,44142,88308,7901,0,5,0
2014-01-10 01,87044,27325,54682,5027,0,10,0
2014-01-10 02,52785,16652,33324,2803,0,6,0
2014-01-10 03,29792,9359,18746,1678,0,9,0
2014-01-10 04,20904,6578,13190,1127,0,9,0
2014-01-10 05,14634,4579,9198,847,0,10,0
2014-01-10 06,20499,6391,12812,1288,0,8,0
2014-01-10 07,50062,15589,31196,3272,0,5,0
2014-01-10 08,157751,49690,99416,8633,0,12,0
2014-01-10 09,263866,83602,167218,13042,0,4,0
2014-01-10 10,323178,102429,204854,15890,0,5,0
2014-01-10 11,296333,93833,187686,14808,0,6,0
2014-01-10 12,288623,91378,182760,14477,0,8,0
2014-01-10 13,272961,86306,172620,14028,0,7,0
2014-01-10 14,319745,101134,202280,16328,0,3,0
2014-01-10 15,333550,105523,211054,16970,0,3,0
2014-01-10 16,351975,111451,222906,17608,0,10,0
2014-01-10 17,270354,85479,170966,13904,0,5,0
2014-01-10 18,284908,90201,180426,14274,0,7,0
2014-01-10 19,310040,98139,196294,15603,0,4,0
2014-01-10 20,312569,98676,197372,16513,0,8,0
2014-01-10 21,270102,85474,170958,13665,0,5,0
2014-01-10 22,229165,72435,144884,11844,0,2,0
2014-01-10 23,188475,59575,119172,9722,0,6,0
2014-01-11 00,152551,48157,96334,8056,0,4,0
2014-01-11 01,100388,31551,63140,5681,0,16,0
2014-01-11 02,53000,16649,33322,3019,0,10,0
2014-01-11 03,30371,9514,19058,1792,0,7,0
2014-01-11 04,19027,5968,11950,1105,0,4,0
2014-01-11 05,14128,4419,8862,843,0,4,0
2014-01-11 06,18101,5639,11296,1162,0,4,0
2014-01-11 07,33274,10326,20674,2269,0,5,0
2014-01-11 08,96980,30420,60864,5690,0,6,0
2014-01-11 09,189427,59830,119676,9913,0,8,0
2014-01-11 10,247612,78332,156682,12596,0,2,0
2014-01-11 11,249438,78888,157794,12750,0,6,0
2014-01-11 12,246398,77919,155858,12616,0,5,0
2014-01-11 13,251503,79481,158990,13026,0,6,0
2014-01-11 14,245250,77411,154840,12994,0,5,0
2014-01-11 20,238581,75394,150782,12405,0,0,0
2014-01-11 21,222438,70345,140694,11396,0,3,0
2014-01-11 23,164797,51969,103946,8879,0,3,0
2014-01-12 00,42363,13415,26830,2118,0,0,0
2014-01-12 01,35351,11143,22292,1914,0,2,0
2014-01-12 02,28633,9078,18162,1393,0,0,0
2014-01-12 03,12334,3861,7726,747,0,0,0
2014-01-12 04,8673,2715,5434,523,0,1,0
2014-01-12 05,6345,1994,3992,359,0,0,0
